numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,origine,quantity_unit,Leurvaleursubtotal_1,remarks,Double compte
136,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Cire en bougie,St Domingue,840,280,Paris,livres,,,0
137,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Cire en pain,St Domingue,1350,600,Rouen,livres,,,0
138,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Confiture,St Domingue,3377,1930,Rouen,livres,3464,,0
139,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Confiture,La Martinique,87,50,Rouen,livres,3464,,0
140,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Corail ouvré,Sénégal et Guinée,18717,"196,5625",Marseille,livres,,,0
142,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Cordages,Sénégal et Guinée,10130,14472,Russie,livres,,,0
143,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Cordages,Tabago,560,560,Angleterre,livres,,,0
144,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Cordages,Tabago,2650,5753,Le Havre,livres,,,0
145,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Cordages,St Domingue,9300,18600,Dieppe,livres,,,0
146,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Corde ficelle,St Domingue,300,500,Le Havre,livres,,,0
147,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Coton filé,Sénégal et Guinée,1700,150,Angleterre,livres,,,0
148,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Coutellerie commune ,St Domingue,390,,Angleterre,,860,,0
149,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Coutellerie commune ,La Martinique,150,,Angleterre,,860,,0
150,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Coutellerie commune ,Tabago,320,,Angleterre,,860,,0
151,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Coutellerie commune ,Sénégal et Guinée,500,,Angleterre,,,,0
152,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Coutellerie de traite,Sénégal et Guinée,13358,,Hollande,,,,0
153,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Couverture de coton,St Domingue,2722,107,Rouen,en nombre,,,0
154,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Couverture de laine,Tabago,2400,140,Angleterre,en nombre,,,0
155,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Couverture de laine,Sénégal et Guinée,1850,160,Angleterre,en nombre,,,0
156,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Couverture de laine,St Domingue,360,12,Darnetal,en nombre,,,0
157,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Couverture de laine,Sénégal et Guinée,1200,120,Rouen,en nombre,,,0
158,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Couverture à nègres,Sénégal et Guinée,520,100,Bordeaux,en nombre,,,0
159,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Couverture à nègres,St Domingue,350,144,Rouen,en nombre,,,0
160,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Couverture à nègres,Sénégal et Guinée,1547,510,Angleterre,en nombre,,,0
161,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Couverture à nègres,St Domingue,1836,612,Lisieux,en nombre,,,0
162,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Couverture à nègres,Sénégal et Guinée,600,200,Lisieux,en nombre,,,0
163,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Crin frise,St Domingue,600,600,Russie,livres,2500,,0
164,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Crin frise,La Martinique,1700,1700,Russie,livres,2500,,0
165,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Crin frise,Tabago,200,200,Russie,livres,2500,,0
166,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Crin frise,St Domingue,2600,2600,Le Havre,livres,4200,,0
167,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Crin frise,La Martinique,1000,1000,Le Havre,livres,4200,,0
168,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Crin frise,La Guadeloupe,600,600,Le Havre,livres,4200,,0
169,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,30,Cuir de bœufs corroyés,La Martinique,1540,77,Paris,en nombre,,,0
170,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Cuivre en batterie,Sénégal et Guinée,10815,5150,Hollande,livres,,,0
171,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Cuivre en batterie,Sénégal et Guinée,7560,3360,Angleterre,livres,,,0
172,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Cuivre en batterie,St Domingue,1200,400,Paris,livres,,,0
173,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Cuivre en planches et feuilles,St Domingue,4370,2300,Angleterre,livres,6612,,0
174,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Cuivre en planches et feuilles,La Martinique,2242,1180,Angleterre,livres,6612,,0
175,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Cuivre en planches et feuilles,Sénégal et Guinée,49286,25940,Angleterre,livres,,,0
176,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Cuivre en planches et feuilles,St Domingue,4180,2200,Romilly,livres,5917,,0
177,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Cuivre en planches et feuilles,La Martinique,950,500,Romilly,livres,5917,,0
178,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Cuivre en planches et feuilles,La Guadeloupe,787,414,Romilly,livres,5917,,0
179,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Cuivre ouvré,St Domingue,1400,600,Angleterre,livres,1586,,0
180,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Cuivre ouvré,Tabago,186,100,Angleterre,livres,1586,,0
181,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Cuivre ouvré,Sénégal et Guinée,13460,11390,Angleterre,livres,,,0
182,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Dentelle de fil,St Domingue,10500,18,paris,livres,,,0
183,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Dentelle de fil,St Domingue,1200,2,Lille,livres,,,0
184,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Dentelle de soye,St Domingue,7740,"42,5",Caen,livres,,,0
185,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drap de Silesie,Sénégal et Guinée,10700,1070,Carcassonne,aunes,,,0
186,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drap de Silesie,St Domingue,6358,748,Rima,aunes,,,0
187,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drap de casimir,Tabago,2079,231,Angleterre,aunes,,,0
188,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,drap de casimir,St Domingue,486,54,Rima,aunes,,,0
189,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drap de laine,Sénégal et Guinée,66415,7180,Carcassonne,aunes,,,0
190,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drap de laine,Sénégal et Guinée,4300,205,Paris,aunes,,,0
191,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drap de laine,St Domingue,300,15,Louviers,aunes,4300,,0
192,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drap de laine,La Martinique,4000,190,Louviers,aunes,4300,,0
193,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drap de laine,Tabago,3000,200,Angleterre,aunes,,,0
194,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drogues pour la peinture et la teinture,St Domingue,5727,,,,10152,Pas de quantité indiquée,0
195,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drogues pour la peinture et la teinture,La Martinique,2560,,,,10152,Pas de quantité indiquée,0
196,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drogues pour la peinture et la teinture,La Guadeloupe,1140,,,,10152,Pas de quantité indiquée,0
197,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drogues pour la peinture et la teinture,Tabago,725,,,,10152,Pas de quantité indiquée,0
198,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drogues pour la peinture et la teinture,Sénégal et Guinée,35,,,,,Pas de quantité indiquée,0
199,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drogues médicinales diverses,St Domingue,3614,,,,16254,Pas de quantité indiquée,0
200,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drogues médicinales diverses,La Martinique,5700,,,,16254,Pas de quantité indiquée,0
201,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drogues médicinales diverses,La Guadeloupe,1896,,,,16254,Pas de quantité indiquée,0
202,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drogues médicinales diverses,Tabago,5044,,,,16254,Pas de quantité indiquée,0
203,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Drogues médicinales diverses,Sénégal et Guinée,3550,,,,,Pas de quantité indiquée,0
204,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eaux minérales,St Domingue,2100,,Paris,,,,0
205,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eaux d'odeur,La Martinique,665,,Paris,,,,0
206,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eaux d'odeur,Sénégal et Guinée,305,,Paris,,,,0
207,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eau de vie d'audaye,Sénégal et Guinée,375,"1,5",Bayonne,muids,,,0
208,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eau de vie de cidre,Sénégal et Guinée,46329,"330,9166666667",Normandie,muids,,,0
210,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eau de vie de genievre,Sénégal et Guinée,17500,"102,9583333333",Hollande,muids,,,0
212,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eau de vie de genievre,Sénégal et Guinée,3357,"19,75",Angleterre,muids,,,0
213,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eau de vie de genievre,Sénégal et Guinée,8700,29,Dunkerque,muids,,,0
214,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eau de vie de genievre simple,St Domingue,124,240,Bordeaux,pintes,,,0
215,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eau de vie de genievre simple,Sénégal et Guinée,63356,"408,75",Bordeaux,muids,,,0
217,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eau de vie de genievre simple,St Domingue,565,"3,6666666667",La Rochelle,muids,,,0
219,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eau de vie de genievre simple,Sénégal et Guinée,4480,"28,9583333333",La Rochelle,muids,,,0
221,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eau de vie de genievre,Sénégal et Guinée,6792,"48,5",Honfleur,muids,,,0
222,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eau de vie de genievre,Sénégal et Guinée,18834,"130,7916666667",Cette,muids,,,0
224,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eau de vie de genievre,Sénégal et Guinée,15828,"109,9166666667",Isle de Rhé,muids,,,0
226,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eau de vie de genievre,Sénégal et Guinée,3430,"22,4236111111",Salon,muids,,,0
228,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eau de vie de genievre,Sénégal et Guinée,4180,"24,5833333333",Charente,muids,,,0
230,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Eau de vie de genievre,Sénégal et Guinée,5495,"32,3333333333",Port Vendre,muids,,,0
232,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Aiguilles à coudre,La Martinique,300,,Paris,,,Pas de quantité indiquée,0
233,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Epaulettes en argent,Sénégal et Guinée,350,"3,5",Paris,livres,,,0
234,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Epicerie diverse,Tabago,725,,,,,Pas de quantité indiquée,0
235,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Epicerie diverse,Sénégal et Guinée,300,,,,,Pas de quantité indiquée,0
236,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Estampes et gravures,St Domingue,150,,Paris,,,Pas de quantité indiquée,0
237,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Estampes et gravures,La Martinique,600,,Paris,,,Pas de quantité indiquée,0
238,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Etain en barres,Sénégal et Guinée,585,450,Angleterre,livres,,,0
239,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Etain ouvré,St Domingue,4245,1415,Le Havre,livres,5010,,0
240,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Etain ouvré,La Martinique,345,115,Le Havre,livres,5010,,0
241,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,31,Etain ouvré,Tabago,420,,Le Havre,livres,5010,,0
242,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes diverses de laines,Tabago,5700,,Angleterre,,,,0
243,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes diverses de laines,Sénégal et Guinée,3600,,Angleterre,,,,0
244,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes callemande,St Domingue,825,300,Lille,aunes,,,0
245,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes burail,St Domingue,305,94,Reims,aunes,,,0
246,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes etamine,St Domingue,4462,1275,Reims,aunes,29799,,0
247,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes etamine,La Martinique,23999,6857,Reims,aunes,29799,,0
248,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes etamine,La Guadeloupe,1338,381,Reims,aunes,29799,,0
249,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes prunelle de laine,St Domingue,400,120,Abbeville,aunes,,,0
250,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes serge laine,La Martinique,144,18,Laval,aunes,,,0
251,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes sagne,Sénégal et Guinée,810,375,Ostende,aunes,,,0
252,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes diverses de coton,Tabago,32579,,Angleterre,,,Pas de quantité indiquée,0
253,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes diverses de coton,Sénégal et Guinée,7305,,Angleterre,,,Pas de quantité indiquée,0
254,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes diverses de coton,La Martinique,750,,France,,,Pas de quantité indiquée,0
255,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes diverses de coton,Sénégal et Guinée,2620,,France,,,Pas de quantité indiquée,0
256,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes de soye,St Domingue,2400,,,,4691,Pas de quantité indiquée,0
257,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes de soye,La Martinique,2171,,,,4691,Pas de quantité indiquée,0
258,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes de soye,La Guadeloupe,120,,,,4691,Pas de quantité indiquée,0
259,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes de soye,Sénégal et Guinée,1100,,Paris,,,Pas de quantité indiquée,0
260,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes de soye,St Domingue,250,,Lyon,,,Pas de quantité indiquée,0
261,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes de soye,La Guadeloupe,200,,Lyon,,,Pas de quantité indiquée,0
262,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes de soye,Sénégal et Guinée,23500,,Lyon,,,Pas de quantité indiquée,0
263,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Etoffes de soye,Sénégal et Guinée,2500,,Nîmes,,,Pas de quantité indiquée,0
264,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Farine,St Domingue,13720,61740,Harfleur,livres,18520,,0
265,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Farine,La Guadeloupe,4800,21600,Harfleur,livres,18520,,0
266,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Farine,Sénégal et Guinée,46400,208800,Bordeaux,livres,,,0
267,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Farine,St Domingue,6562,26250,Le Havre,livres,10324,,0
268,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Farine,La Martinique,2625,10500,Le Havre,livres,10324,,0
269,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Farine,La Guadeloupe,875,3500,Le Havre,livres,10324,,0
270,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Farine,Tabago,262,1050,Le Havre,livres,10324,,0
271,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Farine,Sénégal et Guinée,2187,8750,Le Havre,livres,,,0
272,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Farine,La Martinique,3600,16200,Angleterre,livres,4480,,0
273,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Farine,Tabago,880,3960,Angleterre,livres,4480,,0
274,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Farine,Sénégal et Guinée,80,360,Angleterre,livres,,,0
275,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Farine,St Domingue,19600,100800,Isle de France,livres,39550,,0
276,Cyril Mouton,ANOM Col F 2B 14 (tableau 19),Colonies/1789 - Le Havre - Exports colonies.csv,Colonies,1789,Exports,32,Farine,La Martinique,15750,81000,Isle de France,livres,39550,,0
