numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantity_unit,remarks,Double compte
88,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Ouvrages en terre cuite,St Domingue,5294,,,0
89,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Ouvrages en terre cuite,Sénégal et Guinée,36300,,,0
90,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Papier blanc,St Domingue,2482,livres,,0
91,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Poissons salé en harengs saurs,St Domingue,7026,,,0
92,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Quincaillerie,St Domingue,2157,livres,,0
93,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Quincaillerie,La Martinique,120,livres,,0
94,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Quincaillerie,Sénégal et Guinée,937,livres,,0
95,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Sacs à caffé,St Domingue,12401,en nombre,,0
96,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Sacs à caffé,Sénégal et Guinée,410,en nombre,,0
97,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Savon,St Domingue,20272,livres,,0
98,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Sel,St Domingue,76,livres,,0
99,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Sel,Sénégal et Guinée,4722,livres,,0
100,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Souliers divers en cuir,St Domingue,8411,paires,,0
101,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Souliers divers en cuir,La Martinique,600,paires,,0
102,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Suif en chandelles,St Domingue,14340,livres,,0
103,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Suif en chandelles,Sénégal et Guinée,832,livres,,0
104,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Tabac de la ferme,St Domingue,1260,livres,,0
105,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles diverses,St Domingue,2320,aunes,,0
106,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles diverses,Sénégal et Guinée,1616,aunes,,0
107,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles blanches,St Domingue,3685,aunes,,0
108,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles blanches,Sénégal et Guinée,11904,aunes,,0
109,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles rousses,Sénégal et Guinée,3310,aunes,,0
110,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles de lin blanches fines,St Domingue,39873,aunes,,0
111,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles de lin blanches fines,La Martinique,9900,aunes,,0
112,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles de lin blanches fines,Sénégal et Guinée,9509,aunes,,0
113,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toile de lin écrus,St Domingue,39546,aunes,,0
114,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toile de lin écrus,Sénégal et Guinée,840,aunes,Doute sur la marchandise,0
115,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles sacs à boîte,St Domingue,8260,aunes,,0
116,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles de coton de ???,St Domingue,10075,aunes,Marchandise illisible,0
117,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles de coton de ???,Sénégal et Guinée,155709,aunes,Marchandise illisible,0
118,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles de fil de ???,St Domingue,1712,aunes,Marchandise illisible,0
119,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles linon de St Quentin,St Domingue,2400,aunes,Marchandise illisible,0
120,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles indienne de France,St Domingue,2300,aunes,,0
121,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles indienne de France,Sénégal et Guinée,33618,aunes,,0
122,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles de l'Inde en f ??? français,Sénégal et Guinée,2674,aunes,Marchandise illisible,1
123,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles de l'Inde en f ??? français,Sénégal et Guinée,2674,pièces,Marchandise illisible,2
124,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles ralette d'Hambourg,Sénégal et Guinée,36200,aunes,Doute sur la marchandise,0
125,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Toiles nankin,St Domingue,1176,pièces,,0
126,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Verroterie,Sénégal et Guinée,3277,livres,,0
127,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Vins divers,St Domingue,14032,muids,,1
129,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Vins divers,St Domingue,14032,bouteilles,,2
130,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Vins divers,La Martinique,1719,muids,,0
132,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",35,Vins divers,Sénégal et Guinée,23985,muids,,0
