numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,problème,remarks,Droits totaux indiqués,doubleaccounts
134,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Copal,Monde,,16381,kg,,,,"16100,52",
135,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Oliban ou encens,Monde,,6745,kg,,,,"6839,2",
136,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Sandaraque,Monde,,5144,kg,,,,"5170,27",
137,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Aloës,Monde,,1676,kg,,,,"3691,62",
138,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Camphre ; brut,Monde,,5588,kg,,,,"9336,85",
139,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Camphre ; raffiné,Monde,,1092,kg,,,,"3667,67",
140,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Manne,Monde,,82273,kg,,,,"73790,25",
141,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Jus ; de réglisse,Monde,,148304,kg,,,,"80187,96",
142,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Jus ; de citron et limon,Monde,,350591,kg,,,,"3859,55",1
143,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Jus ; Citrate calcaire,Monde,,228,kg,,,,"3859,55",2
144,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Huiles ; de rose,Monde,,57,kg,,,,"6306,73",
145,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,"Huiles ; de citron, d'orange et de bergamote",Monde,,8219,kg,,,,"36599,79",
146,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,"Huiles ; de fenouil, d'anis et de carvi",Monde,,699,kg,,,,"3197,34",
147,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Huiles ; d'olives ; fines,Monde,,3071732,kg,,,,"848159,7",
148,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Huiles ; d'olives ; communes,Monde,,9223143,kg,,,,"1604043,45",1
149,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Huiles ; d'olives ; fèces ou fie d'huile,Monde,,10814,kg,,,,"1604043,45",2
150,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Huiles ; d'olives ; fèces ou fie d'huile,Monde,,8508,kg,,,"Explication : 8508 kilogrammes provenant de la franchise de Marseille, n'ont payé que 50 cent. le quintal","42,54",
151,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Huiles ; de coco,Monde,,13315,kg,,,,"5701,91",1
152,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,6,Huiles ; de noix et de faîne,Monde,,19314,kg,,,,"3859,55",2
153,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Ipécacuanha,Monde,,991,kg,,,,"5586,61",
154,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Rhubarbe,Monde,,4963,kg,,,,"15252,55",
155,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Salsepareille,Monde,,23596,kg,,,,"52594,12",
156,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Jalap,Monde,,7500,kg,,,,"8265,21",
157,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Iris de Florence,Monde,,14303,kg,,,,"9476,17",
158,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Réglisse,Monde,,122135,kg,,,,"21418,69",
159,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Gentiane,Monde,,764,kg,,,,"3274,01",1
160,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Racines ; diverses,Monde,,13113,kg,,,,"3274,01",2
161,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Écorces. - Quiquina,Monde,,5049,kg,,,,16865,
162,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,"Feuilles de séné, entières ou en grabeau",Monde,,13281,kg,,,,"14681,13",
163,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Fleurs d'oranger,Monde,,142789,kg,,,,"8635,5",
164,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Tamarins ; gousses entières,Monde,,6352,kg,,,,"3995,16",1
165,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Tamarins ; Confits dans le sucre,Monde,,1575,kg,,,,"3995,16",2
166,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Badiane ou anis étoilé,Monde,,2846,kg,,,,"4678,98",1
167,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Barbotine,Monde,,925,kg,,,,"4678,95",2
168,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Follicules de séné,Monde,,2175,kg,,,,"4678,98",3
169,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Espèces médicinales ; Fruits ; divers (et graines),Monde,,21352,kg,,,,"7916,58",
170,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; à brûler. - En bûches,Monde,,69132,stère,,,,"19011,31",
171,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,"Bois ; à construire ; brut, ou somplement écarri à la hache",Monde,,52363,stère,,,,"5760,02",
172,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,"bois ; à construire ; scié, ayant d'épaisseur ; plus de 8 centimètres",Monde,,5635,stère,,,,"102593,13",1
173,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,"bois ; à construire ; scié, ayant d'épaisseur ; 8 centimètres ou moins",Monde,,9242109,mètre,,,,"102593,13",2
174,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,bois ; à construire ; mâts de 40 centimètres de diamètres et au-dessus,Monde,,1439,en nombre,,,,"10792,5",
175,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,bois ; à construire ; mâteraux de 25 à 40 centimètres,Monde,,1913,en nombre,,,,"6312,9",
176,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,bois ; à construire ; espars de 15 à 25 centimètres,Monde,,7639,en nombre,,,,"6302,18",
177,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,bois ; à construire ; manches de gaffes de 11 à 15 centimètres,Monde,,15115,en nombre,,,,"3325,3",
178,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; Feuillards ; de 2 mètres de longueur et au dessous,Monde,,5794256,en nombre,,,,"9284,44",1
179,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; Feuillards ; de 2 à 4 mètres exclusivement,Monde,,1687436,en nombre,,,,"9284,44",2
180,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; Feuillards ; de 2 mètres et au-dessus,Monde,,216858,en nombre,,,,"9284,44",3
181,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; Merrain ; de 1299mm de longueur et au-dessus,Monde,,645893,en nombre,,,,"5392,38",1
182,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; Merrain ; de 1299mm exclus à 974 inclus,Monde,,985759,en nombre,,,,"5395,38",2
183,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; Merrain ; au-dessous de 974 millimètres,Monde,,2131740,en nombre,,,Probable erreur du copiste ; j'ai transformé « au-dessous » en « au-dessus ».,"5392,38",3
184,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; Liége ; en planches,Monde,,98206,kg,,,,"7086,54",
185,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,"Bois ; Liége ; ouvré, en bouchons, etc",Monde,,231082,kg,,,,"143780,46",
186,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; Boissellerie,Monde,,103140,kg,,,,"4982,46",
187,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,"Bois ; ouvrés ; futailles vides, montées ; cerclées en bois",Monde,,42554,hectolitre,,,,"5343,76",1
188,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,"Bois ; ouvrés ; futailles vides, montées ; cerclées en fer",Monde,,4016,hectolitre,,,,"5343,76",2
189,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; ouvrés ; avirons ; bruts,Monde,,59806,mètre,,,,"3657,98",1
190,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; ouvrés ; avirons ; façonnés,Monde,,8282,mètre,,,,"3657,98",2
191,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; ouvrages divers,Monde,67411,,francs,,,,"11122,82",
192,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; exotiques ; de teintures. - En morceaux ; Fernambouc,Monde,,5254,kg,,,,"170478,25",1
193,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; exotiques ; de teintures. - En morceaux ; autres,Monde,,4653818,kg,,,,"170478,25",2
194,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; exotiques ; d'ébénisterie ; d'acajou ; en bloc,Monde,,764044,kg,,,,"340807,26",1
195,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,"Bois ; exotiques ; d'ébénisterie ; d'acajou ; scié, épais de 2 à 3 décimètres",Monde,,478,kg,,,,"340807,26",2
196,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; exotiques ; d'ébénisterie ; de buis,Monde,,62021,kg,,,,"6912,38",
197,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; exotiques ; d'ébénisterie ; de gaïac,Monde,,158619,kg,,,,"4311,5",
198,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; exotiques ; d'ébénisterie ; de courbari,Monde,,11621,kg,,,,"3199,03",
199,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; exotiques ; d'ébénisterie ; d'ébène,Monde,,61173,kg,,,,"13088,02",
200,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Bois ; exotiques ; d'ébénisterie ; autres espèces,Monde,,47375,kg,,,,"5867,91",
201,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Joncs ; à cannes,Monde,,16119,kg,,,,"33938,29",
202,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Joncs ; rottins,Monde,,16899,kg,,,,"9840,37",
203,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,"Joncs ; sparte. - Brut, et autres communs",Monde,,526785,kg,,,,"5879,31",
204,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Chanvre ; teillé et étoupes,Monde,,5456267,kg,,,,"194186,51",
205,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Chanvre ; peigné,Monde,,258894,kg,,,,"17816,6",
206,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Lin ; teillé et étoupes,Monde,,184217,kg,,,,"6424,34",
207,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Lin ; peigné,Monde,,45947,kg,,,,"3190,28",
208,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Coton ; des colonies françaises,Monde,,641926,kg,,,,"70611,94",
209,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Coton ; autres ; longue soie,Monde,,3431492,kg,,,,"1760985,01",
210,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Coton ; autres ; courte soie,Monde,,11739759,kg,,,,"3441014,53",
211,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Coton ; autres ; de Turquie,Monde,,1397249,kg,,,,"231196,49",
212,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Garance ; sèche ou alisari,Monde,,230178,kg,,,,"25414,42",
213,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Garance ; moulue,Monde,,33808,kg,,,,"12160,93",
214,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Curcuma ; en racines,Monde,,13766,kg,,,,"6194,5",1
215,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Curcuma ; en poudre,Monde,,602,kg,,,,"6194,5",2
216,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Quercitron,Monde,,466060,kg,,,,"50563,84",
217,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Sumac,Monde,,557389,kg,,,,"94955,99",
218,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Carthame,Monde,,194683,kg,,,,"44109,62",
219,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Nerprun (Baies de),Monde,,86416,kg,,,,"9591,88",1
220,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Graine de Perse,Monde,,88,kg,,,,"9591,88",2
221,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Galles ; Noix de),Monde,,152982,kg,,,,"14564,57",
222,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,"Galles ; légères, entières et pulvérisées",Monde,,131982,kg,,,,"5317,23",1
223,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,"Avelanèdes, valonèdes ou vallonées",Monde,,329948,kg,,,,"5317,23",2
224,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Agaric-Amadrouvier. - préparé,Monde,,47352,kg,,,,"7243,53",
225,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,7,Fleurs de houblon,Monde,,784557,kg,,,,"141397,19",
226,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Marbre brut,Monde,,2450461,kg,,,,"58534,19",
227,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Pierres à aiguiser,Monde,,126988,kg,,,,"7362,42",
228,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,"Ocre brun, jaune ou rouge",Monde,,163360,kg,,,,"3901,08",
229,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Plâtre ; brut,Monde,,104110,kg,,,,"3882,37",1
230,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,"Plâtre ; préparé, soit moulu",Monde,,685063,kg,,,,"3882,37",2
231,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Chaux,Monde,,7771871,kg,,,,"8549,09",
232,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Pouzzolane,Monde,,1420176,kg,,,,"4089,98",1
233,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Sables communs,Monde,,2297977,kg,,,,"4089,98",2
234,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Pierres et terres ; à bâtir,Monde,,4419566,kg,,,,"4861,32",
235,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Ardoises pour toitures,Monde,,889731,en nombre,,,,"7341,73",
236,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Briques et tuiles plates,Monde,,807506,en nombre,,,,"6509,74",1
237,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Tuiles bombées et carreaux de terre,Monde,,1434319,en nombre,,,,"6509,74",2
238,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Meules ; à moudre,Monde,,245,en nombre,,,,"10593,36",1
239,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Meules ; à aiguiser,Monde,,19596,en nombre,,,,"10593,36",2
240,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,"Or ; brut, en masse, lingots et brisé",Monde,,2234,kg,,,,"7186,42",1
241,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Or ; monnayé,Monde,,9479,kg,,,,"7186,42",2
242,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,"Argent ; brut, en masse, lingots et brisé",Monde,,2646,kg,,,,"7809,79",1
243,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Argent ; monnayé,Monde,,258352,kg,,,,"7809,79",2
244,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Argent ; en orfévrerie,Monde,,139,kg,,,,"7809,79",3
245,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Fer ; Fonte ; brute ; en gueuses,Monde,,2443249,kg,,,,"58853,67",
246,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Fer ; Fonte ; brute ; en blocailles,Monde,,248775,kg,,,,"3020,36",
247,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Fer ; Fonte ; moulée (pour modèles),Monde,6464,82959,kg,,,,"5496,81",
248,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Fer ; préparé ; pour canons de fusils et pistolets,Monde,,58729,kg,,,,"10559,32",
249,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Fer ; préparé ; pour forces à tondre les draps,Monde,,16832,kg,,,,"5091,68",
250,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,"Fer ; étiré, barres plates ; ayant plus de 366 millimètres (largeur multipliée par l'épaisseur)",Monde,,8444699,kg,,,,"1453374,01",
251,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,"Fer ; étiré, barres plates ; de 213 à 366 millimètres (largeur multipliée par l'épaisseur)",Monde,,89196,kg,,,,"23508,92",
252,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,"Fer ; étiré, barres plates ; moins de 213 (largeur multipliée par l'épaisseur)",Monde,,174198,kg,,,,"77760,16",
253,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,"Fer ; étiré, barres ; carrées ; de 22 millimètres et plus sur chaque face",Monde,,1624101,kg,,,,"277527,76",
254,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,"Fer ; étiré, barres ; carrées ; de 15 inclusivement à 22 millimètres exclusivement sur chaque face",Monde,,142433,kg,,,,"39560,09",
255,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,"Fer ; étiré, barres ; carrées ; moins de 15 millimètres sur chaque face",Monde,,11646,kg,,,,"5384,24",
256,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,"Fer ; étiré, barres ; rondes ; de 15 millimètres et plus de diamètre",Monde,,183194,kg,,,,"50719,69",
257,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,"Fer ; étiré, barres ; rondes ; moins de 15 millimètres de diamètre",Monde,,45049,kg,,,,"20497,23",
258,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Fer ; platiné ou laminé ; noir. - Tôle,Monde,,33090,kg,,,,"15169,92",
259,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Fer ; platiné ou laminé ; étamé. - Fer blanc,Monde,,361701,kg,,,,"247689,92",
260,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Fer ; ouvré. Ancres ; de 250 kg et au-dessous,Monde,,6511,kg,,,,"3268,05",1
261,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Fer ; ouvré. Ancres ; au-dessus de 250 kg,Monde,,18398,kg,,,,"3268,05",2
262,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Fer ; carbonaté. - Acier ; forgé. - battu ou laminé,Monde,,545890,kg,,,,"289310,02",
263,Quentin Vidal,AN_F12_251,National/Tableau de marchandises/1819 – AN_F12_251.csv,Tableau de marchandises,1819,Imports,,8,Fer ; carbonaté. - Acier ; forgé. - fondu,Monde,,136886,kg,,,,"50258,89",
