numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,remarks,doubleaccounts
1297,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,206,Marchandises ; meslées,Danemark,6687,,6687,,,,0
1298,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,206,Marmittes,Danemark,3250,13000,3250,livres,,,0
1299,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,206,Mercerie,Danemark,15112,3778,15112,livres,,,0
1300,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Nantes,206,Noix,Danemark,6.8,4.5,6.8,milliers,,,0
1301,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,La Rochelle,207,Papier,Danemark,800,160,800,rames,,,0
1302,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,La Rochelle,207,Peaux ; de loup ; de bois,Danemark,160,40,6568,en nombre,,,0
1303,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,La Rochelle,207,Peaux ; de loup ; cerviers,Danemark,540,30,6568,en nombre,,,0
1304,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,La Rochelle,207,Peaux ; de marbre,Danemark,4892,1223,6568,en nombre,,,0
1305,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,La Rochelle,207,Peaux ; d'ours,Danemark,976,122,6568,en nombre,,,0
1306,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,La Rochelle,207,Pelleterie ; du Canada,Danemark,14739,4913,14739,livres,,,0
1307,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,207,Peluche,Danemark,36,4,36,livres,,,0
1308,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,208,Plâtre,Danemark,352,44,352,monds,,,0
1309,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,209,Poil ; de chevre,Danemark,1680,210,1680,livres,,,0
1310,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Amiens,209,Pommes,Danemark,51,17,51,charges,,,0
1311,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,209,Poudre ; à poudrer,Danemark,60,200,60,livres,,,0
1312,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Bordeaux,209,Pruneaux,Danemark,3955,113,3955,barriques,,,0
1313,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Amiens,209,Raisin ; sec,Danemark,25,100,25,livres,,,0
1314,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Bordeaux,209,Rocou,Danemark,1116.8,2792,4782.7,livres,,,0
1315,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,La Rochelle,209,Rocou,Danemark,3665.9,10474,4782.7,livres,,,0
1316,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,209,Rubans ; de soye,Danemark,3080,77,3080,livres,,,0
1317,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Montpellier,210,Savonnettes,Danemark,24,6,24,douzaines,,,0
1318,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,La Rochelle,210,Sel,Danemark,28791.8,2953,29605.6,muids,,,0
1319,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,La Rochelle,210,Sel,Danemark,20.8,52,29605.6,boisseaux,,,0
1320,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Nantes,210,Sel,Danemark,793,30.5,29605.6,charges,,,0
1321,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Amiens,210,Siamoise,Danemark,270,60,3230,livres,,,0
1322,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,210,Siamoise,Danemark,2960,740,3230,livres,,,0
1323,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Nantes,210,Sirop ; melasse,Danemark,100.8,1260,100.8,livres,,,0
1324,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Bordeaux,210,Sucre ; blanc,Danemark,19034.1,63447,36383.3,livres,,,0
1325,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,La Rochelle,210,Sucre ; blanc,Danemark,530,1325,36383.3,livres,195564.1,,0
1326,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Bordeaux,210,Sucre ; brut,Danemark,13671,54684,36383.3,livres,13671,,0
1327,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,La Rochelle,210,Sucre ; ferré,Danemark,2909,8815,36383.3,livres,3148.2,,0
1328,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Nantes,210,Sucre ; ferré,Danemark,70,200,36383.3,livres,3148.2,,0
1329,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rennes,210,Sucre ; ferré,Danemark,169.2,423,36383.3,livres,3148.2,,0
1330,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,211,Tabac ; de la ferme,Danemark,104,40,104,livres,,,0
1331,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Montpellier,211,Tartre,Danemark,462,2640,462,livres,,,0
1332,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,211,Terre ; à pottier,Danemark,123,,123,,,,0
1333,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rennes,211,Tuile ; de Bretagne ; de halle,Danemark,390,260,1088.8,aunes,575.5,,0
1334,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rennes,211,Tuile ; de Bretagne ; de pontivy,Danemark,185.5,53,1088.8,aunes,575.5,,0
1335,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,211,Tuile ; cirée,Danemark,25,20,1088.8,livres,25,,0
1336,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rennes,211,Tuile ; de lin ; de Beauvais,Danemark,81,54,1088.8,aunes,297,,0
1337,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,211,Tuile ; de lin ; de Laval,Danemark,216,18,1088.8,livres,297,,0
1338,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rennes,211,Tuile ; à voile,Danemark,191.3,255,1088.8,aunes,191.3,,0
1339,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,211,Vaudes,Danemark,1204.7,1721,1204.7,bottes,,,0
1340,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Montpellier,211,Verdet,Danemark,660,880,660,livres,,,0
1341,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Amiens,211,Verre ; à vitres,Danemark,60,2,3264,paniers,,,0
1342,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,211,Verre ; à vitres,Danemark,3204,89,3264,paniers,,,0
1343,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Nantes,212,Vin ; de Amont,Danemark,3220,23,841637.9,tonneaux,3220,,0
1344,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Amiens,212,Vin ; de Bordeaux,Danemark,16.5,33,841637.9,pots,820918.6,,0
1345,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Bayonne,212,Vin ; de Bordeaux,Danemark,1312.5,6.25,841637.9,tonneaux,820918.6,,0
1346,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Bordeaux,212,Vin ; de Bordeaux ; de haut,Danemark,37150,185.75,841637.9,tonneaux,820918.6,,0
1347,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Bordeaux,212,Vin ; de Bordeaux ; de haut,Danemark,2126.8,,841637.9,,820918.6,,0
1348,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Bordeaux,212,Vin ; de Bordeaux ; de ville,Danemark,730725,2435,841637.9,tonneaux,820918.6,,0
1349,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Bordeaux,212,Vin ; de Bordeaux ; de ville,Danemark,495587.8,,841637.9,,820918.6,,0
1350,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Amiens,212,Vin ; de Bourgogne,Danemark,90,45,841637.9,pots,315,,0
1351,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,212,Vin ; de Bourgogne,Danemark,225,150,841637.9,bouteilles,315,,0
1352,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,212,Vin ; de Champagne,Danemark,2025,2.25,841637.9,muids,2181,,0
1353,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Rouen,212,Vin ; de Champagne,Danemark,156,26,841637.9,pots,2181,,0
1354,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,La Rochelle,212,Vin ; de Cognac,Danemark,6573.3,164.33,841637.9,barriques,6573.3,,0
1355,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Montpellier,212,Vin ; de Languedoc,Danemark,4110,68.5,841637.9,muids,4110,,0
1356,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Nantes,212,Vin ; Nantois,Danemark,2400,24,841637.9,tonneaux,2400,,0
1357,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,La Rochelle,212,Vin ; de Rez,Danemark,1920,24,841637.9,tonneaux,1920,,0
1358,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Bordeaux,212,Vinaigre,Danemark,4950,33,5677,tonneaux,,,0
1359,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Bordeaux,212,Vinaigre,Danemark,495,,5677,,,,0
1360,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,La Rochelle,212,Vinaigre,Danemark,200,10,5677,barriques,,,0
1361,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Exports,Nantes,212,Vinaigre,Danemark,32,4,5677,quarts,,,0
675,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bordeaux,200,Acier,Danemark,378,1260,378,livres,,,0
676,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Amiens,200,Ancres ; de fer,Danemark,837.5,2792,837.5,en nombre,,,0
677,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rouen,200,Anspects,Danemark,189,756,189,en nombre,,,0
678,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Amiens,200,Avirons,Danemark,859.3,491,1336.3,en nombre,,,0
679,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rennes,200,Avirons,Danemark,60,40,1336.3,en nombre,,,0
680,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rouen,200,Avirons,Danemark,417,139,1336.3,en nombre,,,0
681,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Nantes,200,Barres ; d'anspects,Danemark,734.4,612,734.4,en nombre,,,0
682,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Nantes,201,Batons ; de Gabares,Danemark,1443,1443,1747.2,en nombre,,,0
683,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Nantes,201,Batons ; de Gaffes,Danemark,304.2,1014,1747.2,en nombre,,,0
684,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,201,Beure,Danemark,285,6,855,barils,,,0
685,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,201,Beure,Danemark,570,19,855,frequins,,,0
686,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Nantes,201,Bois ; à bruler,Danemark,48,6,3422,cordes,,,0
687,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Amiens,201,Bois ; ouvré,Danemark,1574,,3422,,,,0
688,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rennes,201,Bois ; ouvré,Danemark,1800,,3422,,,,0
689,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bordeaux,201,Bourdillons,Danemark,330,2.75,330,cents,,,0
690,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Amiens,201,Bray ; gras,Danemark,34,2,5534,barils,,,0
691,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,201,Bray ; gras,Danemark,360,18,5534,barils,,,0
692,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Nantes,201,Bray ; gras,Danemark,264,12,5534,barils,,,0
693,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rennes,201,Bray ; gras,Danemark,4876,212,5534,barils,,,0
694,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,201,Briques,Danemark,90,6,90,milliers,,,0
695,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rennes,202,Chanvre ; cru,Danemark,25520,127600,25520,livres,,,0
696,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,202,Charbon ; de terre,Danemark,2250,600,2250,bailles,,,0
697,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bordeaux,202,Clous ; de fer,Danemark,3087,12348,3087,livres,,,0
698,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Amiens,202,Cordages,Danemark,1491.4,7457,14219.4,livres,,,0
699,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bordeaux,202,Cordages,Danemark,2508,11400,14219.4,livres,,,0
700,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rennes,202,Cordages,Danemark,10220,36500,14219.4,livres,,,0
701,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Nantes,202,Cuivre ; rouge,Danemark,366.8,262,366.8,livres,,,0
702,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Amiens,203,Doüelles ; à bariques,Danemark,202,1010,9818.200000000001,en nombre,5557,,0
703,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bordeaux,203,Doüelles ; à bariques,Danemark,3510,13,9818.200000000001,milliers,5557,,0
704,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,203,Doüelles ; à bariques,Danemark,720,3600,9818.200000000001,en nombre,5557,,0
705,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rennes,203,Doüelles ; à bariques,Danemark,1125,7500,9818.200000000001,en nombre,5557,,0
706,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Amiens,203,Doüelles ; à pipes,Danemark,52.8,132,9818.200000000001,en nombre,4142.7,,0
707,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,203,Doüelles ; à pipes,Danemark,4032,10080,9818.200000000001,en nombre,4142.7,,0
708,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Nantes,203,Doüelles ; à pipes,Danemark,57.9,193,9818.200000000001,en nombre,4142.7,,0
709,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,203,Doüelles ; à quarts,Danemark,58.5,780,9818.200000000001,en nombre,58.5,,0
710,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rouen,203,Doüelles ; de sapin,Danemark,60,300,9818.200000000001,en nombre,60,,0
711,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rouen,203,Ecopes,Danemark,17.5,5,17.5,douzaines,,,0
712,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,203,Espars,Danemark,237,316,5744.8,en nombre,,,0
713,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Nantes,203,Espars,Danemark,5507.8,2156,5744.8,en nombre,,,0
714,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Amiens,204,Fer ; en barres,Danemark,11559.4,92475,26845.1,en nombre,,,0
715,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bordeaux,204,Fer ; en barres,Danemark,4474.5,29830,26845.1,en nombre,,,0
716,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,204,Fer ; en barres,Danemark,60,400,26845.1,en nombre,,,0
717,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rennes,204,Fer ; en barres,Danemark,975,7500,26845.1,en nombre,,,0
718,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rouen,204,Fer ; en barres,Danemark,9776.299999999999,65175,26845.1,en nombre,,,0
719,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,204,Fromage,Danemark,1467,815,1467,pains,,,0
720,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,204,Gaudron,Danemark,6138,341,46292,barils,,,0
721,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Nantes,204,Gaudron,Danemark,3894,177,46292,barils,,,0
722,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rennes,204,Gaudron,Danemark,5900,436,46292,barils,,,0
723,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rouen,204,Gaudron,Danemark,30360,759,46292,barils,,,0
724,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rennes,205,Gaules,Danemark,480,24,480,livres,,,0
725,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rouen,205,Huile ; de poisson,Danemark,2206.5,7255,2206.5,livres,,,0
726,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Amiens,205,Jambons,Danemark,22.5,45,22.5,livres,,,0
727,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,206,Maquereaux,Danemark,3780,126,5853.8,barils,,,0
728,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rouen,206,Maquereaux,Danemark,1260,36,5853.8,barils,,,0
729,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rouen,206,Maquereaux,Danemark,813.8,93,5853.8,quarts,,,0
730,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Amiens,206,Marchandises ; meslées,Danemark,6260,,6260,,,,0
731,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rouen,206,Mats,Danemark,30420,507,30470,en nombre,,,0
732,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rouen,206,Mats,Danemark,50,2,30470,petits,,,0
733,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,206,Matreaux,Danemark,576,64,47265,en nombre,,,0
734,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Nantes,206,Matreaux,Danemark,46689,2017,47265,en nombre,,,0
735,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rouen,206,Morüe ; sêche,Danemark,306.3,875,306.3,livres,,,0
736,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,207,"Pierres , à faulx",Danemark,75,1,75,milliers,,,0
737,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Amiens,207,Pierriers ; de fer,Danemark,13.8,55,13.8,livres,,,0
738,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rennes,207,Planches ; de Prusse,Danemark,6680,5344,287617.6,en nombre,6680,,0
739,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Amiens,207,Planches ; de sapin,Danemark,56510,45208,287617.6,en nombre,280937.6,,0
740,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Amiens,207,Planches ; de sapin,Danemark,292.5,585,287617.6,bouts,280937.6,,0
741,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Bordeaux,207,Planches ; de sapin,Danemark,48730,443,287617.6,cents,280937.6,,0
742,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,207,Planches ; de sapin,Danemark,84623.39999999999,87248,287617.6,en nombre,280937.6,,0
743,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,La Rochelle,207,Planches ; de sapin,Danemark,100,400,287617.6,bouts,280937.6,,0
744,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Nantes,208,Planches ; de sapin,Danemark,36106.8,40815,287617.6,en nombre,280937.6,,0
745,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Nantes,208,Planches ; de sapin,Danemark,199.5,266,287617.6,communes,280937.6,,0
746,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Nantes,208,Planches ; de sapin,Danemark,261.1,746,287617.6,demycs,280937.6,,0
747,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Nantes,208,Planches ; de sapin,Danemark,63.8,319,287617.6,bouts,280937.6,,0
748,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rennes,208,Planches ; de sapin,Danemark,4646,502,287617.6,douzaines,280937.6,,0
749,Jérémy Hervelin,Fonds Gournay - M87,National par direction/Saint-Brieuc/1750.csv,National par direction,1750,Imports,Rennes,208,Planches ; de sapin,Danemark,210,600,287617.6,demycs,280937.6,,0
