numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,probleme,prix_unitaire,doubleaccounts
104,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Pierres précieuses en granit et rubis,Les 4 villes anséatiques,1400,1,Caisse,,,,
105,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Plomb; En feuilles,Angleterre,860,76,Feuilles,,,,
106,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Plomb; En saumons,Angleterre,58698,246701,Livre,,,,
107,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Plomb; A giboyer,Angleterre,800,2000,Livre,,,,
108,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Poil pour doublage,Russie,1654,93,?,,,,
109,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Poissons de mer; Harengs,Angleterre,432,11,Barils,,,,
110,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Poissons de mer; Saumon salé,Angleterre,396,,Tonneau,,,,
111,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Poules en étain,Angleterre,954,1908,Livre,,,,
112,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Quincaillerie,Angleterre,7800,,,,,,
113,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Rum,Angleterre,3200,,Pintes,Conversion en Muid et Pinte - quantité illisible,,,
114,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Sucre en pains,Angleterre,7000,10,?,,,,
115,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Suif; Fondu,Russie,8500,17000,Livre,,,,
116,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Suif; Fondu,Etats Unis,900,1800,Livre,,,,
117,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Suif; En chandelles,Russie,3250,5000,Livre,,,,
118,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Tabac en feuilles,Angleterre,31680,96000,Livre,,,,
119,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Tabac en feuilles,Etats Unis,454420,1370000,Livre,,,,
120,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Toiles; Diverses,Les 4 villes anséatiques,21500,159,?,,,,
121,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Toiles; D'embalage,Les 4 villes anséatiques,2000,200,?,,,,
122,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Toiles; A sacs,Les 4 villes anséatiques,4320,3600,Aune,,,,
123,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Toiles; A voile,Russie,7250,145,?,,,,
124,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Toiles; Rayée,Angleterre,150,37,Aune,,,,
125,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Toiles; De coton,Angleterre,2400,,,,,,
126,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Verre en bouteilles,Angleterre,1632,7872,Nombre,,,,
127,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Verroterie,Angleterre,550,,,,,,
128,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Port franc de Lorient,4,Verroterie,Les 4 villes anséatiques,628,1,?,,,,
129,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Acier brut,Lorient,180,6,Quintal,Unité d'origine Livre,0,30,
130,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Bonneterie diverse,Lorient,160,,,,,,
131,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Bonneterie diverse,Angleterre,575,,,,,,
132,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Baleine en fanon,Etats Unis,34120,13648,Livre,,0,"2,5",
133,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Caumes de bambouts,Lorient,460,,,,,,
134,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Cendre potasse,Etats Unis,3900,130,Quintal,Unité d'origine Livre,0,30,
135,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Chairs salées; Jambon,Lorient,307,342,Livre,,"-0,8","0,9",
136,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Charbon de terre,Lorient,892,596,Quintal,,-2,"1,5",
137,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Coton filé,Lorient,228,57,Livre,,0,4,
138,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Couverture de laine,Angleterre,110,6,Nombre,,,,
139,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Cuivre ouvré,Lorient,160,80,Livre,,,,
140,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Cuivre en mitraille,Lorient,422,604,Livre,,"-0,8","0,7",
141,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Cuivre en cloches,Lorient,2166,1444,Livre,Conversion de 2 pièces pour 1444 Livres,0,"1,5",
142,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Drap de laine,Angleterre,3362,497,Aune,,,,
143,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Drap casimir,Angleterre,896,218,Aune,,,,
144,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Drap ratine,Angleterre,189,"84,5",Aune,,,,
145,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Drogueries; diverses,Lorient,1000,500,Livre,,,,
146,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Drogueries; Alun,Lorient,1095,"18,25",Quintal,Unité d'origine Livre,0,60,
147,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Drogueries; Sel de nitre,Lorient,6720,5600,Livre,,0,"1,2",
148,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Eau de vie simple,Lorient,6100,1220,Velte,Unités d'origine Muid et Pinte,0,5,
149,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Etoffes diverses de coton,Angleterre,17614,,,,,,
150,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Etoffes diverses de laine,Angleterre,5226,,,,,,
151,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Fayence,Angleterre,10113,,,,,,
152,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Fer en barres et verges,Lorient,20360,1018,Quintal,Unité d'origine Livre,0,20,
153,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Fer en barres et verges,Suede,9490,"474,5",Quintal,,0,20,
154,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Fer ouvré,Lorient,1750,3500,Livre,,,,
155,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Fer blanc,Lorient,578,"11,57",Quintal,Unité d'origine Livre,"-0,5",50,
156,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Fil de fer,Etats de l'empereur ou Allemagne et Flandre,290,768,Livre,,,,
157,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Fromages,Lorient,20,"0,34",Quintal,Unité d'origine Livre,"-0,4",60,
158,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Fromages,Hollande,1816,"30,27",Quintal,Unité d'origine Livre,"-0,2",60,
159,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Grains comestibles ris,Lorient,1957,"78,3",Quintal,Unité d'origine Livre,"-0,5",25,
160,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Graine de lin,Lorient,1186,"59,32",Quintal,Unité d'origine Livre,"-0,4",20,
161,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Huile de baleine,Etats Unis,39939,"998,47",Quintal,Unité d'origine Livre,"0,2",40,
162,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Huile d'olive,Lorient,896,896,Livre,,0,1,
163,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Lin peigné,Lorient,153,153,Livre,,0,1,
164,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Marchandises à la valeur,Lorient,1088,,,,,,
165,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Marchandises à la valeur,Angleterre,215,,,,,,
166,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,6,Mercerie,Lorient,1264,,,,,,
167,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Meubles vieux,Lorient,812,,,,,,
168,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Meubles vieux,Angleterre,525,,,,,,
169,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Mouchoirs des Indes,Lorient,744,31,Nombre,,0,24,
170,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Ouvrages en tôle,Lorient,602,,,,,,
171,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Quincaillerie,Angleterre,4252,2611,Livre,,,,
172,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Reverberes,Lorient,508,,,,,,
173,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Savon,Marseille,12014,"218,43",Quintal,Unité d'origine Livre,"0,35",55,
174,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Sirop à boire,Lorient,435,145,Bouteille,,0,3,
175,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Suif fondu,Lorient,328,656,Livre,,0,"0,5",
176,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Suif en chandeles,Lorient,132,165,Livre,,0,"0,8",
177,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Thé vert,Lorient,120,15,Livre,,0,8,
178,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Toile Bazin,Angleterre,1003,120,Aune,,,,
179,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Verrerie,Lorient,115,,,,,,
180,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Verrerie,Angleterre,188,,,,,,
181,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Vin rouge,Lorient,12600,151,Muid,Plus 262 Pintes,,,
182,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Vin de Bordeaux,Lorient,32856,316,Muid,Plus 277 Pintes,,,
183,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Vin blanc,Lorient,300,5,Muid,Plus 60 Pintes,,,
184,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Vin de liqueurs,Lorient,1039,3,Muid,Plus 136 Pintes et 26?,,,
185,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Vin du cap,Lorient,720,120,Pintes,,0,6,
186,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Ville de Lorient,7,Vin de Malaga,Lorient,1177,785,Pintes,Unités d'origine Pinte et Muid,"-0,5","1,5",
187,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Bois de sapin en planches,Lorient,1725,1150,Nombre,,0,"1,5",
188,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Bois de sapin en planches,Bayonne,9225,6150,Nombre,,0,"1,5",
189,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Bois de sapin en planches,Angleterre,1440,960,Nombre,,0,"1,5",
190,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Bois de sapin en planches,Norvège,20018,14012,Nombre,,-1000,"1,5",
191,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Bois en avirons,Bayonne,134,62,Nombre,,10,2,
192,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Bois en avirons,Lorient,480,240,Nombre,,0,2,
193,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Bois merrain,Lorient,1080,10800,Nombre,,,,
194,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Bois à bruler,Petites Isles,756,"31,5",Corde,,,,
195,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Bois de cèdre,Lorient,450,,,,,,
196,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Bray; Sec,Bayonne,328,"54,7",Quintal,Unité d'origine Livre,"-0,2",6,
197,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Bray; Goudron,Bayonne,489,"48,9",Quintal,Unité d'origine Livre,0,10,
198,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Bray; Goudron,Lorient,845,"84,5",Quintal,Unité d'origine Livre,0,10,
199,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Bray; Goudron,Norvège,2360,236,Quintal,Unité d'origine Livre,0,10,
200,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Bray; Résine,Bayonne,317953,"37406,3",Quintal,Unité d'origine Livre,"-0,55","8,5",
201,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Cendres de lessives,Petites Isles,10640,2660,Quintal,Unité d'origine Livre,0,4,
202,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Charbon de terre,Lorient,410,"327,75",Quintal,Unité d'origine Livre,"0,31","1,25",
203,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Chaux,Lorient,156,125,Quintal,Unité d'origine Livre,"-0,25","1,25",
204,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Cidre,Lorient,396,12,Muid,Plus 44 Pintes,,,
205,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Cordages,Lorient,196,490,Livre,,,,
206,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Drogues pour la peinture et teinture,Lorient,256,,,,,,
207,Anthony Rebours,AN F12 1667,National toutes directions tous partenaires/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National toutes directions tous partenaires,1789,Imports,Lorient,Subordonné à celui de Lorient,9,Eau de vie,Lorient,4270,854,Velte,Unités d'origine Muid et Pinte,0,5,
