hypothese,marchandises,definition,nbre d’occurrences,remarques
0,bougran,"Savary, volume 1, 1748 : « Sorte de grosse toile de chanvre, gommée, calendrée et teinte en différentes couleurs. »",,
0,bouguette,"Petit bouge, ou sac, Savary, Dictionnaire 1, article ""Bougette"".",,
1,boulande,boutannes ? Source : La Rochelle – 41 ETP 270 – 1739 – Page 2),1,
1,boulanes,boutannes ? Source : La Rochelle – 41 ETP 270 – 1738 – Page 2),1,
0,boulange,"Wikitionary : «  Boulange : Produit de la mouture du blé transformé par la meule en son, gruau et farine. »",,
,boulans,Semble correct…,1,
0,boule de mail,"Boule de buis, pour jouer au maillet (Savary)",,
0,boule vulneraire,"Wikipedia : « Ce remède est évoqué en 1725 dans la Pharmacopée de Strasbourg mais divers variantes et produits proches seront produis jusqu'en 1972 on en tirait une solution ferrugineuse à administrer au patient, qui était réputée soigner de ",,
0,boulle d'acier,"Wikipedia : « Ce remède est évoqué en 1725 dans la Pharmacopée de Strasbourg mais divers variantes et produits proches seront produis jusqu'en 1972 on en tirait une solution ferrugineuse à administrer au patient, qui était réputée soigner de ",,
0,boulons de gay,boutons de jais,,
0,bouracan,"Savary, volume 1, 1748 : « Bouracan : Etoffe non croisée qui est une espèce de camelot d'un grain beaucoup plus gros que l'ordinaire.»gaiac.",,
0,bouraline,"erreur de retranscription, il fallait lire «bouralisse». ",,
,bouralisse,,"plusieurs occurrences, sources différentes",
0,bouras,wikitionary : « Bourras : Grosse toile faite d'étoupes de chanvre. »,,
0,"bouras, bours","Bouras, étoffe de Nîmes imitant celles du Levant. Article ""Bours"", Jacques Peuchet, Vocabulaire...Article ""Bouras"", Pierre-Augustin Boissier de Sauvages (abbé), Dictionnaire languedocien-français, Alais",,
0,bourde,"Sorte de soude, article ""Bourde"", Savary, Dictionnnaire 1.Karthala, 2001,p. 332.",,
0,bourdillon,"bois de chêne débité, refendu, et propre à faire des douves de tonneau, article ""Bourdillon"", Encyclopédie.",,
0,bourdillon,"Savary, volume 1, 1748 : « Bois de chêne refendu, propre à faire des tonneaux et futailles »",,
0,bourlet,"Ptit rouleau, article ""Bourlet"", Savary, Dictionnnaire 1.",,
0,bourlet de velours,"Savary, volume 2, 1748 : « C'est un petit rouleau d'environ un pouce ou un pouce et demi de diamètre, rempli de bourre. Ils sont couverts communément de velours noir et pliés en forme de cercle. On les met autour de la tête des enfants quand il",,
0,bourras,Bourras : On appelloit autrefois de ce nom une sorte de grosse étoffe de laine qui ne servoit que pour habiller les pauvres et les paysans. Ce terme n'est plus en usage et il est d'apparence qu'on lui a substitué celui de bure. (Savary),,
0,bourre de laine,bourre de laine et noppes,,
,boutanne,,"1 seule occurrence, mais plusieurs pour le même mot au pluriel",
0,boutarge,"N. de Wailly et P. Richelet, Dictionnaire portatif de la langue française, volume 1, 1793 : « Boutarge : Oeufs de poisson salés et confits dans le vinaigre.»",,
,boutty,Vérifier orthographe dans le pdf : Objet Général -- 1759 – BMRouen_Ms_Montbret_155-2.pdf (page 16),1,1280
,boway (bois), Peut être « borday » ? Pdf en question : Objet Général -- 1754 – BMRouen_Ms_Montbret_155-page 16),2,
,bozemin,Il ne semble pas y avoir d’erreur de retranscription… Source pdf : 41 ETP 271 – La Rochelle -  1749 – Page 3),1,
,braccles,,1,peut être bracelé ?
0,brai,"Le brai (de houille, de pétrole) est un résidu pâteux de la distillation du goudron, du pétrole ou de la résine. Il est solide à température ordinaire il est composé d'un mélange d'hydrocarbures aromatiques et hétérocycliques.",,
0,brai,"mélange de gomme, de résine, de poix, article ""Brai"", Encyclopédie.",,
,brandamis,,1,
1,brandan,Peut-être « Brandon »,,
,brandans,,"4 occurrences, sources diverses",
1,brandilles (bois),"brindilles, ou bourdilles?",,
,"bras de soie (indécidable: bas de soie, mais le ""bras"" de soie existe comme mesure à parme)",,,
,braudans,,1,
,braulambis,,1,
0,braule,Larousse : « Mouche »,,
,braule,,,
0,bray,"Savary, volume 1, 1748 : « Espèce de poix, ou résine, qui sert à calfater les vaisseaux. »",,
0,"breck, etreek, greek, greck, otreck, vtreck, ytrez","velours d'Utrecht (d'Breck, d'Greek, d'otreck = d'Utrecht).",,
0,brésillet (bois de),"nom pour différentes variétés de bois du Brésil, cf. http",,
,brian,,1,
0,brigadis,Sorte de cuir (qu’on fabrique aussi en Dauphiné) (BD),,
0,brignole,"prune séchée, CNRTL.",,
0,brignoles,"pluriel de « brignole », voir ci dessus",,
0,bris d'espars,"Wiktionnaire : (marine) Les bris sont les « Pièces d’un navire, d’une embarcation qui s’est défoncée, brisée en donnant contre les rochers ou sur les bancs. » ; L’espar quant à lui est une « longue pièce de bois pouvant servir de mât, de vergue. » (http://dictionnaire.sensagent.com/espars/fr-fr/)",,
0,brocade,brocard en anglais,,
0,brocatelle,"Petite étoffe faite de coton, Savary, Dictionnaire 1, article ""Brocatelle"".",,
0,brocatelle,"Savary, volume 1, 1748 : « Petite étoffe faite de coton, ou de grosse soie, à l'imitation du Brocard. »",,
1,brochialle (bois de),brésillet?,,
,bronchetaine,,1,
,broole,,1,
,brosserie ou poutries,,1,chercher uniquement poutrie
,broulas,,1,
,broule,,"2 occurrences, années différentes",
0,brousse,"Caille de lait de brebis, ATILF.",,
1,brousse fraiche,Fromage ?,,
,broutes chaderdoral,,1,
,bruimes d'espars,"D’après le Wiktionnaire : (vocabulaire de la pêche) Une bruime est une « corde qui borde la tête du filet. » L’espar quant à lui est une « longue pièce de bois pouvant servir de mât, de vergue. » (http://dictionnaire.sensagent.com/espars/fr-fr/)",,
0,bruste à tisserand,Importation de Savoie – toile brut pour tisserands ? BD,,
0,brustes à tisserand,"Pluriel de « bruste », voir ci dessus",,
0,buffletin,Juste-corps confectionné dans du cuir de buffle du levant,,
,buits (indécidable: buis ou boîtes),,,
,buldan,"Absent de la base de données centrale car provenant de sources étrangères, du Sound exactement. Probablement un textile, à en croire ce passage : https://books.google.fr/books?id=LTYMwozmPugC&pg=PA483&lpg=PA483&dq=buldan+sweden&source=bl&ots=xMQ-9sqNXB&sig=Skq_NzIGUY3COdcEjhSowhshZS8&hl=fr&sa=X&ved=0ahUKEwiSt6iDvJrMAhUD0xQKHZszBwcQ6AEIMDAD#v=onepage&q=buldan%20sweden&f=false",1,
0,bura,"Bura ou Burat, qu'on nomme aussi quelquefois Boura. Etoffe partie soie partie laine qui est plus connue sous le nom de Moncahiard, article ""Bura"", Savary, Dictionnaire 1.",,
0,burail,"Savary, volume 1, 1748 : « Burail : qu'on nomme plus ordinairement Fernandine. Etoffe de soie, tramée quelquefois de soie, et plus ordinairement de laine, de poil, de fil, ou de coton. »",,
0,"burail, buraille ","étoffe de soie tramée, article ""Burail"", Encyclopédie.",,
0,burate,"Buratte, que dans quelques manufactures on appelle Burat. Petite étoffe toute laine, Savary, Dictionnaire 1, article ""Buratte"".",,
0,bure,Le Savary ne mentionne que le tissu de laine et non le vêtement,,
0,busquière,corset. ATILF.,,
0,busquière or et argent,"Wikitionary : « Coulisse d'un corset, qui loge le busc »",,
0,busse,"futaille, article ""Busard ou Busse"", Encyclopédie.",,
0,"bussing, bussingue (eau de)","Bussang (eau minérale), en Lorrainele nom allemand de la ville est Büssingen ou Büssing.",,
,buvie,,1,
0,cabaret,"Savary, volume 2, 1748 : « Espèces de tables, soit avec des pieds, soit sans pieds, sur lesquelles on présente le thé, le café et les autres liqueurs chaudes qui ont passé du Levant dans l'Europe.» ",,
0,cabinet,"Savary, volume 2, 1748 : « Ouvrage de menuiserie ou d'ébénisterie. C'est une espèce d'armoire, ou de buffet à plusieurs volets et tiroirs. »",,
0,caboche,"espèce de clous, article ""Caboche"", Encyclopédie.",,
0,caboche,Variété de clou pour les souliers (Savary),,
,cabrions,,,
0,cabrouet,"Petit chariot à deux roues, article ""Cabrouet"", ATILF.",,
,cabrouet,,,
,cache,,,
0,cachou,"Savary, volume 2, 1748 : « Drogue médicinale et aromatique que l'on met au nombre des parfums. […] on croit qu'il arrête la toux, et qu'il fortifie l'estomac sans compter qu'il adoucit et parfume l'haleine » => dérivé de l'acacia",,
,cachouane,,,
0,cadi,Petite étoffe de laine croisée ou serge étroite (Encyclopédie),,
0,cadis,"Sorte de petite étoffe de laine croisée, Savary, Dictionnaire 2, article ""Cadis"".",,
,cadisson,,,
,cafas,,,
0,cafetière,Déjà en usage avec le sens actuel.,,
,cafetou,,,
,caffa (indécidable: caffar ou café?),,,
0,"caffars, caffards, caffar","article ""Damas caffart"", Antoine Furetière, Dictionnaire universel français & latin, vol. 1, La Haye, Arnoud et Reinier Leers, 1701.",,
,caffatines,,,
0,"cahouanne, cahouane (écaille de)","tortue caouane, ATILF. Graphie choisie cahouanne.",,
0,cal (d'artichaut),"le fond de l'artichaut, C. Nodier et al.,  Dictionnaire universel de la langue française, 1835 [Ci-après Nodier, Dictionnaire], article ""artichaut"".",,
0,caladari,"Toile de coton rayée qui vient des Indes orientales (Dictionnaire portatif de commerce, 1770)",,
0,caladaris,"toile de coton rayée de rouge ou de noir, Encyclopédie, article ""Caladaris"".",,
0,calamine,"pierre ou terre, qui mêlée au cuivre par le moyen de la partie inflammable du charbon, produit un mixte métallique, qu'on appelle cuivre jaune, ou laiton, article ""Calamine"", Encyclopédie.",,
0,calamine,"Savary, volume 2, 1748 : « Calamine : Minéral, ou terrre fossile, qui a quelques usage dans la médecine mais qui s'emploie ordinairement par les fondeurs. »",,
0,calamus,"Acorus Calamus, ou calamus aromaticus : Dapriez, Dictionnaire classique des sciences naturelles, volume 1, 1837 : Ou calamus aromaticus, racine d'Acore, plante stimulante",,
0,calamus aromaticus,"genre de plante à fleur sans pétales, Encyclopédie, article ""Calamus aromaticus"".",,
0,calamus aromatisé,"Acorus Calamus, ou calamus aromaticus : Dapriez, Dictionnaire classique des sciences naturelles, volume 1, 1837 : Ou calamus aromaticus, racine d'Acore, plante stimulante",,
0,calandrine,"J. Decaisne et Ch. Naudin, Manuel de l'amateur des jardins, tome 2, : « Calandrines (Calandrinia) : Plantes américaines, annuelles ou vivaces »",,
,calandrine,,,
0,"calemande, calemandre, callmande","étoffe de laine. Encyclopédie, article ""calmande"". Graphie dominante ""callemande"".",,
0,caliatour (bois de),"bois de santal, cf. Savary, Dictionnaire 3, article ""Sental"".H. Dessain, 1833, article ""Baïardai"".",,
0,callemande,Wikitionary : « Calmande : Etoffe de laine lustrée d'un côté. »,,
,calmottes,,,
,calpo baljainum,,,
0,cambaye,"Savary, volume 2, 1748 : « Cambayes : Toiles de cotons »",,
0,cambaye,"Toiles de coton, Savary, Dictionnaire 2, article ""Cambayes"".",,
0,cambouis,"graisse de porc ou d'autres animaux, Encyclopédie, article ""Cambouis"".",,
0,cambray,"cambrais, ""sorte de toile blanche""""ont pris leur nom [...] de la Ville de Cambray"", Savary, Dictionnaire 1, article ""Cambray"". => modernisé ""cambrais"".",,
0,camelot,"étoffe non croisée qui se fabrique comme la toile ou comme l'étamine, Encyclopédie, article ""Camelot"".",,
,cameramain,,,
0,camisolle,"Savary, volume 2, 1748 : « Camisole ou Chemisette : Petit vêtement que l'on met la nuit, et souvent le jour, entre la chemise et la veste, pour se garantir du froid »",,
0,camomille,"Savary, volume 2, 1748 : «Cette plante aussi bien que l'huile qui se fait avec de ses fleurs, sont du nombre des drogues propres à la Médecine »//www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?22045et pour la teinture Grenand Pierre et Prévost Marie-Françoise. Les plantes colorantes utilisées en Guyane française. Journal d’agriculture traditionnelle et de botanique appliquée, vol. 36, no 1, 1994, p. 144.",,
0,campêche,"bois de teinture, cf. Savary, Dictionnaire 1, article ""Bois"", p. 510.",,
0,camphre,"Savary, volume 2, 1748 : « C'est cependant seulement du Camphre ainsi purifié ou raffiné dont on se sert, soit dans la Médecine, soit dans les feux d'artifices […] fort estimé pour la guérison de la carie des os. »",,
,canades,,,
0,"canari, canarie (graine de)",graine d'alpiste (toujours usuel).,,
,candetas,,,
,caneffas (indécidable: canevas ou canefice?),,,
0,canefice,"Casse, article ""Casse"", Savary, Dictionnaire 2. Remède (casse en bâton)",,
0,canefice,"Savary, volume 2, 1748 : « Ou CANEFICE ou CASSE. Drogue propre à la Médecine, qui purge doucement, & qui est communément ordonnée par les Médecins & Apothicaires de France, et surtout de Paris. ». Il existie  espèces : la Casse de Levant, d'Egy",,
0,canefiée,"La marchandise semble exister sous cette appellation cf : bulletin de la société historique de compiègne, volume 11, 1904",,
,canepre,,,
,canerelle,,,
0,canetille,"trait filé sur une corde à boyau, qu'on tire ensuite, artilce ""Dorure"", Encyclopédie.",,
0,canetille d'or faux,"Savary, volume 2, 1748 : « Morceau de fil d'or »",,
0,canevas,Toile de chanvre ou de lin (Savary),,
0,canevette,"Canevette ou canavette : terme de marine désignant une cantine. Canette ou Cavette désigne un petit récipient, celles de hollande sont en terre et celles de France en Etain (Savary).",,
,caneville (indécidable: canetille ou canevette),,,
,caniques,,,
0,cantharide,Wikipédié :Insecte coléoptère qu'on desséchait et réduisait en une poudre qui servait surtout en pharmacie,,
0,cantharide ou mouche d'espagne,"Selon Robert J James, Dictionnaire universel de la médecine, 1746, « Lorsque la suppression d'urine est si grande que les remèdes ordinaires ne sont d'aucun effet, le médecin doit avoir recoursaux cantharides, comme au remède le plus efficace p",,
,cantil (canonnières de),,,
0,canyolore,???,,
0,capalme,"Manuel de l'arboriste et du forestier belgiques, volume 2, 1792 : « Cet arbre croît dans plusieurs contrées du nord de l'Amérique »",,
,capalmes,,,
0,capies,"écheveaux arrêtés, article ""capier"", Encyclopédie.",,
0,capilaire,"plant, article ""Capillaire"", Savary, Dictionnaire 2.",,
0,capilaire,"Savary, volume 2, 1748 : « Nom que l'on donne à certaines plantes »",,
0,capillaire,"Savary, volume 2, 1748 : « Plantes qui coiffent en filets déliés & pour ainsi dire semblables, les cheveux […]. Les capillaires servent à faire des sirops auxquels on attribue de grandes propriétés »",,
0,capiton,Bourre de soie,,
,capris (indécidable: câpres ou cabris),,,
,capsliatte,,,
0,caput mortum,Wikipédia : «  Pigment brun rouge »,,
0,carabé,"Ambre jaune autrefois utilisé en médecine. ATILF, article ""Carabé"".",,
0,carcajou,"animal quadrupède de l'Amérique septentrionale, article ""Carcajou"", Encyclopédie.",,
0,carcasses,"branches de fil de fer, couvertes d'un cordonnet, article ""Carcasse [terme de Marchand de modes]"", Encyclopédie.",,
0,cardamone,"Savary, volume 2, 1748 : ou CARDAMOMUM, « Plante & Graine médicinale, fort aromatique, qui entre dans la composition de la thériaque.  »",,
0,cardamum,"écrit ""Cardamome"" dans Savary, Dictionnaire 2, mais écrit ""Cardamum"" dans Encyclopédie.",,
,cardine (bois à),,,
0,cardine de sapin,Littré : « Cardine : Espèce de sole »,,
,cardon,,,
0,caret,"gros fil qui sert à faire les cordages, article ""Fil"", Encyclopédie.",,
1,caril,Curry ?,,
0,caril,"sorte de mets indien, article ""Cari"", ATILF.",,
,caril,,,
0,"carisaye, carisé",étoffe [Bacchia],,
0,carisel,"grosse toile très claire, article ""Carisel ou Creseau"", Savary, Dictionnaire 2.",,
0,carisel ou crésea,Le carisel est un autre nom du canevas (toile de chanvre),,
0,carive,"poivre de Guinée, article ""Carive"", Savary, Dictionnaire 2.",,
0,carizé,"Sans doute « Carisé, qui est une étoffe de laine »",,
1,carlé,carrelet?,,
1,carlé,Peut-être « Carrelet »,,
1,carlon,cardon?,,
0,carmin,"Couleur rouge vif, luxe",,
0,carnasse,"ortie de mer, CNRTL, article ""Carnasse"".",,
0,carnatane,tarnatane,,
0,carnifié,Wikitionary : « Qui a pris l'aspect de la chaire »,,
,carnifié,,,
0,carny,"drogue dont il est parlé dans le Tarif de 1664. Sic et resic! Savary, Dictionnaire 2.Gosse, 1730, vol. 2, p. 268, article ""Caribes"".",,
,carols,,,
,caroos,,,
,caroots,,,
,carots,,,
0,carpette,"Savary, volume 2, 1748 : « Gros dras rayé »",,
,carragoux (argent),,,
0,carré,Plusieurs acceptions : désigne les ardoises signifie aussi carreau ou encore carré de cuir (grosses pièces de cuir en forme de carré) (Savary),,
0,carres,"mesure de continence, dont on se sert à Briare pour mesurer les grains, article ""Carre"", Encyclopédie.",,
0,carret,"Savary, volume 2, 1748 : « Fil qui sert à coudre les voiles » ou « Ecaille de tortue »",,
,"carret (indécidable: caret, carré, carrelet, carreau?)",,,
0,carrouge,"Carrobe, carrouge ou carroubier : fruit exotique en forme de corne.",,
0,carrouges,"carouge employé pour caroubier, Xycol.",,
0,cart de nonante,cf. quart de nonante.,,
0,cartager,"Le grand vocabulaire françois, volume 5 : « Cartager : Terme d'agriculture […] donner un quatrième labour à la vigne»",,
0,cartamy,"Drogue, ou semence employée dans les tarifs, article ""Cartamy"", Savary, Dictionnaire 2. Identifié à ""cartame"", ""safran bâtard"", d'après Savary, Dictonnaire vol. 1, édition de Genève, Cramer et fils, 1742, article ""Cartame"".",,
1,carubi,Caroube ? BD,,
0,"carubis, carruby, caruby, couroubis","carubiu, caroubier, Xycol. Graphie choisie carubis.",,
0,carvi,"CARVI ou CUMIN : Savary, volume 2, 1748 : « Est d'usage dans la médecine où elle est employée avec succès dans le vertige, dans les coliques venteuses, et dans les enflures de bas ventre, que l'on nomme Hydropisie Tympanique. On l'estime encore",,
,carzé,,,
0,"cascalogne, cassalogne, castalogne","couverture de lit, article ""Castalogne"", Savary, Dictionnaire 2.",,
0,cascarille,"écorce assez ligneuse, Encyclopédie, article ""cascarille"".",,
0,cascarille,Nom d'origine espagnol qui signifie une petite écorce solide et cassante (Savary). Utilisé pour la teinture et la réduction de la fièvre (cf. wikipedia),,
0,"cassa lignea, cassia lignea, cassea lina, cassalogne, cascalogne, castalogne, cassia lignex, cassiatignea, cassis lignes","Cassia lignea, ""bois aromatique"", article ""Cassa-Lignea ou Cassia-Lignea"", Savary, Dictionnaire 2.",,
,casse,"Aussi une drogue (Savary, dictionnaire article Casse)",,
0,casse,Casse d'imprimerie,,
0,casse étoffe,C'est une espèce de mousseline de coton très fine (Savary),,
1,cassela,Peut-être « Chasselas »,,
0,cassia lignea,"Savary, volume 2, 1748 : « Écorce fort semblable à la vraie canelle »",,
0,cassole,"Wikipédia : « Récipient de terre cuite »potasse du commerce, Nicolas de Lemery, Simon Morelot, Nouveau dictionnaire général des drogues simples et composées, vol. 2, article ""Potasse"".",,
0,cassonnade,Cassonade ou castonade : sucre qui n'a pas eu sa dernière façon et qui n'est pas passé par l'affinage (Savary),,
0,cassubes,"gravelle de Cassube, Savary, Dictionnaire 2.",,
0,castalogne,"Castalogne ou Castelogne : couverture de lit, faite de laine très fine (Savary)",,
1,castas,castor?,,
0,castoreum,"liqueur, article ""Castoreum"", Savary, Dictionnaire 2.",,
,catadarits,,,
,catendevy,,,
1,caume bambou,Peut-être « Chaume »,,
1,caume de bois,Peut-être « Chaume »,,
1,caume de jonc,Peut-être « Chaume »,,
,cauride,,,
,caurie (indécidable: cauris ou caurier),,,
0,caurier,"coudrier, G. A. I. Hécart, Dictionnaire Rouchi-Français, Valenciennes, Chez Lemaitre, 1834 [Ci-après Hécart, Dictionnaire Rouchi-Français], article ""Caurier"".",,
0,cauris,Coquillage,,
,causels,,,
0,cave file,"Savary, volume 2, 1748 : « Petit coffré séparé en plusieurs carrés pour y renfermer des bouteilles »",,
0,cavefico,???,,
,cavelle,,,
0,cavial,"caviar. Article ""Cavial"", Savary, Dictionnaire 2.",,
,caviers,,,
,cavizé,,,
,"cayette (indécidable: cagette, bayette?)",,,
,cazé,,,
0,cédrat,"« Cédra ou Cédrat : Espéce de Citronnier, dont le fruit est de bonne odeur. On donne aussi ce nom au citron qu'il produit » (Savary)",,
0,cendre de matron,"Savary, volume 2, 1748 : « Est du plomb en fort menus grains, dont les chasseurs se servent pour chasser au menu gibier »",,
0,cendre gravelée,"Cendres gravelées (Page 2:814) Cendres gravelées, (Chimie.) elles se font avec de la lie de vin: voici suivant M. Lemery la [p. 815] façon dont on s'y prend. Les Vinaigriers séparent par expression la partie la plus liquide de la lie de vin, do",,
0,cendre verte,espèce d'oxyde de cuivre utilisée en peinture,,
0,céruse,"Liste Wallis (Utilisé dans la peinture et pour le fard blanc): A name for WHITE LEAD, a mixture or compound of carbonate and hydrate of lead (usually 2 PbCO3+ PbH2O2)largely used as a white paint, formerly also in medicine for ointments, etc.",,
0,cetrin,"bois de rose, Bruzen La Martinière, Grand dictionnaire géographique et critique, La Haye",,
0,cévadille,"E. SoubeiranTraité de pharmacie théorique et pratique, volume 2 : « La cévadille contient : vératine,matière grasse, acide cévadique...»",,
0,cévadille,"www.cnrtl.fr (Centre National de Ressources Textuelles et Lexicales) : OU SABADILLA,  Plante bulbeuse originaire du Mexique dont les graines ont été utilisées comme parasiticide en raison de leur toxicité pour les animaux à sang froid. La cévad",,
0,chalon,"Etoffe (d'après les données)o u filet de pêcheur (Savary, p. 619)",,
0,changeante,"Savary, volume 2, 1748 : « Changeant : Etoffe tout de laine »",,
0,chanoni,Chanoine en occitan,,
0,chardon,"Savary, volume 2, 1748 : Plusieurs types de chardons, pour décoction, différents usages en médecine",,
0,charriot à feu,"Wikipédia : fardier de Cugnot, le premier véhicule automobile",,
1,cheuvron de merizie,Peut-être « Chevron »,,
0,chévaque,???,,
0,chevron,"Savary, volume 2, 1748 : «Sorte de laine » ou « pièce de bois de sciage »",,
0,chicolin,"???M. Hayez, 1840.",,
0,chicotin,Espèce de drogue très amère qu'on met sur le bout des seins des nourrices pour sevrer les enfants (Savary),,
0,chilas,Toiles de coton à carreaux (Savary),,
0,chine,"Savary, volume 2, 1748 : « Sorte de tapisserie de bergame »",,
0,chiquette (bourre),"attestée dans l'article ""Bourre"", Savary, Dictionnaire 1.",,
0,chivelle,"E. Le héricher, Histoire et glossaire du normand, de l'anglais et de langue française, : « saule qui sert d'osier » ou « courroie à double arguillon »",,
0,chuquelas,Chuquelas ou Chercolées ou cherconnées : toile des Indes de soie et coton.,,
0,cinabre,"Sulfure de mercure de couleur rouge, utilisé notamment pour la fabrication du vermillon",,
0,"cipres, sipre (bois de)",bois de Chypre. Xycol.,,
,cire: confusion probable crasse/grasse,,,
0,cirsaca,Cirsaca ou cirsaka : Etoffe des Indes presque toute de coton et de très peu de soie (Savary),,
0,cirsaka,"Savary, Dictionnaire 1, article ""Cirsakas"", ""Etoffe des Indes, presque toute de coton, avec le mélange de très peu de soie"".",,
,"clafou, claffous, claphout",,,
,"clafou, claffous, claphout (bois en, de)",,,
0,claye à parquer,"Savary, volume 2, 1748 : « Ouvrage de vannier »",,
,cleippe (bois de),,,
0,cocalum,Dictionnaire étymologique de la langue françoise : « Artichaut »,,
0,"coclaria, coclearia","cochlearia, ""plante anti-scorbutique"", Encyclopédie, article ""Cochlearia"". Graphie choisie",,
0,codearia,Semble être le mot espagnol pour la plante « cochlearia »,,
0,coëtif,"Sociétés des sciences, lettres et arts de Bayonne : bulletin : « Parmi les produits manufacturés, les textiles tiennent la première place : […] toiles grossières, coetifs »",,
,"coity, conty, coitif, coïtif, coëtif, coctif, corty, couëtis: coati en grande partie mais il existe des toiles de coity, savary vol. 3; et attention également à couty, coutil",,,
0,colette,Sorte de toiles qu'on tire de Hollande ou de Hambourg pour les Canaries où les Anglais en portent beaucoup (Savary),,
0,colle de poisson,List de Wallis : Isinglass is a substance obtained from the dried swim bladders of fish. It is a form of collagen used mainly for the clarification or fining of wine and beer. It can also be cooked into a paste for specialized gluing purposes.,,
0,colombine,La laque colombine est une des 3 sortes de laques utilisées par les peintes.,,
0,coloquinte,"Savary, volume 2, 1748 : « ou COLLOQUINTE. […] commerce assez considérable […] Ce fruit est assez d'usage en Médecine où il doit cependant être employé avec prudence, étant une drogue des plus purgatives, & quelquefois d'une telle force, ou d'u",,
0,"combary, courbary (bois de)","bois de courbaril, Xycol.",,
1,composition de chimie,?,,
0,confection,"Savary, volume 2, 1748 : « Terme d'Epicier Droguiste. Espèce de remède en forme d'électuaire solide. »",,
0,confection d'alkerme,"Savary, volume 2, 1748 : « On la met du nombre des meilleurs cardiaques et on l'emploie volontiers pour la palpitation de coeur et la syncope »",,
0,confection d'hyacinte,"Savary, volume 2, 1748 : « à peu près les mêmes vertus que celle d'Alkerme : il u entre pourtant le triple des drogues… »",,
0,connoissement,"Savary, volume 2, 1748 : « Espèce d'acte, ou de reconnaissance, sous signature privé, que le maître, ou le capitaine d'un navire, donne à un marchant, des marchandises qu'il a fait charger à son bord. »",,
,constentines (bois de),,,
0,conterie,"Terme de commerce. Grosse verroterie de Venise, dont on se sert surtout pour commercer avec les nègres.",,
0,contrahierba,"Savary, volume 2, 1748 : CONTRA-YERVA, apporté du Perou ou de la Nouvelle Espagne, « un alixitere, ou contre-poison souverain »",,
0,contre-bordé,"Jean Baptiste Le Rond d' Alembert, Encyclopédie volume 36, voir Rassade : type de verroterie.",,
0,coque levant,"Savary, volume 2, 1748 :  « sorte de fruit […] sert à faire mourir la vermine et à endormir le poisson », C'est aussi un stimulant respiratoire utilisé comme antidote dans les cas d'empoisonnement aux barbituriques ou à la morphine.",,
1,coquenard (de cuivre) , ???.,,
0,coquille de nacre,"Cf. P.H.Wallis  : coquilles dite nacre de perle, utilité médecine ???",,
0,corail,Liste Wallis : semi-precious stone,,
0,coraline,"savary, volume 2, 1748 : « Espèce de plante qu'on trouve attachée aux rocher, aux coquilles et même au corail. »",,
0,coraline fine,"Savary, volume 2, 1748 : « Plante qu'on trouve attachée aux rochers, aux coquillages»",,
,cordayer (bois),,,
,"cordeillat de provence existe, orthographiés cordeillars par google lisant savary",,,
0,"cordeillat, cordeillard, cordeillard","graphie ""cordeillat"" dans Savary Dictionnaire 3, p. 1135, article ""Réglements pour les longueurs, largeurs, qualités et frabriques des draps"".",,
0,cordillaterie,étoffe de laine grossière du Languedoc semble-t-il.,,
0,cordouan,"espèce de maroquin, artilcle 'Cordouan"", Savary, Dictionnaire 2.",,
0,cordouan,Sorte de cuir dont on fait communément des souliers,,
0,coriandre,"Savary, volume 2, 1748 : « Outre les dragées de Coriandre que l'on fait, et dont les meilleures viennent de Verdun cette graine a quelque usage dans la médecine », s'utilise dans les remèdes et concoctions.ne pas confondre avec l'article homonyme ""jayet"", résidu de bitume].",,
0,cornaline,"Savary, volume 2, 1748 : « Pierre précieuse »",,
0,corne de cerf,"Cf. P.H.Wallis  : Harts horn (Ceruus is deer), burned",,
0,"corot, corots, coros, korot","korot, ""Etoffe propre à la traite"" fabriquée à Rouen, Jacques Peuchet, Dictionnaire universel de la geographie commercante, vol. 5, Paris",,
,"corou, coros, corroos, corrots, corots, coroots, coroos, corvos, curous peut-être",,,
0,costus,Costus est un genre d'environ 150 espèces de la famille des Costaceae. Il est présent dans toutes les régions tropicales. Cf. P.H.Wallis,,
0,costus,"racine d'un arbre, article ""Costus Arabicus"", Savary, Dictionnaire 2.",,
0,cotomine,"Cotoninne, ""grosse toile à chaîne de coton & trame de chanvre , dont on se sert pour les voiles des galeres"", Encyclopédie, article ""Cotonnine"".",,
0,coton en mêche,Mèches de coton pour chandelles et lampes,,
0,cotonnée,"« Cotonnées, qu'on nomme aussi toisette. Petites étoffes qui se fabriquent en Hollande, ainsi appelées à cause qu'on y emploie du coton » (Savary)",,
0,cotonnille,Cotonnille ou basin uni (Dictionnaire Expilly),,
0,couffe à boulanger,Larousse : « Synonyme de couffin »,,
,couffins/coussins à vérifier,,,
,coulette (bois de),,,
0,couperose,"Savary, volume 2, 1748 : « Minéral qui se trouve dans les mines de cuivre »",,
,coupil/coupis/coups?,,,
0,coupis,"« Coupis : Toiles de coton a carreaux, qu'on apporte des Indes Orientales, particulièrement de Bengale. » (Savary)",,
0,courbant adj.,"Bois de construction qui n'est pas droit, pièces dont les fibres suivent une certaine courbure. In Dictionnaire de Marine par J.-B. P. Willaumez, 3e édition, 1831, p. 187. On trouve également « Courbe » comme nom de marchandise.",,
