numerodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantity,quantity_unit,value,prix_unitaire,Remarques
847,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Cacao,Rouen,Hollande,118,livres,,"0,9",
848,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Cacao,Rouen,Ile français d'amérique,74891,livres,,"0,75",
849,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Chocolat,Rouen,Espagne,821,livres,,3,
850,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Chocolat,Rouen,Ile français d'amérique,37,livres,,3,
851,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Chocolat,Rouen,Portugal,232,livres,,3,
852,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Coton en laine,Rouen,Danemark,2350,livres,,"1,7",
853,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Coton en laine,Rouen,Hollande,5837,livres,,"1,7",
854,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Coton en laine,Rouen,Ile français d'amérique,2467905,livres,,"1,7",
855,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Coton en laine,Rouen,Portugal,250659,livres,,"1,7",
856,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Sucre Brut,Rouen,Ile français d'amérique,7120835,livres,,"0,3",
857,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Sucre candy,Rouen,hollande,190,livres,,"1,75",
858,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Sucre en pain,Rouen,Flandre,16107,livres,,1,
859,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Sucre en pain,Rouen,hollande,15278,livres,,1,
860,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Sucre en pain,Rouen,Nord,546,livres,,1,
861,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Sucre terré,Rouen,Ile français d'amérique,6156802,livres,,"0,4",
862,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1768,Imports,Sucre tête de forme ,Rouen,Ile français d'amérique,886830,livres,,"0,5",
863,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1770,Imports,Cacao,Rouen,Espagne,1555,livres,,"0,9",
864,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1770,Imports,Cacao,Rouen,Ile français d'amérique,207706,livres,,"0,75",
865,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1770,Imports,Chocolat,Rouen,Espagne,740,livres,,3,
866,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1770,Imports,Coton en laine,Rouen,Hollande,11650,livres,,"1,25",
867,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1770,Imports,Coton en laine,Rouen,Ile français d'amérique,2101066,livres,,"1,25",
868,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1770,Imports,Coton en laine,Rouen,Portugal,702545,livres,,"1,25",
869,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1770,Imports,Sucre Brut,Rouen,Ile français d'amérique,4315200,livres,,"0,3",
870,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1770,Imports,Sucre en pain,Rouen,Flandre,14060,livres,,"0,9",
871,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1770,Imports,Sucre en pain,Rouen,Hollande,6905,livres,,1,
872,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1770,Imports,Sucre en pain,Rouen,Nord,213,livres,,1,
873,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1770,Imports,Sucre terré,Rouen,Ile français d'amérique,6775950,livres,,"0,5",
874,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1770,Imports,Sucre tête de forme ,Rouen,Ile français d'amérique,1869820,livres,,"0,4",
875,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1772,Imports,Cacao,Rouen,Espagne,645,livres,,"0,9",
876,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1772,Imports,Cacao,Rouen,Ile français d'amérique,107181,livres,,"0,75",
877,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1772,Imports,Chocolat,Rouen,Espagne,900,livres,,3,
878,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1772,Imports,Chocolat,Rouen,Portugal,145,livres,,3,
879,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1772,Imports,Coton en laine,Rouen,Espagne,512,livres,,"1,4",
880,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1772,Imports,Coton en laine,Rouen,flandre ,510,livres,,"1,4",
881,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1772,Imports,Coton en laine,Rouen,Hollande,9885,livres,,"1,4",
882,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1772,Imports,Coton en laine,Rouen,Ile français d'amérique,1770114,livres,,"1,4",
883,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1772,Imports,Coton en laine,Rouen,Portugal,365425,livres,,"1,4",
884,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1772,Imports,Sucre Brut,Rouen,Ile français d'amérique,3372171,livres,,"0,3",
885,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1772,Imports,Sucre en pain,Rouen,Flandre,9885,livres,,"0,9",
886,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1772,Imports,Sucre en pain,Rouen,Hollande,3340,livres,,"0,9",
887,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1772,Imports,Sucre terré,Rouen,Ile français d'amérique,6048624,livres,,"0,55",
888,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1772,Imports,Sucre tête de forme ,Rouen,Ile français d'amérique,1342320,livres,,"0,45",
889,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1773,Imports,Cacao,Rouen,Espagne,1246,livres,,"0,9",
890,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1773,Imports,Cacao,Rouen,Ile français d'amérique,90546,livres,,"0,75",
891,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1773,Imports,Chocolat,Rouen,Espagne,587,livres,,3,
892,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1773,Imports,Chocolat,Rouen,Portugal,46,livres,,3,
893,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1773,Imports,Coton en laine,Rouen,Espagne,210,livres,,"1,4",
894,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1773,Imports,Coton en laine,Rouen,Hollande,12705,livres,,"1,4",
895,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1773,Imports,Coton en laine,Rouen,Ile français d'amérique,2303933,livres,,"1,4",
896,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1773,Imports,Coton en laine,Rouen,Portugal,398557,livres,,"1,4",
897,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1773,Imports,Sucre Brut,Rouen,Ile français d'amérique,4971802,livres,,"0,3",
898,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1773,Imports,Sucre en pain,Rouen,Flandre,9059,livres,,"0,9",
899,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1773,Imports,Sucre en pain,Rouen,Hollande,3946,livres,,"0,9",
900,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1773,Imports,Sucre en pain,Rouen,Nord,250,livres,,"0,9",
901,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1773,Imports,Sucre terré,Rouen,Ile français d'amérique,6214804,livres,,"1,05",
902,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1773,Imports,Sucre tête de forme ,Rouen,Ile français d'amérique,1086644,livres,,"0,45",
903,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1775,Imports,Cacao,Rouen,Espagne,2113,livres,,"0,9",
904,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1775,Imports,Cacao,Rouen,Ile français d'amérique,111045,livres,,"0,75",
905,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1775,Imports,Chocolat,Rouen,Espagne,394,livres,,3,
906,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1775,Imports,Chocolat,Rouen,Portugal,78,livres,,3,
907,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1775,Imports,Coton en laine,Rouen,Angleterre,14560,livres,,"1,75",
908,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1775,Imports,Coton en laine,Rouen,Espagne,700,livres,,"1,75",
909,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1775,Imports,Coton en laine,Rouen,flandre ,14390,livres,,"1,75",
910,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1775,Imports,Coton en laine,Rouen,hollande,2099,livres,,"1,75",
911,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1775,Imports,Coton en laine,Rouen,Ile français d'amérique,2526575,livres,,"1,75",
912,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1775,Imports,Coton en laine,Rouen,Portugal,497037,livres,,"1,75",
913,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1775,Imports,Sucre Brut,Rouen,Ile français d'amérique,4531083,livres,,"0,25",
914,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1775,Imports,Sucre en pain,Rouen,Flandre,6065,livres,,"0,9",
915,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1775,Imports,Sucre en pain,Rouen,Hollande,16085,livres,,"0,9",
916,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1775,Imports,Sucre terré,Rouen,Ile français d'amérique,6005643,livres,,"0,45",
917,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,59,1775,Imports,Sucre tête de forme ,Rouen,Ile français d'amérique,3096322,livres,,"0,325",
918,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1734,Imports,cire blanche,Rouen,Hollande,900,livres,,"1,55",
919,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1734,Imports,cire d' Espagne,Rouen,Hollande,16,livres,,"1,55",
920,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1734,Imports,Fer en Fonde ouvre,Rouen,Hollande,22600,livres,,"0,9",
921,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1734,Imports,Fer en taulle,Rouen,Hollande,2100,livres,,"0,4",
922,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1734,Imports,Fer ouvré,Rouen,Hollande,2100,livres,,"0,275",
923,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1734,Imports,Huile d'ambre,Rouen,Hollande,38,livres,,"0,3",
924,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1734,Imports,Huile d’eben,Rouen,Hollande,45,livres,,,
925,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1734,Imports,Huile de muscade,Rouen,Hollande,5,livres,,35,
926,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1734,Imports,Leton en feuilles,Rouen,Hollande,1150,livres,,"1,2",
927,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1734,Imports,orseille,Rouen,Hollande,22850,livres,,"0,3",
928,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1734,Imports,poutre de sapin ,Rouen,Hollande,35,nombre,,30,
929,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1734,Imports,tabac d'Espagne,Rouen,Hollande,4207,livres,,10,
930,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1734,Imports,Toile Batiste,Rouen,Hollande,4,aunes,,6,
931,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1735,Imports,Fer en taulle,Rouen,Hollande,1650,livres,,"0,4",
932,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1735,Imports,Huile ,Rouen,Hollande,50,livres,,"0,5",
933,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1735,Imports,Huile d'olive,Rouen,Hollande,18125,livres,,"0,5",
934,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1735,Imports,Huile de carabé,Rouen,Hollande,16,livres,,5,
935,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1735,Imports,Huile de rabette,Rouen,Hollande,32,livres,,"0,3",
936,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1735,Imports,Huile sénégal,Rouen,Hollande,500,livres,,"0,3",
937,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1735,Imports,Piastre ,Rouen,Hollande,21000,marcs,,"48,5",
938,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1735,Imports,poutre de sapin ,Rouen,Hollande,30,nombre,,30,
939,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1735,Imports,savon,Rouen,Hollande,15100,livres,,"0,4",
940,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1735,Imports,Toile Batiste,Rouen,Hollande,25,aunes,,6,
941,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1736,Imports,cire blanche,Rouen,Hollande,225,livres,,"1,55",
942,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1736,Imports,Fer en taulle,Rouen,Hollande,1375,livres,,"0,4",
943,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1736,Imports,Fer ouvré,Rouen,Hollande,3150,livres,,"0,329166666666667",
944,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1736,Imports,Huile de Baleine,Rouen,Hollande,250275,livres,,"0,4",
945,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1736,Imports,Huile de muscade,Rouen,Hollande,375,livres,,35,
946,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1736,Imports,Huile de rabette,Rouen,Hollande,66,livres,,"0,3",
947,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1736,Imports,Huile de rabette,Rouen,Hollande,11,livres,,"0,3",
948,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,62,1736,Imports,Leton en feuilles,Rouen,Hollande,1760,livres,,"1,2",
949,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,soie de porc,Rouen,Hollande,42540,livres,,"1,2",
950,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,Suif,Rouen,Hollande,7050,livres,,"0,4",
951,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,sumac,Rouen,Hollande,3000,livres,,"0,15",
952,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,tabac en feuilles,Rouen,Hollande,328150,livres,,"0,25",
953,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,tabac filé,Rouen,Hollande,150125,livres,,"0,5",
954,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,Thé,Rouen,Hollande,720,livres,,8,
955,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,thon mariné,Rouen,Hollande,90,livres,,12,
956,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,Toile de Hollande 15 aunes,Rouen,Hollande,"147,5",pièces,,60,
957,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,Toile de Hollande 30 aunes,Rouen,Hollande,810,pièces,,120,
958,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,Tournesol en pain,Rouen,Hollande,13725,livres,,"0,9",
959,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,velours,Rouen,Hollande,43,livres,,50,
960,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,Vermillons,Rouen,Hollande,14700,livres,,5,
961,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,Vernis à peindre,Rouen,Hollande,13500,livres,,"0,9",
962,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,Verre communs à boire,Rouen,Hollande,350,livres,,"1,25",
963,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,Verre cristallins,Rouen,Hollande,450,livres,,"1,25",
964,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,Vin d’Espagne,Rouen,Hollande,40,pots,,2,
965,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,Vin d’Espagne,Rouen,Hollande,2,muids,,102,
966,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,Vin de Hongrie,Rouen,Hollande,30,pots,,3,
967,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1733,Imports,Vin du Cap Breton,Rouen,Hollande,50,pots,,2,
968,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,soie de porc,Rouen,Hollande,39560,livres,,"1,2",
969,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,sumac,Rouen,Hollande,14425,livres,,"0,15",
970,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,tabac en feuilles,Rouen,Hollande,578110,livres,,"0,25",
971,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,tabac filé,Rouen,Hollande,428425,livres,,"0,5",
972,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,Thé,Rouen,Hollande,461,livres,,8,
973,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,Toile de Hollande 15 aunes,Rouen,Hollande,53,pièces,,60,
974,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,Toile de Hollande 30 aunes,Rouen,Hollande,391,pièces,,120,
975,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,Tournesol en pain,Rouen,Hollande,24900,livres,,"0,9",
976,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,velours,Rouen,Hollande,46,livres,,50,
977,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,Vermillons,Rouen,Hollande,14192,livres,,5,
978,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,Vernis à peindre,Rouen,Hollande,8950,livres,,"0,9",
979,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,Verre cristallins,Rouen,Hollande,70,livres,,"1,25",
980,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,Vin de Hongrie,Rouen,Hollande,3,pots,,3,
981,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,Vin de Mosele,Rouen,Hollande,226,bouteilles,,"0,75",
982,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,Vin du Rhin,Rouen,Hollande,80,pots,,"1,5",
983,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1734,Imports,Vitriol de Chypre,Rouen,Hollande,150,livres,,"1,1",
984,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1735,Imports,soie de porc,Rouen,Hollande,25080,livres,,"1,2",
985,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1735,Imports,Suif,Rouen,Hollande,2350,livres,,"0,4",
986,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1735,Imports,sumac,Rouen,Hollande,104350,livres,,"0,15",
987,Paul Maneuvrier-Hervieu,AD76 7F97 – via Dardel,Local/Rouen/Rouen - via Dardel.csv,Local,63,1735,Imports,tabac en feuilles,Rouen,Hollande,921700,livres,,"0,25",
