numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,doubleaccounts
126,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,"Bray, Goudron et Résine",Afrique,,462850,livres,,0
127,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Briques,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,3762500,nombre,,0
128,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Cacao,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,441107,livres,,0
129,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Café du levant,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,2647158,livres,,0
130,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Café moka,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,18000,livres,,0
131,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Cannelle,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,24608,livres,,0
132,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Capres,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,200273,livres,,0
133,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Cartes à jouer,"De l’Amérique, Isles Antilles ou Colonies françaises",29583,,,,0
134,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Casse ou canefice,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,127151,livres,,0
135,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,24,Cauris,Afrique,,171386,livres,,0
136,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Cornes de cerf,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,7600,livres,,0
137,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Cornes à lanterne,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",33184,,,,0
138,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Coton en laine du Levant,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,14934039,livres,,0
139,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Coton des îles et des Indes,"De l’Amérique, Isles Antilles ou Colonies françaises",,4202139,livres,,0
140,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Coton des îles et des Indes,Asie,,124070,livres,,0
141,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Coton filé,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,1060540,livres,,0
142,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Couperose,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,775030,livres,,0
143,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Coutellerie,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",61609,,,,0
144,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Couvertures,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",318398,,,,0
145,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Crayons,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",19620,,,,0
146,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Cuirs de Bœœufs et Vaches en poil,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,121044,nombre,,0
147,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Cuirs de Bœœufs et Vaches en poil,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,2372990,livres,,0
148,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Cuirs de Bœœufs et Vaches en poil,"De l’Amérique, Isles Antilles ou Colonies françaises",,40984,nombre,,0
149,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Cuirs de Bœœufs et Vaches en poil,"De l’Amérique, Isles Antilles ou Colonies françaises",,186798,livres,,0
150,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Cuirs divers apprêtés,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,8463907,livres,,0
151,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Cuirs tannés,"De l’Amérique, Isles Antilles ou Colonies françaises",,28183,livres,,0
152,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Cuivre divers,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,8463907,livres,,0
153,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Cuivre monnayé,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",1448132,,,,0
154,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Dattes,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,58990,livres,,0
155,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Dentelle de fil,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,"1033,25",livres,,0
156,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Dentelle de soie,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,"34,5",livres,,0
157,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Dentelle d'or et d'argent,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",9600,,,,0
158,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Draps et Draperies de toutes sortes,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",3824714,,,,0
159,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Drogueries diverses,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",1200315,,,,0
160,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Eau-de-vie double,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,"41740,87",muids,,0
161,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Eau-de-vie simple,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,"60,84",muids,,0
162,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,25,Eau-de-vie de grains et de Genièvre,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,"17645,8",muids,,0
163,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Coton en laine du Levant,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,2388995,livres,,0
164,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Coton filé,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,478707,livres,,0
165,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Couperose,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,25300,livres,,0
166,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Coutellerie,Afrique,197990,,,,0
167,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Couvertures,"De l’Amérique, Isles Antilles ou Colonies françaises",30068,,,,0
168,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Crin,"De l’Amérique, Isles Antilles ou Colonies françaises",,11555,livres,,0
169,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Cuirs divers apprêtés,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",2227556,,,,0
170,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Cuivre divers,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,137149,livres,,0
171,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Cuivres divers,"De l’Amérique, Isles Antilles ou Colonies françaises",,39646,livres,,0
172,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Cuivres divers,Afrique,,51210,livres,,0
173,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Cuivres divers,Asie,,288800,livres,,0
174,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Cuivre ouvré,Asie,82732,,,,0
175,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Dames-Jeannes,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,16008,nombre,,0
176,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Dentelle de fil,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,7518,livres,,0
177,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Dentelle de soie,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,7069,livres,,0
178,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Dorure fausse,Asie,339600,,,,0
179,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Dorure fine,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",433933,,,,0
180,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Dorure fine,"De l’Amérique, Isles Antilles ou Colonies françaises",,60,livres,,0
181,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Dorure fine,"De l’Amérique, Isles Antilles ou Colonies françaises",14050,,,,0
182,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Dorure fine,Asie,401520,,,,0
183,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Draps et Draperies de toutes sortes,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",32173347,,,,0
184,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Draps et Draperies de toutes sortes,"De l’Amérique, Isles Antilles ou Colonies françaises",423981,,,,0
185,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Draps et Draperies de toutes sortes,Afrique,179913,,,,0
186,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Draps et Draperies de toutes sortes,Asie,872686,,,,0
187,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Drogueries diverses,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",948435,,,,0
188,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Drogueries diverses,"De l’Amérique, Isles Antilles ou Colonies françaises",316703,,,,0
189,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Drogueries diverses,Asie,137011,,,,0
190,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Eau de vie double,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,5582,muids,,0
191,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Eau de vie simple,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,33761,muids,,0
192,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Eau de vie simple,"De l’Amérique, Isles Antilles ou Colonies françaises",,1493,muids,,0
193,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Eau de vie simple,Afrique,,1764,muids,,0
194,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Eau de vie simple,Asie,,3410,muids,,0
195,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Eau de vie simple,Pêches françaises,,463,muids,,0
196,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Eau de vie d'Andaie,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,114,muids,,0
197,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Eau de vie de Cognac,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,79,muids,,0
198,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Eau de vie de grains et de Genièvre,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,15236,muids,,0
199,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,26,Eau de vie de grains et de Genièvre,Afrique,,667,muids,,0
200,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Eaux spriritueuses et essence,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",186144,,,,0
201,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Ecaille de tortue,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,6485,livres,,0
202,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Ecorce de cacao,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,,,,0
203,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Ecorce de chêne,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",51012,,,,0
204,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Encens,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,77095,livres,,0
205,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Eponges,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,55112,livres,,0
206,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Estampes,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",28800,,,,0
207,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Etain divers,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,571775,livres,,0
208,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Etoffes mêlées,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",7929482,,,,0
209,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Etoffes de soie de toutes sortes,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,24155,livres,,0
210,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Farine,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,33327120,livres,,0
211,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Faïence et Potterie,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",442778,,,,0
212,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Fers divers et Acier,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,12099709,livres,,0
213,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Fers blancs brut,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,1943824,livres,,0
214,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Figues,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,13819,livres,,0
215,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Fils divers de lin de chanvre,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,601501,livres,,0
216,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Fils à dentelle,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,600,livres,,0
217,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Imports,27,Fils de mulquinerie,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,518,livres,,0
218,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Eaux spriritueuses et essence,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",710876,,,,0
219,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Eaux spriritueuses et essence,"De l’Amérique, Isles Antilles ou Colonies françaises",13720,,,,0
220,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Ecaille de tortue,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,,,,0
221,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Ecorces de cacao,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,71400,livres,,0
222,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Ecorces de chêne,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,266370,livres,,0
223,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Encens,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,110913,livres,,0
224,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Epicerie diverses,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",160571,,,,0
225,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Epingles,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",123970,,,,0
226,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Estampes,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",10230,,,,0
227,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Etain divers,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,105510,livres,,0
228,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Etain ouvré,Afrique,15518,,,,0
229,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Etoffes mêlées,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",370932,,,,0
230,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Etoffes mêlées,"De l’Amérique, Isles Antilles ou Colonies françaises",30708,,,,0
231,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Etoffes mêlées,Afrique,291760,,,,0
232,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Etoffes mêlées,Asie,475363,,,,0
233,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,"Etoffes de laine, poil, poil et laine","De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",6145062,,,,0
234,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Etoffes de coton,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",425216,,,,0
235,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Etoffes de riches,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",2235120,,,,0
236,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Etoffes de soie de toutes sortes,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,909245,livres,,0
237,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Etoffes de soie de toutes sortes,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,32681,aunes,,0
238,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Etoffes mélangées de soie,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",372751,,,,0
239,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Eventails,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",89258,,,,0
240,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Farine,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,631550,livres,,0
241,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Farine,"De l’Amérique, Isles Antilles ou Colonies françaises",,7665674,livres,,0
242,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Farine,Afrique,,50331,livres,,0
243,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Farine,Asie,,674450,livres,,0
244,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Farine,Pêches françaises,,157028,livres,,0
245,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Faïence et Potterie,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",671874,,,,0
246,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Faïence et Potterie,"De l’Amérique, Isles Antilles ou Colonies françaises",183926,,,,0
247,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Faïence et Potterie,Asie,103173,,,,0
248,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Fers divers et Acier,"De l’Europe, y compris le Levant et la Barbarie et les États-Unis d’Amérique",,14368967,livres,,0
249,Esther Benbassat,AF F12 252 et F12 1843B,National/Divers - in/Détail des I et X_1792.csv,1792-both semester,1792,Exports,28,Fers en barre,"De l’Amérique, Isles Antilles ou Colonies françaises",,366213,livres,,0
