numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,Valeur en livres tournois,valeur en sous,valeur en denier,value,Valeur calculée,probleme,remarks
134,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,balaine coupée,Rennes,de Hollande,"186,00",Livres,"6,00000",,,,,"1 116,00",,
135,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,baume,Rennes,de Hollande,"1,00",Livres,"2,50000",,,,,"2,50",,
136,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,bœuf fumé,Rennes,de Hollande,"4,00",barils,"30,00000",,,,,"120,00",,
137,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,bœuf salé,Rennes,de Hollande,"5,00",barils,"25,00000",,,,,"125,00",,
138,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,Bierre,Rennes,de Hollande,"132,00",barriques,"25,00000",,,,,"3 300,00",,
139,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,blanc de Céruse,Rennes,de Hollande,"1 200,00",Livres,"0,30000",,,,,"360,00",,
140,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,bleu,Rennes,de Hollande,"4 250,00",Livres,"1,00000",,,,,"4 250,00",,
141,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,bois de Campéche,Rennes,de Hollande,"1 425,00",Livres,"0,20000",,,,,"285,00",,
142,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,bois de construction,Rennes,de Hollande,"129,00",pièces,"15,00000",,,,,"1 935,00",,
143,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,bois de sandal en buches,Rennes,de Hollande,"6 050,00",Livres,"0,35000",,,,,"2 117,50",,
144,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,Boyaux,Rennes,de Hollande,"2,00",barils,,,,,,,,Nom du produit peu lisible + pas d'indication de prix
145,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,6,1749,bordages de chene,Rennes,de Hollande,"79,00",en nombre,"4,00000",,,,,"316,00",,
146,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,boutons de coco,Rennes,de Hollande,"5,00",Livres,"2,50000",,,,,"12,50",,
147,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,boutons d'os,Rennes,de Hollande,"150,00",Livres,"2,00000",,,,,"300,00",,
148,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,bray,Rennes,de Hollande,"154,00",barils,"23,00000",,,,,"3 542,00",,
149,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,brosses,Rennes,de Hollande,"3,00",douzaines,"3,00000",,,,,"9,00",,
150,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,cabinet de bois vernis,Rennes,de Hollande,"2,00",en nombre,"3,00000",,,,,"6,00",,
151,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,canelle,Rennes,de Hollande,"1,00",paquets,"0,00000",,,,,"0,00",,pas d'indication de prix de prix du paquet
152,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,canelle,Rennes,de Hollande,"30,00",Livres,"6,50000",,,,,"195,00",,
153,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,Canevettes vides,Rennes,de Hollande,"684,00",pièces,"4,50000",,,,,"3 078,00",,
154,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,canettes d'etain,Rennes,de Hollande,"4,00",caisses,"0,00000",,,,,"0,00",,"""1lt la livre poid"" mais combien de livres par caisse ?"
155,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,canettes de gres,Rennes,de Hollande,"200,00",pièces,"1,50000",,,,,"300,00",,
156,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,caraffes de verre blanc,Rennes,de Hollande,"10,00",Livres,"0,50000",,,,,"5,00",,
157,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,cauris,Rennes,de Hollande,"20 000,00",Livres,"0,75000",,,,,"15 000,00",,
158,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,ceruse,Rennes,de Hollande,"600,00",livres,"0,30000",,,,,"180,00",,2 barrils de 300 livres poid chacun
159,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,chanvre cru,Rennes,de Hollande,"205 896,00",Livres,"0,20000",,,,,"41 179,20",,
160,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,chasselas,Rennes,de Hollande,"80,00",pièces,"25,00000",,,,,"2 000,00",,
161,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,chaudrons de cuivre,Rennes,de Hollande,"8,00",futailles,"0,00000",,,,,"0,00",,"""1Lt 10 la livre"" combien de livres dans une futaille ?"
162,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,cloux de fer,Rennes,de Hollande,"5 900,00",Livres,"0,30000",,,,,"1 770,00",,
163,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,cornes à lanternes,Rennes,de Hollande,"31,00",Livres,"0,60000",,,,,"18,60",,
164,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,coton des Indes,Rennes,de Hollande,"63,00",balles,"0,00000",,,,,"0,00",,"2 lt la pièce, mais pas de nb de pièces par balle"
165,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,couperose,Rennes,de Hollande,"7 423,00",Livres,"8,00000",,,,,"59 384,00",,
166,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,couteaux flamands,Rennes,de Hollande,"3,00",barils,"350,00000",,,,,"1 050,00",,
167,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,couteaux flamands,Rennes,de Hollande,"1,00",caisse,"350,00000",,,,,"350,00",,
168,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,couteaux flamands,Rennes,de Hollande,"519,00",douzaines,"1,50000",,,,,"778,50",,
169,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,cuivre ouvré,Rennes,de Hollande,"2 385,00",Livres,"1,50000",,,,,"3 577,50",,
170,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,cuivre en planches,Rennes,de Hollande,"3,00",caisses,"1,25000",,,,,"3,75",,
171,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,eau forte,Rennes,de Hollande,"300,00",Livres,"1,25000",,,,,"375,00",,
172,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,7,1749,epicerie,Rennes,de Hollande,"265,00",Livres,"2,00000",,,,,"530,00",,
173,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,espars,Rennes,de Hollande,"260,00",en nombre,"1,20000",,,,,"312,00",,
174,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,fayance,Rennes,de Hollande,"136,00",Livres,"0,40000",,,,,"54,40",,
175,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,fer en barre,Rennes,de Hollande,"37 175,00",Livres,"0,13000",,,,,"4 832,75",,
176,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,fer blanc,Rennes,de Hollande,"31,00",barils,"90,00000",,,,,"2 790,00",,
177,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,fer en feuilles,Rennes,de Hollande,"5 202,00",barres,"0,20000",,,,,"1 040,40",,
178,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,fer en taules,Rennes,de Hollande,"450,00",Livres,"0,35000",,,,,"157,50",,
179,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,fil de fer,Rennes,de Hollande,"190,00",Livres,"0,30000",,,,,"57,00",,
180,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,fil de coton,Rennes,de Hollande,"13,00",boucauds,"0,00000",,,,,"0,00",,pas d'indication de prix
181,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,fil de coton,Rennes,de Hollande,"320,00",Livres,"1,50000",,,,,"480,00",,
182,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,fil à voile,Rennes,de Hollande,"10,00",barils,"70,00000",,,,,"700,00",,prix difficilement lisible
183,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,fourches de fer,Rennes,de Hollande,"20,00",Livres,"0,25000",,,,,"5,00",,
184,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,fromage,Rennes,de Hollande,"4,00",caisses,"0,00000",,,,,"0,00",,pas d'indication de prix
185,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,fromage,Rennes,de Hollande,"620,00",pains,"1,75000",,,,,"1 085,00",,
186,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,fromage,Rennes,de Hollande,"79 612,00",Livres,"0,30000",,,,,"23 883,60",,
187,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,fusils,Rennes,de Hollande,"100,00",???,"10,00000",,,,,"1 000,00",,
188,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,gaudron,Rennes,de Hollande,"250,00",barils,"22,00000",,,,,"5 500,00",,
189,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,gaulles de bois,Rennes,de Hollande,"76,00",???,"8,00000",,,,,"608,00",,
190,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,girofle,Rennes,de Hollande,"100,00",Livres,"14,00000",,,,,"1 400,00",,1 baril de 100 livres poids
191,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,gingembre,Rennes,de Hollande,"300,00",Livres,"0,15000",,,,,"45,00",,
192,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,goblets de verres,Rennes,de Hollande,"1,00",valeur,,,,,80,"80,00",,valeur de 80 Lt cy
193,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,grueau,Rennes,de Hollande,"2 055,00",Livres,"0,05000",,,,,"102,75",,
194,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,guingan,Rennes,de Hollande,"1 000,00",pièces,"10,00000",,,,,"10 000,00",,
195,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,harangs blancs,Rennes,de Hollande,"9,00",barils,"30,00000",,,,,"270,00",,
196,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,horloges de sables,Rennes,de Hollande,"2,00",caisses,"60,00000",,,,,"120,00",,
197,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,huile de baleine,Rennes,de Hollande,"20,00",barils,"35,00000",,,,,"700,00",,barils de 266 livres
198,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,huile de grainne,Rennes,de Hollande,"8 100,00",Livres,"0,40000",,,,,"3 240,00",,
199,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,huile de lin,Rennes,de Hollande,"10,00",barils,"30,00000",,,,,"300,00",,
200,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,8,1749,huile de lin,Rennes,de Hollande,"2,00",barriques,"130,00000",,,,,"260,00",,
201,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,huile d'olive,Rennes,de Hollande,"2,00",caisses,"0,00000",,,,,"0,00",,
202,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,jambons,Rennes,de Hollande,"1,00",valeur,,,,,80,"80,00",,"8 sous la livre poid, prix unitaire"
203,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,Indienne,Rennes,de Hollande,"150,00",pièces,"25,00000",,,,,"3 750,00",,
204,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,limeneas,Rennes,de Hollande,"300,00",pièces,"25,00000",,,,,"7 500,00",,marchandise non identifiée
205,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,lin crû,Rennes,de Hollande,"10 000,00",Livres,"0,60000",,,,,"6 000,00",,
206,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,linge vieux,Rennes,de Hollande,"250,00",pièces,"3,00000",,,,,"750,00",,
207,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,mats,Rennes,de Hollande,"308,00",en nombre,"50,00000",,,,,"15 400,00",,
208,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,mats,Rennes,de Hollande,"1,00",valeur,,,,,21820,"21 820,00",,valeur de 21820 livres cy
209,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,matreaux,Rennes,de Hollande,"80,00",en nombre,"20,00000",,,,,"1 600,00",,
210,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,mercerie,Rennes,de Hollande,"20,00",Livres,"2,00000",,,,,"40,00",,
211,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,mercerie,Rennes,de Hollande,"1,00",valeur,,,,,100,"100,00",,valeur de 100 livres cy
212,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,mairrain à pipes douëlles,Rennes,de Hollande,"1 131,00",pièces,"0,40000",,,,,"452,40",,
213,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,mines de plomb,Rennes,de Hollande,"100,00",Livres,"10,00000",,,,,"1 000,00",,
214,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,morue verte,Rennes,de Hollande,"750,00",Livres,"0,10000",,,,,"75,00",,
215,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,mouchoirs,Rennes,de Hollande,"300,00",pièces,"1,10000",,,,,"330,00",,
216,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,moulins à caffé,Rennes,de Hollande,"68,00",en nombre,"6,00000",,,,,"408,00",,
217,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,muscades,Rennes,de Hollande,"1,00",paquets,"0,00000",,,,,"0,00",,pas de prix pour le paquet
218,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,muscades,Rennes,de Hollande,"137,00",Livres,"8,00000",,,,,"1 096,00",,
219,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,noir de fumée,Rennes,de Hollande,"300,00",barils,"0,17500",,,,,"52,50",,
220,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,noir de fumée,Rennes,de Hollande,"55,00",Livres,"0,15000",,,,,"8,25",,
221,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,ocre,Rennes,de Hollande,"500,00",Livres,"0,05000",,,,,"25,00",,
222,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,or batu,Rennes,de Hollande,"2,00",???,"2,00000",,,,,"4,00",,unité de compte incompréhensible
223,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,papier,Rennes,de Hollande,"14,00",rames,"20,00000",,,,,"280,00",,
224,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,peau de cuir rouge,Rennes,de Hollande,"2,00",Livres,"1,00000",,,,,"2,00",,
225,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,pinceaux de fer,Rennes,de Hollande,"25,00",Livres,"0,25000",,,,,"6,25",,
226,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,pinceaux a gaudronner,Rennes,de Hollande,"2,00",douzaines,"8,00000",,,,,"16,00",,
227,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,peinture jaune,Rennes,de Hollande,"1,00",baril,"5,00000",,,,,"5,00",,
228,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,perches,Rennes,de Hollande,"200,00",en nombre,"1,00000",,,,,"200,00",,
229,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,pierres à fusils,Rennes,de Hollande,"50,00",livres,"0,05000",,,,,"2,50",,1 baril de 50 livres poids
230,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,pipes à fumer,Rennes,de Hollande,"2,00",coffres,"45,00000",,,,,"90,00",,
231,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,pipes à fumer,Rennes,de Hollande,"541,00",grosses,"2,25000",1082,,,,"1 217,25","135,25",
232,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,planches,Rennes,de Hollande,"100,00",pièces,"5,50000",,,,,"550,00",,
233,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,planches de prusse,Rennes,de Hollande,"327,00",en nombre,"1,40000",,,,,"457,80",,nombre de sous difficile à lire
234,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,9,1749,planches divers,Rennes,de Hollande,"13 177,00",en nombre,"0,60000",,,,,"7 906,20",,
235,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,plaques de fer,Rennes,de Hollande,"2,00",???,"4,00000",,,,,"8,00",,
236,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,plomb en grenaille,Rennes,de Hollande,"650,00",Livres,"0,26000",,,,,"169,00",,
237,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,plumes à écrire,Rennes,de Hollande,"4,00",caisses,"0,00000",,,,,"0,00",,"""4 Lt la livre"" combien de livres par caisses ?"
238,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,plumes à écrire,Rennes,de Hollande,"4,00",paquets,"0,00000",,,,,"0,00",,"""4 Lt la livre"" combien de livres par paquets ?"
239,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,plumes à écrire,Rennes,de Hollande,"15,00",Livres,"4,00000",,,,,"60,00",,
240,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,poelle de fer,Rennes,de Hollande,"1,00",pièces,"24,00000",,,,,"24,00",,
241,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,poids de fer,Rennes,de Hollande,"302,00",Livres,"0,15000",,,,,"45,30",,
242,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,poivre,Rennes,de Hollande,"2 444,00",Livres,"1,20000",,,,,"2 932,80",,
243,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,poudre à canon,Rennes,de Hollande,"9 500,00",Livres,"0,70000",,,,,"6 650,00",,
244,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,quinquaille de fer,Rennes,de Hollande,"20,00",Livres,"1,00000",,,,,"20,00",,
245,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,salemporis bleu,Rennes,de Hollande,"500,00",pièces,"27,00000",,,,,"13 500,00",,
246,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,salpêtre,Rennes,de Hollande,"208,00",barils,,,,,,,,"barils de 150 livres poids, pas de prix"
247,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,souffre,Rennes,de Hollande,"660,00",Livres,"0,15000",,,,,"99,00",,
248,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,tabac de Virginie,Rennes,de Hollande,"9 000,00",Livres,"0,30000",,,,,"2 700,00",,
249,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,teinture,Rennes,de Hollande,"1 650,00",Livres,"0,30000",,,,,"495,00",,barils de 150 livres poids
250,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,teinture,Rennes,de Hollande,"30,00",Livres,"0,30000",,,,,"9,00",,
251,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,terraille grosse,Rennes,de Hollande,"30,00",Livres,"0,05000",,,,,"1,50",,
252,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,thé,Rennes,de Hollande,"4 090,00",Livres,"3,00000",,,,,"12 270,00",,
253,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,toille en chanvre,Rennes,de Hollande,"4,00",paquets,"0,00000",,,,,"0,00",,"""15 sous l'aune"" combien d'aunes par paquet ?"
254,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,toille de cotton,Rennes,de Hollande,"20,00",balles,"0,00000",,,,,"0,00",,"""2 Lt l'aune"" combien d'aunes par balle ?"
255,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,toille de coton imprimé,Rennes,de Hollande,"400,00",pièces,"24,00000",,,,,"9 600,00",,
256,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,toille platille,Rennes,de Hollande,"3,00",caisses,"0,00000",,,,,"0,00",,pas d'indication de prix
257,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,toille platille,Rennes,de Hollande,"4 200,00",pièces,"5,00000",,,,,"21 000,00",,
258,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,toille à voile,Rennes,de Hollande,"20,00",pièces,"35,00000",,,,,"700,00",,
259,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,vergue,Rennes,de Hollande,"1,00",en nombre,"30,00000",,,,,"30,00",,
260,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,verres à boire,Rennes,de Hollande,"16,00",pièces,"1,00000",,,,,"16,00",,
261,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,verroterie,Rennes,de Hollande,"60,00",coffres,"60,00000",,,,,"3 600,00",,
262,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,vin de Malaga,Rennes,de Hollande,"2,00",bariques,"140,00000",,,,,"280,00",,
263,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,10,1749,vin de Malaga,Rennes,de Hollande,"1,00",valeur,,,,,100,"100,00",,valeur de 100 livres cy
264,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,11,1749,acier,Rennes,du Nord,"54,00",barils,"25,00000",,,,,"1 350,00",,
265,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,11,1749,acier,Rennes,du Nord,"7 500,00",Livres,"0,25000",,,,,"1 875,00",,
266,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,11,1749,barreaux,Rennes,du Nord,"57,00",en nombre,"1,50000",,,,,"85,50",,
267,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,11,1749,Blocques de chesne,Rennes,du Nord,"393,00",pièces,"150,00000",,,,,"58 950,00",,marchandise non identifiée
268,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,11,1749,Blocques de hestre,Rennes,du Nord,"8,00",pièces,"200,00000",,,,,"1 600,00",,marchandise non identifiée
269,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,11,1749,bois de construction,Rennes,du Nord,"2 454,00",pièces,"0,00000",,,,,"0,00",,1lt5s le pied cube
270,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,11,1749,bois pour quilles de navires,Rennes,du Nord,"6,00",pièces,"200,00000",,,,,"1 200,00",,
271,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,11,1749,bordage de chene,Rennes,du Nord,"928,00",pièces,"0,00000",,,,,"0,00",,8 sous le pied courant
272,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1748,Local,Imports,11,1749,bordage de chene,Rennes,du Nord,"1,00",valeur,,,,,6960,"6 960,00",,valeur de 6960 lt cy
