numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,
319,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Beuf salé,Rennes,Isles françoises de l'Amerique," 162,00    ",Barils,"0,000","0,00","0,00","0,00",
320,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Chandelles de suif,Rennes,Isles françoises de l'Amerique," 561,00    ",Livres,"0,000","0,00","0,00","0,00",
321,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Fer d'Espagne en barres,Rennes,Isles françoises de l'Amerique," 15 047,00    ",Livres,"0,000","0,00","0,00","0,00",
322,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Fil de Rennes,Rennes,Isles françoises de l'Amerique," 88,00    ",Livres,"0,000","0,00","0,00","0,00",
323,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Mouchoirs de Pontichery,Rennes,Isles françoises de l'Amerique," 168,00    ",Nombres,"0,000","0,00","0,00","0,00",
324,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Papier commun,Rennes,Isles françoises de l'Amerique," 64,00    ",Rames,"0,000","0,00","0,00","0,00",
325,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Raisin sec,Rennes,Isles françoises de l'Amerique," 282,00    ",Livres,"0,000","0,00","0,00","0,00",
326,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Toile de Dinan comune,Rennes,Isles françoises de l'Amerique," 1 500,00    ",Aunes,"0,000","0,00","0,00","0,00",
327,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Toile bas brin,Rennes,Isles françoises de l'Amerique," 209,00    ",Aunes,"0,000","0,00","0,00","0,00",
328,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Toile d'antrain,Rennes,Isles françoises de l'Amerique," 600,00    ",Aunes,"0,000","0,00","0,00","0,00",
329,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Verres communs,Rennes,Isles françoises de l'Amerique," 48,00    ",Douzaines,"0,000","0,00","0,00","0,00",
330,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Verre a vitre ; petits carreaux,Rennes,Isles françoises de l'Amerique," 1 620,00    ",Nombres,"0,000","0,00","0,00","0,00",
331,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Beure de Bretagne,Rennes,Angleterre," 200,00    ",Livres,"0,000","0,00","0,00","0,00",
332,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Bray sec,Rennes,Angleterre," 4,00    ",Tonneaux,"0,000","0,00","0,00","0,00",
333,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Cire blanche,Rennes,Angleterre," 3 700,00    ",Livres,"0,000","0,00","0,00","0,00",
334,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Cloux de fer,Rennes,Angleterre," 200,00    ",Livres,"0,000","0,00","0,00","0,00",
335,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Cordage refait,Rennes,Angleterre," 3 700,00    ",Livres,"0,100","370,00","370,00","0,00",
336,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Cordage pourri,Rennes,Angleterre," 4 000,00    ",Livres,"0,015","60,00","60,00","0,00",
337,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Chaises de paille,Rennes,Angleterre," 3,00    ",Douzaines,"0,000","0,00","0,00","0,00",
338,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Eau de vie,Rennes,Angleterre," 10,25    ",Tonneaux,"0,000","0,00","0,00","0,00",
339,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Figues,Rennes,Angleterre," 520,00    ",Livres,"0,000","0,00","0,00","0,00",
340,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Fil blanc,Rennes,Angleterre," 250,00    ",Livres,"0,000","0,00","0,00","0,00",
341,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,11,1714,Fer en barres,Rennes,Angleterre," 33 000,00    ",Livres,"0,000","0,00","0,00","0,00",
342,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Huile d'olive,Rennes,Angleterre," 300,00    ",Livres,"0,000","0,00","0,00","0,00",
343,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Jambon,Rennes,Angleterre," 240,00    ",Livres,"0,000","0,00","0,00","0,00",
344,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Liège,Rennes,Angleterre," 1 500,00    ",Livres,"0,000","0,00","0,00","0,00",
345,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Miel,Rennes,Angleterre," 2 700,00    ",Livres,"0,000","0,00","0,00","0,00",
346,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Merain quartage ; douelles,Rennes,Angleterre," 15,00    ",Milliers,"50,000","750,00","750,00","0,00",
347,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Plumes a lit,Rennes,Angleterre," 100,00    ",Livres,"0,000","0,00","0,00","0,00",
348,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Planche de sapin de 9 pieds de longueur,Rennes,Angleterre," 10,00    ",Nombres,"0,000","0,00","0,00","0,00",
349,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Pierre de moulage,Rennes,Angleterre," 250,00    ",Nombres,"0,000","0,00","0,00","0,00",
350,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Raisine,Rennes,Angleterre," 1,00    ",Tonneaux,"0,000","0,00","0,00","0,00",
351,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Raisine,Rennes,Angleterre," 1 770,00    ",Livres,"0,250","442,50","442,50","0,00",
352,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Souffre,Rennes,Angleterre," 9 883,00    ",Livres,"0,200","1 976,60","1 976,60","0,00",
353,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Savon,Rennes,Angleterre," 2 616,00    ",Livres,"0,000","0,00","0,00","0,00",
354,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Toiles de halle,Rennes,Angleterre," 2 816,00    ",Aunes,"0,000","0,00","0,00","0,00",
355,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Toile de cholet,Rennes,Angleterre," 200,00    ",Pièces,"0,000","0,00","0,00","0,00",
356,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Toile de Cambray,Rennes,Angleterre," 700,00    ",Aunes,"0,000","0,00","0,00","0,00",
357,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Toile de pontivi,Rennes,Angleterre," 93,00    ",Aunes,"1,000","93,00","93,00","0,00",
358,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Toile de Morlaix,Rennes,Angleterre," 818,00    ",Aunes,"0,000","0,00","0,00","0,00",
359,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Toile de Leon,Rennes,Angleterre," 400,00    ",Aunes,"0,000","0,00","0,00","0,00",
360,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Toile a voile,Rennes,Angleterre," 180,00    ",Aunes,"0,000","0,00","0,00","0,00",
361,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Vin de Bordeaux,Rennes,Angleterre," 18,00    ",Tonneaux,"0,000","0,00","0,00","0,00",
362,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Vinaigre,Rennes,Angleterre," 4,00    ",Quarts,"10,000","40,00","40,00","0,00",
363,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Beure de Bretagne,Rennes,Hollande," 450,00    ",Livres,"0,000","0,00","0,00","0,00",
364,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Bas de soie de la Chine pour homme,Rennes,Hollande," 429,00    ",Paires,"0,000","0,00","0,00","0,00",
365,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Bas de soie de la Chine pour femme,Rennes,Hollande," 100,00    ",Paires,"0,000","0,00","0,00","0,00",
366,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Caffé,Rennes,Hollande," 52 341,00    ",Livres,"0,000","0,00","0,00","0,00",
367,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Chagrin de soie,Rennes,Hollande," 8,00    ",Pièces,"0,000","0,00","0,00","0,00",
368,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Ceinture de robe de chambre,Rennes,Hollande," 100,00    ",Nombres,"0,000","0,00","0,00","0,00",
369,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Damas de la Chine,Rennes,Hollande," 497,00    ",Pièces,"0,000","0,00","0,00","0,00",
370,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Eventails,Rennes,Hollande," 1 102,00    ",Nombres,"0,000","0,00","0,00","0,00",
371,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Graine de lin,Rennes,Hollande," 3 167,00    ",Boisseaux,"0,000","0,00","0,00","0,00",
372,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Gogorans,Rennes,Hollande," 13,00    ",Pièces,"0,000","0,00","0,00","0,00",
373,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Grisette,Rennes,Hollande," 127,00    ",Pièces,"0,000","0,00","0,00","0,00",
374,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Huile d'olive,Rennes,Hollande," 1 080,00    ",Livres,"0,000","0,00","0,00","0,00",
375,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,12,1714,Lampas,Rennes,Hollande," 1,00    ",Pièces,"0,000","0,00","0,00","0,00",
376,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Lit complet d'etoffe de satin,Rennes,Hollande," 1,00    ",Couvertures,"0,000","0,00","0,00","0,00",
377,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Lit complet d'etoffe de satin,Rennes,Hollande," 1,00    ",Dossier,"0,000","0,00","0,00","0,00",
378,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Lit complet d'etoffe de satin,Rennes,Hollande," 1,00    ",Chantourné,"0,000","0,00","0,00","0,00",
379,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Lit complet d'etoffe de satin,Rennes,Hollande," 1,00    ",Ciel,"0,000","0,00","0,00","0,00",
380,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Lit complet d'etoffe de satin,Rennes,Hollande," 6,00    ", Grandes pentes,"0,000","0,00","0,00","0,00",
381,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Lit complet d'etoffe de satin,Rennes,Hollande," 4,00    ",Petites ,"0,000","0,00","0,00","0,00",
382,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Lit complet d'etoffe de satin,Rennes,Hollande," 6,00    ",Rideaux,"0,000","0,00","0,00","0,00",
382,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Lit complet d'etoffe de satin,Rennes,Hollande," 2,00    ",Tabourets,"0,000","0,00","0,00","0,00",
382,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Lit complet d'etoffe de satin,Rennes,Hollande," 1,00    ",Toilette,"0,000","0,00","0,00","0,00",
383,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Miel,Rennes,Hollande," 61 150,00    ",Livres,"0,000","0,00","0,00","0,00",
384,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Mouchoir de soye de la chine,Rennes,Hollande," 3,00    ",Pièces,"0,000","0,00","0,00","0,00",
385,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Mouchoir de soye de la chine,Rennes,Hollande," 563,00    ",Nombres,"0,000","0,00","0,00","0,00",
386,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Pekin,Rennes,Hollande," 686,00    ",Pièces,"0,000","0,00","0,00","0,00",
387,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Pekin petits,Rennes,Hollande," 13,00    ",Pièces,"0,000","0,00","0,00","0,00",
388,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Pekin a fleur,Rennes,Hollande," 4,00    ",Pièces,"0,000","0,00","0,00","0,00",
389,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Peaux de martre,Rennes,Hollande," 160,00    ",Nombres,"0,000","0,00","0,00","0,00",
390,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Peaux de renard,Rennes,Hollande," 200,00    ",Nombres,"0,000","0,00","0,00","0,00",
391,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Peaux de lievre,Rennes,Hollande," 50,00    ",Nombres,"0,000","0,00","0,00","0,00",
392,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Parchemin,Rennes,Hollande," 6,00    ",Torches,"0,000","0,00","0,00","0,00",
393,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Papier,Rennes,Hollande," 2 488,00    ",Rames,"0,000","0,00","0,00","0,00",
394,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Robe de chambre de la Chine,Rennes,Hollande," 2,00    ",Nombres,"0,000","0,00","0,00","0,00",
395,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Rubans ou listonnerie,Rennes,Hollande," 115,00    ",Pièces,"0,000","0,00","0,00","0,00",
396,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Rognures de parchemin,Rennes,Hollande," 200,00    ",Livres,"0,000","0,00","0,00","0,00",
397,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Satin,Rennes,Hollande," 4,00    ",Pièces,"0,000","0,00","0,00","0,00",
398,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Satin brodé,Rennes,Hollande," 1,00    ",Pièces,"0,000","0,00","0,00","0,00",
399,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Soie a coudre,Rennes,Hollande," 404,00    ",Livres,"0,000","0,00","0,00","0,00",
400,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Savon,Rennes,Hollande," 750,00    ",Livres,"0,000","0,00","0,00","0,00",
401,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Vin de Canarie,Rennes,Hollande," 1,00    ",Bariques,"0,000","0,00","0,00","0,00",
402,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Vieusoin,Rennes,Hollande," 1 800,00    ",Livres,"0,000","0,00","0,00","0,00",
403,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Anchois,Rennes,Nord," 223,00    ",Pots,"0,000","0,00","0,00","0,00",
404,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Avelines,Rennes,Nord," 145,00    ",Livres,"0,000","0,00","0,00","0,00",
405,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Amandes,Rennes,Nord," 386 220,00    ",Livres,"0,000","0,00","0,00","0,00",
406,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Bas de soie,Rennes,Nord," 1,00    ",Paires,"0,000","0,00","0,00","0,00",
407,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Câpes,Rennes,Nord," 80,00    ",Livres,"0,000","0,00","0,00","0,00",
408,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Cordons de soie a canne,Rennes,Nord," 7,00    ",Nombres,"0,000","0,00","0,00","0,00",
409,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Dattes,Rennes,Nord," 52,00    ",Livres,"0,000","0,00","0,00","0,00",
410,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Eau de vie,Rennes,Nord," 3,25    ",Tonneaux,"0,000","0,00","0,00","0,00",
411,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Figues,Rennes,Nord," 1 324,00    ",Livres,"0,000","0,00","0,00","0,00",
412,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Huitres a la daube,Rennes,Nord," 220,00    ",Barils,"0,000","0,00","0,00","0,00",
413,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,13,1714,Huile d'olive,Rennes,Nord," 4 320,00    ",Livres,"0,000","0,00","0,00","0,00",
414,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Morue verte,Rennes,Nord," 2,00    ",Cens,"0,000","0,00","0,00","0,00",
415,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Morue seche,Rennes,Nord," 600,00    ",Livres,"0,000","0,00","0,00","0,00",
416,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Noix,Rennes,Nord," 2,00    ",Poinçons,"0,000","0,00","0,00","0,00",Mesure d'origine livre
417,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Noix de gale,Rennes,Nord," 680,00    ",Livres,"0,000","0,00","0,00","0,00",
418,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Olive,Rennes,Nord," 5 800,00    ",Livres,"0,000","0,00","0,00","0,00",
419,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Prunes de brignole,Rennes,Nord," 354,00    ",Livres,"0,000","0,00","0,00","0,00",
420,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Papier,Rennes,Nord," 352,00    ",Rames,"0,000","0,00","0,00","0,00",
421,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Raisin passe,Rennes,Nord," 4 381,00    ",Livres,"0,000","0,00","0,00","0,00",
422,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Raisin de corinte,Rennes,Nord," 405,00    ",Livres,"0,000","0,00","0,00","0,00",
423,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Ris,Rennes,Nord," 1 160,00    ",Livres,"0,000","0,00","0,00","0,00",
424,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Robe de chambre,Rennes,Nord," 5,00    ",Nombres,"0,000","0,00","0,00","0,00",Pas la même quantité original/copie
425,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Soie a coudre,Rennes,Nord," 12,00    ",Livres,"0,000","0,00","0,00","0,00",
426,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Satin rayé,Rennes,Nord," 6,00    ",Pièces,"0,000","0,00","0,00","0,00",
427,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Savon,Rennes,Nord," 2 615,00    ",Livres,"0,000","0,00","0,00","0,00",
428,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Turban de soye,Rennes,Nord," 1,00    ",Nombres,"0,000","0,00","0,00","0,00",
429,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Toile de coton bleue,Rennes,Nord," 1,00    ",Pièces,"0,000","0,00","0,00","0,00",
430,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Tafetas rayé,Rennes,Nord," 1,00    ",Pièces,"0,000","0,00","0,00","0,00",
431,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Tapis de satin brodé,Rennes,Nord," 3,00    ",Nombres,"0,000","0,00","0,00","0,00",
432,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Vin d'Espagne,Rennes,Nord," 6,50    ",Bariques,"0,000","0,00","0,00","0,00",
433,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Vin blanc,Rennes,Nord," 3,25    ",Tonneaux,"0,000","0,00","0,00","0,00",
434,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Vinaigre,Rennes,Nord," 6,50    ",Tonneaux,"0,000","0,00","0,00","0,00",
435,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Velours,Rennes,Nord," 3,00    ",Pièces,"0,000","0,00","0,00","0,00",
436,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Bas de soie de la chine,Rennes,Espagne," 89,00    ",Paires,"0,000","0,00","0,00","0,00",
437,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Confiture,Rennes,Espagne," 30,00    ",Livres,"0,000","0,00","0,00","0,00",
438,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Cartes a jouer,Rennes,Espagne," 40,00    ",Grosses,"10,000","400,00","400,00","0,00",
439,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Dentelle,Rennes,Espagne," 1,00    ",Caisses,"0,000","0,00","800,00","-800,00",
440,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Damas de la Chine,Rennes,Espagne," 200,00    ",Pièces,"0,000","0,00","0,00","0,00",
441,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Harans blanc,Rennes,Espagne," 40,00    ",Barils,"0,000","0,00","0,00","0,00",
442,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Moruë seche,Rennes,Espagne," 12 000,00    ",Livres,"0,000","0,00","0,00","0,00",
443,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Mouchoir de soie,Rennes,Espagne," 7,00    ",Nombres,"0,000","0,00","0,00","0,00",
444,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Robe de chambre de soie,Rennes,Espagne," 2,00    ",Nombres,"0,000","0,00","0,00","0,00",
445,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Saumon,Rennes,Espagne," 15,00    ",Barils,"0,000","0,00","0,00","0,00",
446,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,14,1714,Speculation,Rennes,Espagne," 100,00    ",Pièces,"0,000","0,00","0,00","0,00",
447,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,15,1714,Toile de halle,Rennes,Espagne," 207,00    ",Aunes,"0,000","0,00","0,00","0,00",
448,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,15,1714,Toile crée large,Rennes,Espagne," 55 000,00    ",Aunes,"0,000","0,00","0,00","0,00",
449,Anthony Rebours,AD44_C706,Local/Rennes/Rennes – Sorties – 1714.csv,Local,Exports,15,1714,Toile humaine,Rennes,Espagne," 433,00    ",Aunes,"0,000","0,00","0,00","0,00",
