numerodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
156,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,??? fer...,Rennes,d'Hollande,68,letz,"21,00000",,,marchandise non identifiée
157,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,fil de fer,Rennes,d'Hollande,1 000,Livres,"0,30000",,,
158,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,6,1752,fil de fer,Rennes,d'Hollande,1,valeur de,"290,00000",,,valeur de 290 Lt
159,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,fil de leton,Rennes,d'Hollande,25,Livres,"1,50000",,,
160,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,fil à voile,Rennes,d'Hollande,24,barils,"70,00000",,,
161,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,flacons,Rennes,d'Hollande,66,pièces,"0,50000",,,
162,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,fleches marines,Rennes,d'Hollande,25,en nombre,"15,00000",,,
163,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,fromages,Rennes,d'Hollande,7 000,pains,"0,30000",,,
164,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,fromages,Rennes,d'Hollande,55 968,Livres,"0,30000",,,
165,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,goblets en verre,Rennes,d'Hollande,200,,"0,12500",,,
166,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,goblets en verre,Rennes,d'Hollande,1,valeur de,"50,00000",,,valeur de 50 Lt cy
167,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,graine de lin,Rennes,d'Hollande,762,sacs,"12,00000",,,
168,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,graine de lin,Rennes,d'Hollande,645,barils,"6,00000",,,
169,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,grellots,Rennes,d'Hollande,1,valeur de,"200,00000",,,valeur de 200 livres cy
170,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,guinée bleue,Rennes,d'Hollande,870,pièces,"33,00000",,,
171,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,horloge de sables,Rennes,d'Hollande,3,caisses,"60,00000",,,
172,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,huille de graine,Rennes,d'Hollande,1 584,Livres,"0,32000",,,
173,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,huille de lin,Rennes,d'Hollande,51,bariques,"130,00000",,,
174,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,huille de lin,Rennes,d'Hollande,3,barils,"30,00000",,,
175,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,huille de Rabette,Rennes,d'Hollande,928,Livres,"0,32000",,,
176,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,jambons,Rennes,d'Hollande,326,Livres,"0,50000",,,
177,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,indienne,Rennes,d'Hollande,540,pièces,"25,00000",,,
178,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,lignes à pecher,Rennes,d'Hollande,4,barils,,,,"se vendent au nombre, pas de prix"
179,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,limes à fer,Rennes,d'Hollande,1,baril,,,,"se vendent au nombre, pas de prix"
180,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,Limeneas,Rennes,d'Hollande,365,pièces,"25,00000",,,marchandise non identifiée
181,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,mercerie,Rennes,d'Hollande,1,valeur de,"3100,00000",,,valeur de 3100 livres cy
182,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,moulins à caffé,Rennes,d'Hollande,173,pièces,"12,00000",,,
183,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,nattes,Rennes,d'Hollande,180,en nombre,"0,33333",,,À 40 S le paquet de 6
184,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,Nicaneas larges,Rennes,d'Hollande,810,pièces,"20,00000",,,
185,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,Néganipaux,Rennes,d'Hollande,80,pièces,"30,00000",,,
186,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,noir de fumée,Rennes,d'Hollande,800,barils,"0,17500",,,
187,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,orge,Rennes,d'Hollande,29,sacs,"8,00000",,,
188,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,7,1752,orge,Rennes,d'Hollande,20,letz,,,,"Pas de prix (""à proportion"")"
189,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,papier,Rennes,d'Hollande,13,rames,"20,00000",,,
190,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,pinceaux à peindre,Rennes,d'Hollande,301,Livres,"1,50000",,,
191,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,photas,Rennes,d'Hollande,320,paires,"12,00000",,,12 à 15lt
192,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,pierres à fusils,Rennes,d'Hollande,15,milliers,"1,50000",,,
193,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,pierres à fusils,Rennes,d'Hollande,1,valeur de,"300,00000",,,valeur de 300L cy
194,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,pipes à fumer,Rennes,d'Hollande,16,coffres,,,,"Pas de prix ""16 coffres à proportion de ce qu'il contient de grosses"""
195,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,pipes à fumer,Rennes,d'Hollande,334,grosses,"2,25000",,,
196,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,planches de sapin,Rennes,d'Hollande,13 110,,"1,00000",,,
197,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,plomb en grenailles,Rennes,d'Hollande,2 800,Livres,"0,26000",,,
198,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,plomb en saumons,Rennes,d'Hollande,10 300,Livres,"0,20000",,,
199,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,plumes à écrire,Rennes,d'Hollande,6,caisses,"15,00000",,,
200,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,plumes à écrire,Rennes,d'Hollande,6,paquets,"0,50000",,,
201,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,poudre à poudrer,Rennes,d'Hollande,2,barils,,,,6 sous la livre
202,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,poudre à tirer,Rennes,d'Hollande,33 100,Livres,"1,50000",,,
203,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,poutreaux de sapin,Rennes,d'Hollande,83,en nombre,"3,00000",,,
204,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,quinquaillerie,Rennes,d'Hollande,5,barils,"18,00000",,,
205,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,quinquaillerie,Rennes,d'Hollande,1,valeur de,"47000,00000",,,valeur de 17000 livres cy
206,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,Rasade,Rennes,d'Hollande,670,Livres,"0,75000",,,
207,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,Ris,Rennes,d'Hollande,400,Livres,"0,40000",,,
208,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,Romals,Rennes,d'Hollande,50,pièces,"18,00000",,,
209,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,son,Rennes,d'Hollande,12 366,Livres,"0,05000",,,
210,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,tabac,Rennes,d'Hollande,190,paniers,,,,"""il faut en savoir le poids et la quantité"""
211,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,tapsel,Rennes,d'Hollande,1 218,pièces,"24,00000",,,nom de la marchandise incertain
212,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,teinture,Rennes,d'Hollande,2,barils,,,,pas d'indication de prix
213,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,toile d'emballage neuve,Rennes,d'Hollande,13,balles,"8,00000",,,"nom de la marchandise incertain. Prix : ""8 à 10lt"""
214,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,toile d'emballage veile,Rennes,d'Hollande,24,balles,"4,00000",,,"nom de la marchandise incertain. Prix : ""4 à 5lt"""
215,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,toiles platille,Rennes,d'Hollande,2 650,pièces,"5,00000",,,
216,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,verroterie,Rennes,d'Hollande,3,coffres,"60,00000",,,
217,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,verroterie,Rennes,d'Hollande,1,panier,,,,"""cela est trop vague"""
218,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,8,1752,verroterie,Rennes,d'Hollande,168,Livres,"20,00000",,,
219,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,vin,Rennes,d'Hollande,1,tonneaux,,,,"""faute de savoir l'espece on ne peut en faire l'évaluation"""
220,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,vin,Rennes,d'Hollande,6,barils,,,,"""faute de savoir l'espece on ne peut en faire l'évaluation"""
221,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,vin de Constance,Rennes,d'Hollande,150,petites bouteilles,"1,20000",,,
222,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,anspects,Rennes,du Nord,20,en nombre,"1,20000",,,
223,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,azur,Rennes,du Nord,7 000,Livres,"0,80000",,,
224,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,boeuf salé,Rennes,du Nord,22,barils,"25,00000",,,
225,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,bled froment,Rennes,du Nord,20 215,boisseaux,"80,00000",,,
226,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,bled de seigle,Rennes,du Nord,450,boisseaux,,,,pas d'indication de prix
227,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,bled de seigle,Rennes,du Nord,61,letz,,,,pas d'indication de prix
228,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,bois de construction,Rennes,du Nord,161,pièces,,,,À 30 sous le pied cube
229,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,bordage de chene,Rennes,du Nord,1 307,pièces,"12,00000",,,
230,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,bourdilles,Rennes,du Nord,1 800,pièces,"1,60000",,,
231,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,cuivre jaune en planches,Rennes,du Nord,16 000,Livres,"1,50000",,,
232,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,cuivre rouge en planche,Rennes,du Nord,9 402,Livres,"1,75000",,,
233,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,??? de boutard,Rennes,du Nord,409,paquets,"0,60000",,,marchandise non identifiée
234,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,espars,Rennes,du Nord,39,pièces,"1,00000",,,
235,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,fer blanc,Rennes,du Nord,14,barils,"90,00000",,,
236,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,Fer noir,Rennes,du Nord,9,barils,"55,00000",,,
237,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,gaules de sapin,Rennes,du Nord,32,pièces,"15,00000",,,
238,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,graines de lin,Rennes,du Nord,757,barils,"6,00000",,,
239,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,mairrains à barriques douelles,Rennes,du Nord,11 640,en nombre,"0,20000",,,
240,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,mairrains pipage douelles,Rennes,du Nord,193 932,en nombre,"0,30000",,,
241,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,orge,Rennes,du Nord,390,boisseaux,"0,50000",,,
242,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,planches de chesne bouts,Rennes,du Nord,100,en nombre,"2,00000",,,
243,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,planches de Prusse,Rennes,du Nord,17 298,pièces,"2,50000",,,
244,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,9,1752,planches de sapin,Rennes,du Nord,896,pièces,"1,00000",,,
245,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,poutres,Rennes,du Nord,490,en nombre,,,,"""à 40 S le pied cube"""
246,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,poutreaux de sapin,Rennes,du Nord,1 331,en nombre,"2,00000",,,
247,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,précintes,Rennes,du Nord,1 476,pièces,"1,00000",,,
248,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,verres à boire,Rennes,du Nord,7,caisses,"20,00000",,,
249,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,verres à vitres,Rennes,du Nord,80,Livres,,,,"""60 lt le panier"""
250,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,Citrons,Rennes,de Portugal,11,caisses,"12,00000",,,
251,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,cuirs secs en poil,Rennes,de Portugal,380,en nombre,"21,00000",,,
252,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,figues,Rennes,de Portugal,2 987,cabas,"40,00000",,,
253,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,huile d'olive,Rennes,de Portugal,186,Livres,"0,70000",,,
254,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,oranges,Rennes,de Portugal,306,caisses,"20,00000",,,
255,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,oranges,Rennes,de Portugal,1,Grennier,,,,on n'en sait pas la contenance
256,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,oranges,Rennes,de Portugal,800,en nombre,"0,10000",,,
257,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,peaux de bouc,Rennes,de Portugal,25,peaux,"4,00000",,,
258,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,raisin,Rennes,de Portugal,30,cabas,"0,30000",,,
259,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,sucre,Rennes,de Portugal,25,Livres,"0,40000",,,
260,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,bois de sapin,Rennes,de Russie,102,pièces,,,,pas d'indication de prix
261,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,"gaffe, baton de",Rennes,de Russie,200,en nombre,,,,pas d'indication de prix
262,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,chanvre cru,Rennes,de Russie,146,balles,,,,pas d'indication de prix
263,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,chanvre cru,Rennes,de Russie,11 121 000,Livres,"0,20000",,,
264,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,espars,Rennes,de Russie,349,,"1,00000",,,
265,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,10,1752,fer en barre,Rennes,de Russie,32 000,Livres,"0,13000",,,
266,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,mats de navires,Rennes,de Russie,276,en nombre,"100,00000",,,
267,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,nattes,Rennes,de Russie,450,en nombre,,,,À 40 sous le paquet
268,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,planches de sapins,Rennes,de Russie,16 103,,"1,50000",,,
269,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,poutreaux,Rennes,de Russie,258,en nombre,"2,00000",,,
270,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,vergues,Rennes,de Russie,9,en nombre,"30,00000",,,
271,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,acier,Rennes,de la Suède,1 610,Livres,"0,25000",,,
272,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,ancres de fer,Rennes,de la Suède,13 600,Livres,"0,25000",,,
273,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,bray gras,Rennes,de la Suède,390,barils,"23,00000",,,
274,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,canons de fer de 12 livres de balle,Rennes,de la Suède,85,en nombre,,,,
275,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,canons de fer de 6 livres de balle,Rennes,de la Suède,23,en nombre,,,,
276,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,clous de fer,Rennes,de la Suède,4 350,Livres,"0,25000",,,
277,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,cuivre jaune monnoye,Rennes,de la Suède,280,caisses,,,,"""30 S la livre"" combien de livre dans une caisse ?"
278,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,cuivre en rozettes,Rennes,de la Suède,82,caisses,,,,"""30 S la livre"" combien de livre dans une caisse ?"
279,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,fer en barres,Rennes,de la Suède,260 000,Livres,"0,13000",,,
280,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,fer en plaque,Rennes,de la Suède,2 700,Livres,"0,15000",,,
281,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,gaudron,Rennes,de la Suède,2 043,barils,"25,00000",,,
282,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,mats de navires,Rennes,de la Suède,1 100,en nombre,,,,"""Il y en a de tous prix relativement aux grosseurs et largeurs"""
283,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,planches de sapin,Rennes,de la Suède,25 468,en nombre,"1,00000",,,
284,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,11,1752,huille de poisson,Rennes,des Isles fraçaises de l'Amerique,1 887,barriques,"200,00000",,,
285,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,12,1752,morues seiches,Rennes,des Isles fraçaises de l'Amerique,2 295 000,Livres,"0,30000",,,
286,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,12,1752,morues vertes,Rennes,des Isles fraçaises de l'Amerique,4 950,pièces,"2,50000",,,
287,Cyril CANET,AD 44 C716,Local/Rennes/Rennes – Entrées – 1752,Local,Imports,12,1752,Pelleterie,Rennes,des Isles fraçaises de l'Amerique,1,valeur de,"4000,00000",,,"Nom de marchandise incertain. ""valeur de 1000 livres cy"""
