numrodeligne,source,sourcepath,sourcetype,year,exportsimports,direction,marchandises,pays,quantity_unit,prix_unitaire,probleme,remarks,quantit,value
167,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Etain,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,1900,0
168,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile de poisson,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,10700,0
169,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile de poisson en lie,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,11000,0
170,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huiles de poisson,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,55650,0
171,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine filée,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,250,0
172,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine grasse,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,52908,0
173,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine grasse ou en suin,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,191328,0
174,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine lavée,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,450,0
175,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine peignée,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,295,0
176,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Moruë seche,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Milliers,,,,675.5,0
177,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Moruë verte,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Milliers,,,,18,0
178,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Moruë verte,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Nombres,,,,13600,0
179,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Nattes,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,600,0
180,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Peaux de boue apretées,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Nombres,,,,3366,0
181,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Peaux de chevreaux crue,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Nombres,,,,2112,0
182,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Peaux de maroquin,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Douzaines,,,,60,0
183,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Peaux de renard seches,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Nombres,,,,24,0
184,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Sang darac,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,3487,0
185,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Suif,Barbarie dans l'Ocean et des Iles françoises de l'amerique,Livres,,,,21444,0
186,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Alpiste,Espagne,Livres,,,,56,0
187,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Amandes,Espagne,Livres,,,,48,0
188,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Amandes cassées,Espagne,Livres,,,,60,0
189,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Amandes douces,Espagne,Livres,,,,3900,0
190,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Anchois,Espagne,Barils,,,,4,0
191,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Anchois,Espagne,Livres,,,,600,0
192,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Ancres de fer,Espagne,Livres,,,,11061,0
193,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Avirons,Espagne,Tracques,,,,10,0
194,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Avirons,Espagne,Traques,,,,201,0
195,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Avirons,Espagne,Traques,9,0,,728,6552
196,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cacao,Espagne,Livres,,,,36,0
197,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Chataignes,Espagne,Boisseaux,,,,100,0
198,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Chocolat,Espagne,Livres,,,,90,0
199,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cire a cacheter,Espagne,Livres,,,,3,0
200,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cire jaune,Espagne,Livres,,,,3137,0
201,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Citrons,Espagne,Caisses,,,,5,0
202,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Citrons,Espagne,Nombres,,,,3700,0
203,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cloux de fer,Espagne,Livres,,,,2000,0
204,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cochenille,Espagne,Livres,,,,2025,0
205,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Confiture,Espagne,Livres,,,,56,0
206,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Confiture seche,Espagne,Livres,,,,22,0
207,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuir de vâche tané,Espagne,Nombres,,,,130,0
208,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuirs d'indes,Espagne,Nombres,,,,35,0
209,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cuivre tangoul,Espagne,Livres,,,,3200,0
210,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Dates,Espagne,Livres,,,,200,0
211,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Eau de vie,Espagne,Pots,,,,40,0
212,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Ecouvettes de nattes,Espagne,Douzaines,,,,100,0
213,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en barres,Espagne,Livres,,,,306333,0
214,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en barres,Espagne,Livres,"0,15",0,,231919,34787.85
215,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en barres,Espagne,Milliers,120,0,,292,35040
216,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en barres,Espagne,Milliers,130,0,Livre mesure d'origine,369.25,48002.5
217,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en barres fin,Espagne,Livres,"0,15",0,,469253,70387.95
218,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en barres subtil,Espagne,Livres,"0,15",0,,49593,7438.95
219,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer en masses,Espagne,Livres,,,,38945,0
220,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer ouvré,Espagne,Livres,,,,6100,0
221,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer ouvré en cloux,Espagne,Livres,,,,4600,0
222,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fer ouvré en masses et chevilles,Espagne,Livres,,,,50069,0
223,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Figues,Espagne,Livres,,,,27010,0
224,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fleurs d'orange,Espagne,Livres,,,,200,0
225,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Fougons,Espagne,Nombres,,,,18,0
226,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Gomme arabique,Espagne,Livres,,,,3800,0
227,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile d'olives,Espagne,Bottes,,,,20,0
228,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile d'olives,Espagne,Livres,,,,78465,0
229,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Huile d'olives,Espagne,Pots,,,,24,0
230,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Indigo,Espagne,Livres,,,,362,0
231,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Jambon,Espagne,Livres,,,,40,0
232,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine grasse,Espagne,Livres,,,,10975,0
233,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine grasse ou en suin,Espagne,Livres,,,,1900,0
234,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine lavée de stramadouze,Espagne,Livres,,,,1200,0
235,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Laine peignée,Espagne,Livres,,,,420,0
236,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Liége,Espagne,Livres,,,,500,0
237,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Liqueur,Espagne,Bouteilles,,,,15,0
238,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Liqueur,Espagne,Nombres,,,,60,0
239,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Meules a coutelier,Espagne,Nombres,2,0,,159,318
240,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Mistelle,Espagne,Livres,,,,56,0
241,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Moruë seche,Espagne,Livres,,,,100,0
242,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Nate,Espagne,Paquets,,,,1,0
243,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Nates,Espagne,Pièces,,,,3,0
244,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Olives,Espagne,Barils,,,,27,0
245,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Olives,Espagne,Botiches,,,,64,0
246,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Olives,Espagne,Botiges,,,,36,0
247,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Olives,Espagne,Jarres,,,,15,0
248,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Olives,Espagne,Livres,,,,9600,0
249,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Oranges,Espagne,Caisses,,,,9,0
250,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Oranges,Espagne,Nombres,,,,5300,0
251,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Oranges aigres,Espagne,Nombres,,,,2000,0
252,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Oranges douces,Espagne,Nombres,,,,300,0
253,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Organaux,Espagne,Livres,,,,100,0
254,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Patates,Espagne,Livres,,,,100,0
255,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Peaux de chat sauvage,Espagne,Nombres,,,,50,0
256,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Peaux de cheurotin,Espagne,Nombres,,,,70,0
257,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Peaux de maroquin,Espagne,Nombres,,,,48,0
258,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Peaux de mouton en laine,Espagne,Livres,,,,1815,0
259,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Piere a paver,Espagne,Pièces,"1,5",0,,60,90
260,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Pieres bleues a paver,Espagne,Nombres,"1,5",0,,101,151.5
261,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Porcelaine,Espagne,Livres,,,,10,0
262,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Pot de terre,Espagne,Pots,,,,6,0
263,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Prunes,Espagne,Livres,,,,250,0
264,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Raisin,Espagne,Livres,,,,26070,0
265,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Raisin passe,Espagne,Livres,,,,45610,0
266,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Raisine,Espagne,Livres,,,,20,0
267,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Reglisse,Espagne,Livres,,,,200,0
268,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Ris,Espagne,Livres,,,,175,0
269,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Roseau pour quenouilles,Espagne,Milliers,,,,1,0
270,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Roseau pour quenouilles,Espagne,Nombres,,,,250,0
271,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Roseaux,Espagne,Nombres,,,,8000,0
272,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Roseaux ou quenouille,Espagne,Nombres,,,,12000,0
273,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Sandarac,Espagne,Livres,,,,800,0
274,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Sel,Espagne,Lastes,,,,92.25,0
275,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Sel,Espagne,Tonneaux,,,,707,0
276,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Sucre cassonade,Espagne,Livres,,,,125,0
277,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Suif,Espagne,Livres,,,,200,0
278,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Tabac en poudre,Espagne,Livres,,,,7549,0
279,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Vin,Espagne,Muids,,,,6.75,0
280,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Vin,Espagne,Tonneaux,,,,42.5,0
281,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Vin d'Espagne,Espagne,Bariques,,,,11,0
282,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Vin d'Espagne,Espagne,Livres,,,,1850,0
283,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Vin de teinte,Espagne,Tonneaux,,,,8.5,0
284,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Vinaigre,Espagne,Pots,,,,20,0
285,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Graine de lin,Flandre autrichienne,Barils,55,0,,360,19800
286,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Acier,Hollande,Livres,,,,19424,0
287,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Acier,Hollande,Livres,"0,2",0,,4000,800
288,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Acier,Hollande,Livres,"0,3",0,,8700,2610
289,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Alun,Hollande,Livres,,,,1000,0
290,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Amidon,Hollande,Livres,,,,35647,0
291,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Ancre de fer,Hollande,Livres,,,,60961,0
292,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Ardoises,Hollande,Douzaines,,,,2,0
293,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Argent vif,Hollande,Livres,,,,50,0
294,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Armoires de bois de sapin…,Hollande,Pièces,30,0,,6,180
295,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Atelas et instruments de marine,Hollande,Caisses,,,,1,0
296,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Aucline,Hollande,Livres,,,,800,0
297,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Avirons,Hollande,Avirons,,,,20,0
298,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Avirons,Hollande,Traques,9,0,,50,450
299,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Avoine,Hollande,Boisseaux,,,,100,0
300,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Avoine,Hollande,Tonneaux,,,,1,0
301,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Azur,Hollande,Livres,,,,3800,0
302,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Bais de bois de chêne,Hollande,Nombres,,,,1,0
303,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Balance,Hollande,Nombres,,,,1,50
304,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Baleine coupée,Hollande,Livres,,,,1385,0
305,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Barres de cabestan,Hollande,Pièces,,,,50,0
306,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Batons a frotoir,Hollande,Paquets,,,,2,0
307,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Beuf salé,Hollande,Barils,,,,50,0
308,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Biere,Hollande,Bariques,,,,3,0
309,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Biere,Hollande,Tonneaux,,,,1,0
310,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Blanc de ceruse,Hollande,Livres,,,,1190,0
311,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Blé seigle,Hollande,Tonneaux,,,,46,0
312,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Boëte de bois,Hollande,Nombres,,,,6,0
313,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Boete de bois musqué,Hollande,Douzaines,,,,6,0
314,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Boëtes de fer blanc,Hollande,Nombres,,,,6,0
315,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Boëtes de sapin peintes,Hollande,Douzaines,,,,30,0
316,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Bois de campeche,Hollande,Livres,,,,8955,0
317,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Bois de chêne,Hollande,Pièces,,,,1,0
318,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Borax,Hollande,Livres,,,,50,0
319,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Bordage de chêne,Hollande,Pièces,,,,104,0
320,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Bouchons de liége,Hollande,Douzaines,,,,25,0
321,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Boulets de canon,Hollande,Nombres,,,,2300,0
322,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Boulets de canon,Hollande,Pièces,4,,,3700,0
323,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Boulets de terre,Hollande,Nombres,,,,12000,0
324,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Braj,Hollande,Barils,,,,82,0
325,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Braj gras,Hollande,Barils,,,,643,0
326,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Braj gras,Hollande,Barils,15,0,,10,150
327,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Briques,Hollande,Milliers,,,,8,0
328,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Brosserie,Hollande,Livres,,,,159,0
329,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Brosses,Hollande,Livres,,,,50,0
330,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cabaret de sapin,Hollande,Nombres,,,,8,18
331,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cabinet de bois peint,Hollande,Nombres,,,,2,120
332,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cables,Hollande,Livres,,,,48500,0
333,AD44 C706,Local/Rennes/Rennes - Entrées - 1714 - reconstructed.csv,Local,1714,Imports,Rennes,Cables,Hollande,Nombres,,,,18,0
