numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,total,leurvaleursubtotal_2,remarks,doubleaccounts
282,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Sirops,"Colonies francaises en Amérique,Asie et afrique",37600,131800900,1684800,,0
283,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Thé,Royaume d'Espagne,1500,131800900,1430000,,0
284,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Thé,Hollande,130700,131800900,1430000,,0
285,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Thé,République de suisse,26900,131800900,1430000,,0
286,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Thé,Etats-Unis d'Amérique,178200,131800900,1430000,,0
287,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Thé,Villes anséatiques,76800,131800900,1430000,,0
288,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Thé,Royaume de Danemarck,51900,131800900,1430000,,0
289,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Thé,Empire ottoman et barbarie,3800,131800900,1430000,,0
290,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Thé,Empire d'Autriche,88600,131800900,1430000,,0
291,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Thé,Empire de Russie,3800,131800900,1430000,,0
292,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Thé,Royaume de Portugal,70000,131800900,1430000,,0
293,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Thé,Angleterre,797800,131800900,1430000,,0
294,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Cacao,Royaume d'Espagne,671000,131800900,1255700,,0
295,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Cacao,Hollande,36900,131800900,1255700,,0
296,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Cacao,Royaume de Prusse,4500,131800900,1255700,,0
297,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Cacao,République de suisse,224200,131800900,1255700,,0
298,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Cacao,Villes anséatiques,22000,131800900,1255700,,0
299,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Cacao,Royaume de Danemarck,3300,131800900,1255700,,0
300,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Cacao,Royaume de Suede,2000,131800900,1255700,,0
301,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Cacao,Milanes et toscane,142600,131800900,1255700,,0
302,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Cacao,Royaume de Genes,39800,131800900,1255700,,0
303,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Cacao,Empire ottoman et barbarie,11600,131800900,1255700,,0
304,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Cacao,Royaume de Naples,7100,131800900,1255700,,0
305,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Cacao,Royaume de sardaigne,20900,131800900,1255700,,0
306,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Cacao,Empire d'Autriche,28400,131800900,1255700,,0
307,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Cacao,Empire de Russie,1200,131800900,1255700,,0
308,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Cacao,Etats de Rome,37300,131800900,1255700,,0
309,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Cacao,République de VENISE,2900,131800900,1255700,,0
310,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Café,Royaume d'Espagne,55200,131800900,69900000,,0
311,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Café,Hollande,7908000,131800900,69900000,,0
312,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Café,Royaume de Prusse,1577800,131800900,69900000,,0
313,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Café,Etats d'Allemagne,585700,131800900,69900000,,0
314,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Café,République de suisse,3589300,131800900,69900000,,0
315,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Café,Etats-Unis d'Amérique,6800,131800900,69900000,,0
316,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Café,Villes anséatiques,31344900,131800900,69900000,,0
317,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Café,Royaume de Danemarck,2186900,131800900,69900000,,0
318,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Café,Royaume de Suede,1319000,131800900,69900000,,0
319,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Café,Milanes et toscane,3946400,131800900,69900000,,0
320,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Café,Royaume de Genes,469200,131800900,69900000,,0
321,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Café,Empire ottoman et barbarie,5847000,131800900,69900000,,0
322,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Café,Royaume de Naples,419400,131800900,69900000,,0
323,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Café,Royaume de sardaigne,324400,131800900,69900000,,0
324,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Café,Empire d'Autriche,8800200,131800900,69900000,,0
325,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Café,Empire de Russie,738800,131800900,69900000,,0
326,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Café,Etats de Rome,708400,131800900,69900000,,0
327,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Café,Angleterre,62100,131800900,69900000,,0
328,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Café,République de VENISE,8400,131800900,69900000,,0
329,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Sucre,Royaume d'Espagne,867500,131800900,56500000,,0
330,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Sucre,Hollande,15164100,131800900,56500000,,0
331,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Sucre,Royaume de Prusse,3177200,131800900,56500000,,0
332,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Sucre,République de suisse,529700,131800900,56500000,,0
333,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Sucre,Etats-Unis d'Amérique,13000,131800900,56500000,,0
334,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Sucre,Villes anséatiques,16750400,131800900,56500000,,0
335,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Sucre,Royaume de Danemarck,494600,131800900,56500000,,0
336,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Sucre,Royaume de Suede,1064200,131800900,56500000,,0
337,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,2///Subsistances///Sucre,Milanes et toscane,1588900,131800900,56500000,,0
338,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Sucre,Royaume de Genes,438200,131800900,56500000,,0
339,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Sucre,Empire ottoman et barbarie,1669900,131800900,56500000,,0
340,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Sucre,Royaume de Naples,1781200,131800900,56500000,,0
341,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Sucre,Royaume de sardaigne,1264900,131800900,56500000,,0
342,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Sucre,Empire d'Autriche,7313400,131800900,56500000,,0
343,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Sucre,Empire de Russie,2053100,131800900,56500000,,0
344,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Sucre,Etats de Rome,1494400,131800900,56500000,,0
345,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Sucre,Angleterre,298200,131800900,56500000,,0
346,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Sucre,République de VENISE,462400,131800900,56500000,,0
347,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,2///Subsistances///Sucre,"Colonies francaises en Amérique,Asie et afrique",29500,131800900,56500000,,0
348,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,3///Subsistances///Epiceries,Royaume d'Espagne,63100,904500,482100,,0
349,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,3///Subsistances///Epiceries,Royaume de Prusse,1200,904500,482100,,0
350,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,3///Subsistances///Epiceries,République de suisse,27100,904500,482100,,0
351,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,3///Subsistances///Epiceries,Etats-Unis d'Amérique,12200,904500,482100,,0
352,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,3///Subsistances///Epiceries,Villes anséatiques,1600,904500,482100,,0
353,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,3///Subsistances///Epiceries,Milanes et toscane,41900,904500,482100,,0
354,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Epiceries,Royaume de Genes,14300,904500,482100,,0
355,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Epiceries,Empire ottoman et barbarie,69200,904500,482100,,0
356,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Epiceries,Royaume de Naples,76000,904500,482100,,0
357,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Epiceries,Royaume de sardaigne,47500,904500,482100,,0
358,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Epiceries,Empire d'Autriche,7400,904500,482100,,0
359,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Epiceries,Empire de Russie,2900,904500,482100,,0
360,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Epiceries,Etats de Rome,6900,904500,482100,,0
361,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Epiceries,Angleterre,9300,904500,482100,,0
362,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Epiceries,"Colonies francaises en Amérique,Asie et afrique",101500,904500,482100,,0
363,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,3///Subsistances///Canelle,Royaume d'Espagne,139600,904500,240500,,0
364,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,3///Subsistances///Canelle,Hollande,4100,904500,240500,,0
365,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,3///Subsistances///Canelle,République de suisse,1500,904500,240500,,0
366,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,3///Subsistances///Canelle,Etats-Unis d'Amérique,2100,904500,240500,,0
367,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,3///Subsistances///Canelle,Milanes et toscane,20200,904500,240500,,0
368,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Canelle,Royaume de Genes,8700,904500,240500,,0
369,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Canelle,Empire ottoman et barbarie,31900,904500,240500,,0
370,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Canelle,Royaume de Naples,8500,904500,240500,,0
371,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Canelle,Royaume de sardaigne,2200,904500,240500,,0
372,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Canelle,République de VENISE,1300,904500,240500,,0
373,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Canelle,"Colonies francaises en Amérique,Asie et afrique",20400,904500,240500,,0
374,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,3///Subsistances///Girofle,Royaume d'Espagne,15500,904500,181900,,0
375,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Girofle,Empire ottoman et toscane,141200,904500,181900,,0
376,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Girofle,Royaume de Naples,5500,904500,181900,,0
377,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Girofle,Royaume de sardaigne,5500,904500,181900,,0
378,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,3///Subsistances///Girofle,"Colonies francaises en Amérique,Asie et afrique",14200,904500,181900,,0
379,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Coton,Royaume d'Espagne,1734700,18841200,12800000,,0
380,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Coton,Hollande,71600,18841200,12800000,,0
381,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Coton,Royaume de Prusse,15000,18841200,12800000,,0
382,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Coton,Etats d'Allemagne,78500,18841200,12800000,,0
383,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Coton,République de suisse,1503900,18841200,12800000,,0
384,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Coton,Etats-Unis d'Amérique,12400,18841200,12800000,,0
385,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Coton,Villes anséatiques,185700,18841200,12800000,,0
386,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Coton,Royaume de Danemarck,41600,18841200,12800000,,0
387,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Coton,Royaume de Suede,183200,18841200,12800000,,0
388,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Coton,Milanes et toscane,34900,18841200,12800000,,0
389,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Coton,Royaume de Genes,58000,18841200,12800000,,0
390,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Coton,Empire ottoman et toscane,30100,18841200,12800000,,0
391,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Coton,Royaume de sardaigne,946700,18841200,12800000,,0
392,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Coton,Empire d'Autriche,116500,18841200,12800000,,0
393,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Coton,Etats de Rome,5700,18841200,12800000,,0
394,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Coton,Angleterre,7816800,18841200,12800000,,0
395,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Fil,Royaume d'Espagne,61100,18841200,701500,,0
396,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Fil,Hollande,5100,18841200,701500,,0
397,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Fil,République de suisse,48100,18841200,701500,,0
398,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Fil,Etats-Unis d'Amérique,8600,18841200,701500,,0
399,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Fil,Royaume de Genes,27200,18841200,701500,,0
400,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Fil,Empire ottoman et barbarie,2800,18841200,701500,,0
401,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Fil,Royaume de Naples,1700,18841200,701500,,0
402,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Fil,Royaume de sardaigne,4800,18841200,701500,,0
403,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Fil,Empire d'Autriche,62600,18841200,701500,,0
404,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Fil,Angleterre,67000,18841200,701500,,0
405,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Fil,"Colonies francaises en Amérique,Asie et afrique",412500,18841200,701500,,0
406,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Laine,Royaume d'Espagne,320500,18841200,4391500,,0
407,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Laine,Hollande,1005100,18841200,4391500,,0
408,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Laine,Etats d'Allemagne,640300,18841200,4391500,,0
409,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Laine,République de suisse,295500,18841200,4391500,,0
410,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Laine,Villes anséatiques,1200,18841200,4391500,,0
411,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Laine,Royaume de Suede,1000,18841200,4391500,,0
412,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Laine,Milanes et toscane,104000,18841200,4391500,,0
413,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Laine,Royaume de Genes,20800,18841200,4391500,,0
414,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Laine,Empire ottoman et barbarie,114100,18841200,4391500,,0
415,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Laine,Royaume de Naples,1000,18841200,4391500,,0
416,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Laine,Royaume de sardaigne,276100,18841200,4391500,,0
417,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Laine,Empire d'Autriche,1190400,18841200,4391500,,0
418,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Laine,Royaume de Portugal,1100,18841200,4391500,,0
419,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Laine,Etats de Rome,35000,18841200,4391500,,0
420,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Laine,Angleterre,385400,18841200,4391500,,0
421,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Soie,Royaume d'Espagne,120200,18841200,696000,,0
422,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Soie,Etats d'Allemagne,41100,18841200,696000,,0
423,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Soie,République de suisse,68100,18841200,696000,,0
424,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Soie,Royaume de Suede,1700,18841200,696000,,0
425,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Soie,Milanes et toscane,16100,18841200,696000,,0
426,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Soie,Royaume de Genes,143900,18841200,696000,,0
427,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Soie,Empire ottoman et toscane,156100,18841200,696000,,0
428,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Soie,Royaume de Naples,6600,18841200,696000,,0
429,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Soie,Royaume de sardaigne,22100,18841200,696000,,0
430,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Soie,Empire d'Autriche,24800,18841200,696000,,0
431,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Soie,Angleterre,74000,18841200,696000,,0
432,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,10,1///Matières première///Soie,"Colonies francaises en Amérique,Asie et afrique",21300,18841200,696000,,0
433,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Articles réunis,Royaume d'Espagne,93100,18841200,216900,,0
434,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Articles réunis,Etats-Unis d'Amérique,29500,18841200,216900,,0
435,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Articles réunis,Villes anséatiques,1100,18841200,216900,,0
436,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1787.csv,Résumé,1787,Exports,9,1///Matières première///Articles réunis,Milanes et toscane,6300,18841200,216900,,0
