numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,doubleaccounts,remarks
641,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Plumes de toutes sortes,Etats de l'Allemagne,56500,0,
642,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Porcelaines,Etats de l'Allemagne,87200,0,
643,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Quincaillerie,Etats de l'Allemagne,145200,0,
644,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Savon,Etats de l'Allemagne,75100,0,
645,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Tableaux et estampes,Etats de l'Allemagne,80600,0,
646,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Verrerie,Etats de l'Allemagne,239300,0,
647,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Articles réunis,Etats de l'Allemagne,301800,0,
648,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cuivre,République de Suisse,56900,0,
649,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fers divers,République de Suisse,848700,0,
650,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fers aciers,République de Suisse,6200,0,
651,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fers blancs,République de Suisse,66200,0,
652,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Plomb,République de Suisse,22000,0,
653,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Métaux divers,République de Suisse,1500,0,
654,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Chapellerie,République de Suisse,234800,0,
655,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cotonnade ; Bonnetterie de coton et fil,République de Suisse,7000,0,
656,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cotonnade ; Etoffes,République de Suisse,85100,0,
657,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cotonnade ; Mouchoirs de coton et fil,République de Suisse,8100,0,
658,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Cotonnade ; Toiles, basin et nankin",République de Suisse,21400,0,
659,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cotonnade ; Toiles mousseline,République de Suisse,2700,0,
660,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cotonnade ; Toiles peintes et indiennes,République de Suisse,57600,0,
661,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cotonnade ; Mouchoirs et schals,République de Suisse,6400,0,
662,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages ; Bonneterie,République de Suisse,11400,0,
663,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages ; Couvertures,République de Suisse,54200,0,
664,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages ; Draperies,République de Suisse,72000,0,
665,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages ; Draperies ordinaires,République de Suisse,295500,0,
666,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages ; Etoffes,République de Suisse,172000,0,
667,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages : Schals,République de Suisse,148300,0,
668,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soieries ; Bonneterie,République de Suisse,41400,0,
669,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soieries : Etoffes,République de Suisse,6247600,0,
670,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Soieries ; Gazes, crêpes et fuls",République de Suisse,287400,0,
671,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soieries ; Mouchoirs et schals,République de Suisse,20600,0,
672,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soieries ; Passementerie,République de Suisse,9100,0,
673,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soieries ; Rubans,République de Suisse,687600,0,
674,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages riches ; Etoffes,République de Suisse,100100,0,
675,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages riches ; Soieries et dorure,République de Suisse,55300,0,
676,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages mélangés ; Etoffes mélangées de soie,République de Suisse,71200,0,
677,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages mélangés ; Etoffes mêlées,République de Suisse,13800,0,
678,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages mélangés ; Mouchoirs,République de Suisse,45500,0,
679,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Dentelles de fil et de soie,République de Suisse,51200,0,
680,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Rubanerie diverse,République de Suisse,36800,0,
681,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Tapisserie,République de Suisse,800,0,
682,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Toiles mêlées de fil et coton,République de Suisse,200,0,
683,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Toiles de chanvre,République de Suisse,82500,0,
684,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Toiles de lin,République de Suisse,16100,0,
685,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Toiles de lin batiste et linon,République de Suisse,25700,0,
686,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Toiles cirées, gommées et de crin",République de Suisse,5900,0,
687,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Amidon,République de Suisse,36700,0,
688,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Argenterie,République de Suisse,31800,0,
689,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Armes diverses,République de Suisse,4500,0,
690,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bijouterie,République de Suisse,167100,0,
691,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bouchons de liège,République de Suisse,31200,0,
692,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Chandelle,République de Suisse,71700,0,
693,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cordages,République de Suisse,2100,0,
694,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Esprit de vin,République de Suisse,42600,0,
695,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Faïence et poterie,République de Suisse,30400,0,
696,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Gants de peaux,République de Suisse,49500,0,
697,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Habillemens et lingerie,République de Suisse,183200,0,
698,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Horlogerie,République de Suisse,363600,0,
699,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Instruments divers,République de Suisse,23300,0,
700,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Librairie,République de Suisse,27000,0,
701,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Mercerie,République de Suisse,322600,0,
702,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Meubles et glaces,République de Suisse,57300,0,
703,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages de cuir,République de Suisse,21400,0,
704,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages de cuivre doré et argenté,République de Suisse,22900,0,
705,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages de marbre,République de Suisse,7900,0,
706,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages de modes et fleurs artificielles,République de Suisse,80500,0,
707,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages de passementerie,République de Suisse,700,0,
708,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages de terre cuire,République de Suisse,11100,0,
709,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Papeterie,République de Suisse,41800,0,
710,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Parasols,République de Suisse,51300,0,
711,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Peaux et pelleterie,République de Suisse,222000,0,
712,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Parfumerie,République de Suisse,32000,0,
713,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Plumes de toutes sortes,République de Suisse,37900,0,
714,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Porcelaines,République de Suisse,13500,0,
715,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Quincaillerie,République de Suisse,80200,0,
716,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Savon,République de Suisse,159100,0,
717,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Tableaux et estampes,République de Suisse,21500,0,
718,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Verrerie,République de Suisse,110900,0,
719,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Articles réunis,République de Suisse,45700,0,
720,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cuivre,Etats-Unis de l'Amérique,53900,0,
721,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fers divers,Etats-Unis de l'Amérique,37300,0,
722,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fers aciers,Etats-Unis de l'Amérique,345700,0,
723,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fers blancs,Etats-Unis de l'Amérique,10900,0,
724,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Plomb,Etats-Unis de l'Amérique,200,0,
725,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Métaux divers,Etats-Unis de l'Amérique,2100,0,
726,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Chapellerie,Etats-Unis de l'Amérique,16400,0,
727,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cotonnade ; Bonnetterie de coton et fil,Etats-Unis de l'Amérique,9700,0,
728,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cotonnade ; Etoffes,Etats-Unis de l'Amérique,300,0,
729,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cotonnade ; Mouchoirs de coton et fil,Etats-Unis de l'Amérique,14000,0,
730,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cotonnade ; Toiles mousseline,Etats-Unis de l'Amérique,2100,0,
731,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cotonnade ; Mouchoirs et schals,Etats-Unis de l'Amérique,1000,0,
732,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages ; Bonneterie,Etats-Unis de l'Amérique,1700,0,
733,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages ; Couvertures,Etats-Unis de l'Amérique,1700,0,
734,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages ; Draperies,Etats-Unis de l'Amérique,508100,0,
735,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages ; Draperies ordinaires,Etats-Unis de l'Amérique,52700,0,
736,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages ; Etoffes,Etats-Unis de l'Amérique,46200,0,
737,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages : Schals,Etats-Unis de l'Amérique,165600,0,
738,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soieries ; Bonneterie,Etats-Unis de l'Amérique,1433000,0,
739,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soieries : Etoffes,Etats-Unis de l'Amérique,6552200,0,
740,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Soieries ; Gazes, crêpes et fuls",Etats-Unis de l'Amérique,1666400,0,
741,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soieries ; Mouchoirs et schals,Etats-Unis de l'Amérique,1243800,0,
742,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soieries ; Passementerie,Etats-Unis de l'Amérique,543200,0,
743,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soieries ; Rubans,Etats-Unis de l'Amérique,8138700,0,
744,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages riches ; Soieries et dorure,Etats-Unis de l'Amérique,375100,0,
745,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages mélangés ; Etoffes mêlées,Etats-Unis de l'Amérique,400,0,
746,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Ouvrages mélangés ; Gazes, crêpes et tuls",Etats-Unis de l'Amérique,13600,0,
747,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Dentelles de fil et de soie,Etats-Unis de l'Amérique,58900,0,
748,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Rubanerie diverse,Etats-Unis de l'Amérique,54000,0,
749,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Toiles mêlées de lin et de chanvre,Etats-Unis de l'Amérique,700,0,
750,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Toiles mêlées de fil et coton,Etats-Unis de l'Amérique,12100,0,
751,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Toiles de chanvre,Etats-Unis de l'Amérique,15400,0,
752,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Toiles de lin,Etats-Unis de l'Amérique,378300,0,
753,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Toiles de lin batiste et linon,Etats-Unis de l'Amérique,193600,0,
754,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Toiles de courtil et à carreaux,Etats-Unis de l'Amérique,2200,0,
755,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Toiles cirées, gommées et de crin",Etats-Unis de l'Amérique,4900,0,
756,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Toiles à voiles,Etats-Unis de l'Amérique,238300,0,
757,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Argenterie,Etats-Unis de l'Amérique,800,0,
758,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Armes diverses,Etats-Unis de l'Amérique,128700,0,
759,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bijouterie,Etats-Unis de l'Amérique,15000,0,
760,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Bouchons de liège,Etats-Unis de l'Amérique,36000,0,
761,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Chandelle,Etats-Unis de l'Amérique,400,0,
762,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cordages,Etats-Unis de l'Amérique,37300,0,
763,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Faïence et poterie,Etats-Unis de l'Amérique,400,0,
764,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Gants de peaux,Etats-Unis de l'Amérique,737000,0,
765,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Habillemens et lingerie,Etats-Unis de l'Amérique,51200,0,
766,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Horlogerie,Etats-Unis de l'Amérique,94000,0,
767,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Instruments divers,Etats-Unis de l'Amérique,24700,0,
768,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Librairie,Etats-Unis de l'Amérique,12200,0,
769,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Mercerie,Etats-Unis de l'Amérique,218800,0,
770,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Meubles et glaces,Etats-Unis de l'Amérique,77100,0,
771,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages de bois,Etats-Unis de l'Amérique,300,0,
772,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages de cuir,Etats-Unis de l'Amérique,42500,0,
773,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages de cuivre doré et argenté,Etats-Unis de l'Amérique,30000,0,
774,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages de marbre,Etats-Unis de l'Amérique,5000,0,
775,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages de modes et fleurs artificielles,Etats-Unis de l'Amérique,292800,0,
776,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Ouvrages de passementerie,Etats-Unis de l'Amérique,23100,0,
777,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Papeterie,Etats-Unis de l'Amérique,83600,0,
778,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Parasols,Etats-Unis de l'Amérique,20300,0,
779,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Peaux et pelleterie,Etats-Unis de l'Amérique,5600,0,
780,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Parfumerie,Etats-Unis de l'Amérique,95700,0,
781,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Pierres et meules,Etats-Unis de l'Amérique,15100,0,
782,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Plumes de toutes sortes,Etats-Unis de l'Amérique,25300,0,
783,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Porcelaines,Etats-Unis de l'Amérique,70100,0,
784,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Quincaillerie,Etats-Unis de l'Amérique,297000,0,
785,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Tableaux et estampes,Etats-Unis de l'Amérique,55000,0,
786,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Verrerie,Etats-Unis de l'Amérique,86200,0,
787,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Articles réunis,Etats-Unis de l'Amérique,177200,0,
788,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cuivre,Villes Anséatiques et Hollande,5600,0,
789,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Fers divers,Villes Anséatiques et Hollande,33000,0,
790,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Plomb,Villes Anséatiques et Hollande,400,0,
791,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Métaux divers,Villes Anséatiques et Hollande,3800,0,
792,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Chapellerie,Villes Anséatiques et Hollande,98400,0,
793,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cotonnade ; Bonnetterie de coton et fil,Villes Anséatiques et Hollande,1100,0,
794,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cotonnade ; Etoffes,Villes Anséatiques et Hollande,56200,0,
795,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cotonnade ; Mouchoirs de coton et fil,Villes Anséatiques et Hollande,6200,0,
796,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Cotonnade ; Toiles, basin et nankin",Villes Anséatiques et Hollande,7600,0,
797,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Cotonnade ; Toiles peintes et indiennes,Villes Anséatiques et Hollande,47600,0,
798,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages ; Bonneterie,Villes Anséatiques et Hollande,8900,0,
799,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages ; Couvertures,Villes Anséatiques et Hollande,2000,0,
800,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages ; Draperies,Villes Anséatiques et Hollande,13400,0,
801,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages ; Draperies ordinaires,Villes Anséatiques et Hollande,69300,0,
802,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages ; Etoffes,Villes Anséatiques et Hollande,20900,0,
803,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Lainages : Schals,Villes Anséatiques et Hollande,44500,0,
804,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soieries ; Bonneterie,Villes Anséatiques et Hollande,37900,0,
805,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soieries : Etoffes,Villes Anséatiques et Hollande,949000,0,
806,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,"Soieries ; Gazes, crêpes et fuls",Villes Anséatiques et Hollande,27100,0,
807,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soieries ; Mouchoirs et schals,Villes Anséatiques et Hollande,155500,0,
808,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1813.csv,Résumé,1813,Exports,Soieries ; Rubans,Villes Anséatiques et Hollande,326000,0,
