numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,pays,marchandises,value,remarks
460,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Toiles diverses de lin et de chanvre,124000,
461,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Toiles de coton et nankin,6646000,
462,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Articles réunis,250000,
463,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Peaux et pelleteries,319000,
464,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,"Quincailleries diverses ; faulx, faucilles, fil de laiton et limes",30000,
465,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Savons,31000,
466,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Bouchons de liège,1000,
467,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Marbres,3000,
468,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Merceries,60000,
469,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Ouvrages de jonc,16000,
470,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Ouvrages divers,42000,
471,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Habillement et lingerie,207000,
472,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Colles de toute sorte,143000,
473,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Librairie,108000,
474,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Plumes de toute sorte,35000,
475,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Plumes à écrire,82000,
476,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Pains de navette,41000,
477,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Meuble et miroirs,80000,
478,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Hollande,Articles réunis,647000,
479,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Indigo,3024000,
480,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Rocou,9000,
481,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Céruse,21000,
482,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Azur,2000,
483,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Garance,58000,
484,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Noix de galle,8000,
485,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Drogues diverses réunies,325000,
486,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Chevaux,132000,
487,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Etain,46000,
488,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Fers et aciers,36000,
489,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Fer blanc,280000,
490,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Articles réunis,10000,
491,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Toiles diverses de lin et de chanvre,42000,
492,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Toiles de coton et nankin,10565000,
493,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Articles réunis,243000,
494,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Peaux et pelleteries,43000,
495,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,"Quincailleries diverses ; faulx, faucilles, fil de laiton et limes",5000,
496,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Savons,4000,
497,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Merceries,150000,
498,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Habillement et lingerie,5000,
499,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Colles de toute sorte,14000,
500,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Librairie,21000,
501,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Pains de navette,14000,
502,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Meuble et miroirs,4000,
503,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Prusse,Articles réunis,290000,
504,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Indigo,1459000,
505,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Rocou,21000,
506,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Cochenille,27000,
507,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Alun,4000,
508,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Céruse,57000,
509,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Azur,415000,
510,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Garance,154000,
511,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Noix de galle,99000,
512,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Drogues diverses réunies,764000,
513,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Chevaux,263000,
514,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Argent vif,9000,
515,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,"Cuivre, bronze et laiton",261000,
516,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Etain,168000,
517,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Fers et aciers,1342000,
518,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Fer blanc,80000,
519,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Plomb,7000,
520,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Articles réunis,218000,
521,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Chapeaux de paille et d'écorce de bois,269000,
522,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,"Gazes, crèpes et rubans de soie",36000,
523,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Mouchoirs de soie ,3000,
524,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Rubanneries diverses,3126000,
525,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Toiles diverses de lin et de chanvre,395000,
526,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Toiles de coton et nankin,1412000,
527,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Articles réunis,451000,
528,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Peaux et pelleteries,416000,
529,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,"Quincailleries diverses ; faulx, faucilles, fil de laiton et limes",1589000,
530,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Savons,25000,
531,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Merceries,677000,
532,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Ouvrages de jonc,2000,
533,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Ouvrages divers,20000,
534,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Habillement et lingerie,150000,
535,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Colles de toute sorte,41000,
536,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Librairie,156000,
537,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Horlogerie,67000,
538,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Plumes de toute sorte,87000,
539,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Plumes à écrire,43000,
540,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Pains de navette,24000,
541,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Meuble et miroirs,277000,
542,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats d'Allemagne,Articles réunis,720000,
543,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Indigo,668000,
544,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Rocou,15000,
545,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Cochenille,25000,
546,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Alun,1000,
547,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Céruse,5000,
548,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Azur,16000,
549,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Garance,128000,
550,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Noix de galle,10000,
551,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Drogues diverses réunies,110000,
552,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Chevaux,494000,
553,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Mulets,11000,
554,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Argent vif,3000,
555,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,"Cuivre, bronze et laiton",60000,
556,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Etain,16000,
557,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Fers et aciers,71000,
558,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Articles réunis,4000,
559,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Chapeaux de paille et d'écorce de bois,57000,
560,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Etoffes de soie,1000,
561,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,"Gazes, crèpes et rubans de soie",6000,
562,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Mouchoirs de soie ,47000,
563,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Rubanneries diverses,18000,
564,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Toiles diverses de lin et de chanvre,1550000,
565,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Toiles de coton et nankin,7480000,
566,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Articles réunis,138000,
567,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Peaux et pelleteries,125000,
568,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,"Quincailleries diverses ; faulx, faucilles, fil de laiton et limes",321000,
569,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Savons,2000,
570,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Marbres,2000,
571,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Merceries,160000,
572,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Ouvrages de jonc,4000,
573,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Ouvrages divers,25000,
574,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Habillement et lingerie,19000,
575,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Colles de toute sorte,16000,
576,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Librairie,202000,
577,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Horlogerie,11000,
578,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Plumes de toute sorte,22000,
579,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Meuble et miroirs,61000,
580,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,République de Suisse,Articles réunis,178000,
581,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats-Unis d'Amérique,Indigo,56000,
582,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats-Unis d'Amérique,Cochenille,205000,
583,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats-Unis d'Amérique,Drogues diverses réunies,35000,
584,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats-Unis d'Amérique,Etain,6000,
585,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats-Unis d'Amérique,Fers et aciers,4000,
586,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats-Unis d'Amérique,Articles réunis,2000,
587,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats-Unis d'Amérique,Toiles de coton et nankin,3138000,
588,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats-Unis d'Amérique,Articles réunis,50000,
589,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats-Unis d'Amérique,Peaux et pelleteries,47000,
590,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats-Unis d'Amérique,Savons,1000,
591,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats-Unis d'Amérique,Librairie,2000,
592,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats-Unis d'Amérique,Meuble et miroirs,1000,
593,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Etats-Unis d'Amérique,Articles réunis,5000,
594,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Indigo,3808000,
595,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Rocou,10000,
596,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Alun,148000,
597,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Céruse,24000,
598,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Azur,14000,
599,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Garance,45000,
600,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Noix de galle,55000,
601,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Drogues diverses réunies,45000,
602,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,"Cuivre, bronze et laiton",11000,
603,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Etain,98000,
604,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Fers et aciers,153000,
605,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Fer blanc,176000,
606,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Plomb,441000,
607,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Articles réunis,66000,
608,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Rubanneries diverses,2000,
609,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Toiles diverses de lin et de chanvre,31000,
610,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Toiles de coton et nankin,6547000,
611,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Articles réunis,52000,
612,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Peaux et pelleteries,51000,
613,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,"Quincailleries diverses ; faulx, faucilles, fil de laiton et limes",121000,
614,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Merceries,4000,
615,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Ouvrages de jonc,17000,
616,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Ouvrages divers,1000,
617,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Habillement et lingerie,25000,
618,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Colles de toute sorte,20000,
619,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Librairie,15000,
620,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Plumes d'autruche,10000,
621,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Plumes à écrire,40000,
622,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Meuble et miroirs,10000,
623,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Villes Anséatiques,Articles réunis,235000,
624,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Danemarck,Indigo,2427000,
625,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Danemarck,Alun,10000,
626,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Danemarck,Azur,26000,
627,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Danemarck,Garance,49000,
628,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Danemarck,Noix de galle,25000,
629,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Danemarck,Drogues diverses réunies,35000,
630,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Danemarck,Etain,13000,
631,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/An 9.csv,Résumé,An 9 ,Importations,Royaume de Danemarck,Fers et aciers,152000,
