numrodeligne,dataentryby,source,SourecPath,SourceType,year,Exportations/Importations,Pays d'origine,marchandises,value
382,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,"Blé et autres grains, comestibles",27092
383,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Riz,3348
384,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Poissons de toute sorte,58888
385,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,"Fruits verts, en oranges et citrons ; fruits secs, en amandes, figues et raisins",4922
386,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Vins,4217
387,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Eaux-de-vie,15064
388,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Cacao,3128
389,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Café,2588
390,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Sucre,64487
391,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Thé,89328
392,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Poivre,66320
393,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Cannelle,6845
394,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Epiceries diverses,2536
395,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Chanvre,23662
396,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Coton,354410
397,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Laine,55596
398,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Soie et filoselle,28558
399,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Bois divers,23679
400,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Bois des îles,26858
401,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Soude,4350
402,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Cuirs en poil,42825
403,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Huile d'olive pour fabriques,469406
404,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Tabacs,56424
405,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,Articles réunis,7085
406,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Origine inconnue,"Brai, goudron, résine",2474
407,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,"Blé et autres grains, comestibles",23586
408,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Farine et biscuit de mer,21946
409,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Légumes,12886
410,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Chairs salées,347892
411,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Fromage,8913
412,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Poissons de toute sorte,339725
413,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Huile d'olive,2685
414,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,"Fruits verts, en oranges et citrons ; fruits secs, en amandes, figues et raisins",196219
415,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Vins,111119
416,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Eaux-de-vie,16922
417,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Provisions diverses,84772
418,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Cacao,114864
419,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Café,836152
420,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Sucre,1829703
421,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Thé,194316
422,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Liqueurs et sirops,122374
423,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Poivre,14120
424,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Cannelle,3625
425,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Girofle,1080
426,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Chanvre,223308
427,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Coton,141450
428,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Fil,24256
429,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Lin,36702
430,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Soie et filoselle,12800
431,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Bois divers,135981
432,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Bois des îles,31491
433,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,"Cendres diverses ; potasse, vedasses et gravelées",16803
434,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Charbons,81756
435,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Cuirs en poil,11392
436,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Huile d'olive pour fabriques,54862
437,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Huile de poisson,10410
438,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Suif,65000
439,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Tabacs,11222
440,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Articles réunis,121759
441,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,"Brai, goudron, résine",22254
442,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Prises et Saisies,Graine de lin,15086
443,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Indigo,2677266
444,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Cochenille,3288775
445,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Alun,286409
446,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Garance,1227
447,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Noix de galle,2100
448,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Drogues diverses réunies,181566
449,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Chevaux,12375
450,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,"Cuivre, bronze et laiton",5158
451,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Fers et aciers,458313
452,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Fer blanc,5366
453,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Plomb,670383
454,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Mouchoirs de soie,1925
455,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Toiles diverses de lin et de chanvre,58000
456,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Toiles de coton et nankin,1222
457,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Dentelles,4800
458,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Peaux et pelleteries,110079
459,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,"Quincailleries diverses : faulx, faucilles, fil de laiton et limes",1410
460,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Savons,334434
461,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Bouchons de liège,926475
462,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Marbres,3048
463,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Ouvrages divers,8049
464,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Habillement et lingerie,11160
465,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Librairie,2800
466,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Plumes de toute sorte,25150
467,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume d'Espagne,Articles réunis,478244
468,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Indigo,9039737
469,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Rocou,21282
470,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Cochenille,309960
471,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Alun,1460
472,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Céruse,1221340
473,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Azur,1400955
474,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Garance,229365
475,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Noix de galle,37899
476,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Drogues diverses réunies,880587
477,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Chevaux,918816
478,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,"Cuivre, bronze et laiton",2040290
479,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Etain,39285
480,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Fers et aciers,1170489
481,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Fer blanc,762772
482,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Plomb,366913
483,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Articles réunis,27336
484,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Rubanneries diverses,39771
485,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Toiles diverses de lin et de chanvre,211142
486,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Toiles de coton et nankin,1125943
487,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Articles réunis,5682
488,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Dentelles,36723
489,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Peaux et pelleteries,359299
490,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,"Quincailleries diverses : faulx, faucilles, fil de laiton et limes",47934
491,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Savons,2303
492,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Bouchons de liège,567
493,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Marbres,9600
494,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Merceries,72935
495,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Ouvrages divers,9118
496,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Habillement et lingerie,153664
497,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Colles de toute sorte,294477
498,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Librairie,70090
499,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Plumes de toute sorte,148537
500,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Meubles et miroirs,29952
501,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Armes,4327
502,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Articles réunis,666214
503,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Hollande,Verrerie,45667
504,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Prusse,Indigo,1080
505,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Prusse,Chevaux,132400
506,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Prusse,"Cuivre, bronze et laiton",111687
507,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Royaume de Prusse,Toiles diverses de lin et de chanvre,15091
508,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Indigo,1899435
509,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Rocou,3990
510,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Cochenille,67165
511,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Alun,3438
512,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Céruse,136096
513,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Azur,464120
514,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Garance,114254
515,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Noix de galle,101690
516,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Drogues diverses réunies,443328
517,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Chevaux,132400
518,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Argent vif,11920
519,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,"Cuivre, bronze et laiton",1894919
520,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Etain,257413
521,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Fers et aciers,1564170
522,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Fer blanc,101673
523,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Plomb,80106
524,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Articles réunis,23901
525,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Chapeaux de paille et d'écorce de bois,131195
526,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,"Gazes, crèpes et rubans de soie",134388
527,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Mouchoirs de soie,308742
528,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Rubanneries diverses,2140957
529,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Toiles diverses de lin et de chanvre,2057881
530,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Toiles de coton et nankin,62448
531,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Articles réunis,73742
532,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Peaux et pelleteries,817771
533,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,"Quincailleries diverses : faulx, faucilles, fil de laiton et limes",2953917
534,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Savons,8880
535,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Merceries,713284
536,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Ouvrages divers,75657
537,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Habillement et lingerie,67417
538,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Colles de toute sorte,149325
539,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Librairie,197230
540,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Horlogerie,79835
541,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Plumes de toute sorte,130264
542,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Meubles et miroirs,621373
543,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Armes,17500
544,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Articles réunis,1243609
545,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,Etats d'Allemagne,Verrerie,1987
546,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Indigo,1406500
547,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Rocou,636
548,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Cochenille,75950
549,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Alun,1643
550,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Céruse,9075
551,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Azur,21331
552,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Garance,4755
553,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Noix de galle,25794
554,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Drogues diverses réunies,177320
555,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Chevaux,601640
556,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Argent vif,800
557,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,"Cuivre, bronze et laiton",62500
558,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Etain,11154
559,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Fers et aciers,70300
560,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Articles réunis,2010
561,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Chapeaux de paille et d'écorce de bois,43598
562,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,"Gazes, crèpes et rubans de soie",40861
563,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Mouchoirs de soie,60800
564,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Rubanneries diverses,91763
565,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Toiles diverses de lin et de chanvre,1792017
566,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1807.csv,Résumé,1807,Imports,République de Suisse,Toiles de coton et nankin,88472
