numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,total,doubleaccounts
485,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,"//////Betes,principalement en mules et mulets",République de suisse,17600,,0
486,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,"//////Betes,principalement en mules et mulets",Royaume de Sardaigne,51900,,0
487,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,"//////Betes,principalement en mules et mulets",Angleterre,38900,,0
488,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Métaux///Cuivre,Royaume d'Espagne,32700,1107800,0
489,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Métaux///Cuivre,Milanes et toscane,146200,1107800,0
490,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Cuivre,République de Genes,73100,1107800,0
491,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Cuivre,Empire ottoman et barbarie,17100,1107800,0
492,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Cuivre,Royaume de Naples,25000,1107800,0
493,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Cuivre,Empire d'Autriche,10600,1107800,0
494,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Cuivre,Angleterre,11300,1107800,0
495,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Cuivre,"Colonies francaises en Asie,Afrique en Amérique",791800,1107800,0
496,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Métaux///Fers,Royaume d'Espagne,463000,3708400,0
497,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Métaux///Fers,Etats de l'Allemagne,10200,3708400,0
498,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Métaux///Fers,République de suisse,399100,3708400,0
499,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Métaux///Fers,Villes anséatiques,29400,3708400,0
500,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Métaux///Fers,Milanes et toscane,48400,3708400,0
501,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Fers,République de Genes,24400,3708400,0
502,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Fers,Empire ottoman et barbarie,432300,3708400,0
503,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Fers,Royaume de Naples,40200,3708400,0
504,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Fers,Royaume de Sardaigne,96500,3708400,0
505,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Fers,Empire d'Autriche,17800,3708400,0
506,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Fers,"Colonies francaises en Asie,Afrique en Amérique",2147100,3708400,0
507,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Métaux///Autres métaux,Royaume d'Espagne,43100,568600,0
508,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Métaux///Autres métaux,Etats de l'Allemagne,13700,568600,0
509,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Métaux///Autres métaux,République de suisse,18300,568600,0
510,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Métaux///Autres métaux,Milanes et toscane,20800,568600,0
511,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Autres métaux,République de Genes,10500,568600,0
512,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Autres métaux,Empire ottoman et barbarie,175800,568600,0
513,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Autres métaux,Royaume de Naples,30300,568600,0
514,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Autres métaux,Royaume de Sardaigne,41300,568600,0
515,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Métaux///Autres métaux,"Colonies francaises en Asie,Afrique en Amérique",214800,568600,0
516,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Bonneteries diverses,Royaume d'Espagne,523200,2121900,0
517,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Bonneteries diverses,Etats de l'Allemagne,95400,2121900,0
518,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Bonneteries diverses,République de suisse,31400,2121900,0
519,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Bonneteries diverses,République de Genes,39900,2121900,0
520,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Bonneteries diverses,Empire ottoman et barbarie,699500,2121900,0
521,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Bonneteries diverses,Royaume de Sardaigne,161400,2121900,0
522,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Bonneteries diverses,Empire d'Autriche,11200,2121900,0
523,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Bonneteries diverses,Royaume de Potugal,76800,2121900,0
524,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Bonneteries diverses,"Colonies francaises en Asie,Afrique en Amérique",483100,2121900,0
525,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Bonneteries de soie,Royaume d'Espagne,1377700,3791700,0
526,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Bonneteries de soie,Hollande,58500,3791700,0
527,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Bonneteries de soie,Royaume de Prusse,16200,3791700,0
528,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Bonneteries de soie,Etats de l'Allemagne,1171000,3791700,0
529,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Bonneteries de soie,République de suisse,62000,3791700,0
530,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Bonneteries de soie,Villes anséatiques,14000,3791700,0
531,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Bonneteries de soie,Royaume de Suède,10600,3791700,0
532,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Bonneteries de soie,Milanes et toscane,144700,3791700,0
533,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Bonneteries de soie,République de Genes,10800,3791700,0
534,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Bonneteries de soie,Royaume de Naples,174000,3791700,0
535,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Bonneteries de soie,Royaume de Sardaigne,132700,3791700,0
536,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Bonneteries de soie,Empire d'Autriche,141700,3791700,0
537,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Bonneteries de soie,République de Venise,25400,3791700,0
538,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Bonneteries de soie,"Colonies francaises en Asie,Afrique en Amérique",452700,3791700,0
539,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Chapellerie,Royaume d'Espagne,375300,3179600,0
540,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Chapellerie,Etats de l'Allemagne,30600,3179600,0
541,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Chapellerie,République de suisse,92200,3179600,0
542,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Chapellerie,Milanes et toscane,12300,3179600,0
543,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Chapellerie,Empire ottoman et barbarie,12400,3179600,0
544,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Chapellerie,Royaume de Naples,47200,3179600,0
545,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Chapellerie,Royaume de Sardaigne,226300,3179600,0
546,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Chapellerie,Empire d'Autriche,11900,3179600,0
547,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Chapellerie,"Colonies francaises en Asie,Afrique en Amérique",2371400,3179600,0
548,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Dentelles,Royaume d'Espagne,78500,3130100,0
549,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Dentelles,Royaume de Prusse,36100,3130100,0
550,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Dentelles,Etats de l'Allemagne,49600,3130100,0
551,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Dentelles,République de suisse,59000,3130100,0
552,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Dentelles,Royaume de Sardaigne,969000,3130100,0
553,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Dentelles,Empire d'Autriche,155600,3130100,0
554,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Dentelles,Empire de Russie,26800,3130100,0
555,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Dentelles,Royaume de Potugal,22300,3130100,0
556,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Dentelles,Angleterre,1578300,3130100,0
557,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Dentelles,"Colonies francaises en Asie,Afrique en Amérique",154900,3130100,0
558,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Draperies,Royaume d'Espagne,2047200,16609700,0
559,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Draperies,Hollande,29500,16609700,0
560,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Draperies,Royaume de Prusse,29800,16609700,0
561,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Draperies,Etats de l'Allemagne,749300,16609700,0
562,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Draperies,République de suisse,612100,16609700,0
563,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Draperies,Etats-Unis d'amérique,18400,16609700,0
564,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Draperies,Villes anséatiques,20100,16609700,0
565,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Draperies,Milanes et toscane,1001900,16609700,0
566,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Draperies,République de Genes,649900,16609700,0
567,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Draperies,Empire ottoman et barbarie,6515500,16609700,0
568,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Draperies,Royaume de Naples,899000,16609700,0
569,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Draperies,Royaume de Sardaigne,2229300,16609700,0
570,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Draperies,Empire d'Autriche,191700,16609700,0
571,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Draperies,Empire de Russie,89400,16609700,0
572,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Draperies,Etats de Rome,208600,16609700,0
573,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Draperies,Angleterre,93300,16609700,0
574,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Draperies,République de Venise,114800,16609700,0
575,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Draperies,"Colonies francaises en Asie,Afrique en Amérique",1109900,16609700,0
576,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes diverses,Royaume d'Espagne,114000,338700,0
577,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes diverses,Hollande,16500,338700,0
578,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes diverses,Royaume de Prusse,29700,338700,0
579,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes diverses,Etats de l'Allemagne,54700,338700,0
580,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes diverses,République de suisse,40400,338700,0
581,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes diverses,Royaume de Suède,18700,338700,0
582,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes diverses,Royaume de Sardaigne,30500,338700,0
583,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes diverses,Empire d'Autriche,11800,338700,0
584,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes diverses,Angleterre,15500,338700,0
585,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes diverses,"Colonies francaises en Asie,Afrique en Amérique",6900,338700,0
586,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes de coton,Royaume d'Espagne,61900,221100,0
587,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes de coton,Etats de l'Allemagne,13000,221100,0
588,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de coton,Royaume de Sardaigne,14400,221100,0
589,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de coton,Empire d'Autriche,37100,221100,0
590,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de coton,Angleterre,11200,221100,0
591,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de coton,"Colonies francaises en Asie,Afrique en Amérique",83500,221100,0
592,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes de laine,Royaume d'Espagne,3623600,6950500,0
593,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes de laine,Hollande,20300,6950500,0
594,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes de laine,Etats de l'Allemagne,408800,6950500,0
595,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes de laine,République de suisse,547300,6950500,0
596,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes de laine,Milanes et toscane,116800,6950500,0
597,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de laine,République de Genes,48600,6950500,0
598,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de laine,Royaume de Naples,73200,6950500,0
599,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de laine,Royaume de Sardaigne,492500,6950500,0
600,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de laine,Empire d'Autriche,1072000,6950500,0
601,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de laine,Royaume de Potugal,27300,6950500,0
602,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de laine,Etats de Rome,103700,6950500,0
603,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de laine,Angleterre,20700,6950500,0
604,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de laine,République de Venise,38300,6950500,0
605,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de laine,"Colonies francaises en Asie,Afrique en Amérique",357400,6950500,0
606,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes de soie,Royaume d'Espagne,937700,15140900,0
607,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes de soie,Hollande,202600,15140900,0
608,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes de soie,Etats de l'Allemagne,9989700,15140900,0
609,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes de soie,République de suisse,420600,15140900,0
610,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes de soie,Etats-Unis d'amérique,23900,15140900,0
611,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes de soie,Villes anséatiques,15300,15140900,0
612,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes de soie,Royaume de Danemarck,22000,15140900,0
613,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes de soie,Milanes et toscane,22600,15140900,0
614,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de soie,République de Genes,12500,15140900,0
615,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de soie,Empire ottoman et barbarie,240400,15140900,0
616,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de soie,Royaume de Naples,139900,15140900,0
617,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de soie,Royaume de Sardaigne,1018200,15140900,0
618,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de soie,Empire d'Autriche,689700,15140900,0
619,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de soie,Empire de Russie,35000,15140900,0
620,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de soie,Etats de Rome,19800,15140900,0
621,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de soie,Angleterre,94800,15140900,0
622,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes de soie,"Colonies francaises en Asie,Afrique en Amérique",1256200,15140900,0
623,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes mélangées de ces matières,Royaume d'Espagne,68000,459300,0
624,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes mélangées de ces matières,Hollande,9800,459300,0
625,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes mélangées de ces matières,République de suisse,33800,459300,0
626,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes mélangées de ces matières,Milanes et toscane,24900,459300,0
627,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes mélangées de ces matières,Royaume de Naples,22000,459300,0
628,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes mélangées de ces matières,Royaume de Sardaigne,76100,459300,0
629,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes mélangées de ces matières,Empire d'Autriche,118900,459300,0
630,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes mélangées de ces matières,Etats de Rome,26200,459300,0
631,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes mélangées de ces matières,République de Venise,10000,459300,0
632,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes mélangées de ces matières,"Colonies francaises en Asie,Afrique en Amérique",69600,459300,0
633,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes riches,Royaume d'Espagne,201100,1669400,0
634,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes riches,Etats de l'Allemagne,1071000,1669400,0
635,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,4,///Objets manufacturés///Etoffes riches,République de suisse,41600,1669400,0
636,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes riches,Royaume de Naples,52500,1669400,0
637,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Exports,5,///Objets manufacturés///Etoffes riches,Royaume de Sardaigne,259000,1669400,0
