numrodeligne,datantryby,source,SourcePath,SourceType,year,exportsimports,pays,marchandises,value
555,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Cotonades en nankin,25500
556,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Rubannerie et passementerie diverses (celles de soie et dorure exceptées),400
557,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Soieries en étoffes, gaze, crêpe, rubans et passementerie",17200
558,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Tissus de lin et de chanvre en toile diverses,1300
559,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Bijouterie, diamans, perles et pierres fines, montés ou non montés",17300
560,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Bouchons de liège,611200
561,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Joncs pour cannes, bambous et rotins",3300
562,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Librairie,5700
563,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Mercerie commune,400
564,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Meubles,1300
565,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Objets de collection, peinture, sculpture, gravure et histoire naturelle",10900
566,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Ouvrages de bois ; avirons, balais, vannerie, &c",12700
567,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Ouvrages de bois ; boissellerie,300
568,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Ouvrages de bois ; futailles,2700
569,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Ouvrages de sparterie commune, cordages de jonc, &c",299900
570,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Parfumeries diverses. Eaux de senteur, huiles, essences, poudre, pommades et autres parfums",1200
571,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Peaux de veau, mouton et chèvre, brutes",1100
572,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Peaux Pelleteries,94300
573,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Pierres en meules, à aiguiser et à taillandier",55400
574,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Plumes de parure brutes,283100
575,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Plumes à écrire et à lit,700
576,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Poterie de terre,1200
577,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Articles réunis,1000
578,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Cuivre,135000
579,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Etain,9900
580,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Fers divers,1100
581,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,"Soieries en étoffes, gaze, crêpe, rubans et passementerie",800
582,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Tissus dentelles de fil,1300
583,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,"Bijouterie, diamans, perles et pierres fines, montés ou non montés",1373900
584,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,"Objets de collection, peinture, sculpture, gravure et histoire naturelle",5800
585,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,"Peaux de veau, mouton et chèvre, brutes",1700
586,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Peaux Pelleteries,174900
587,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,"Pierres en meules, à aiguiser et à taillandier",3600
588,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Plumes de parure brutes,341200
589,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Portugal et ses colonies,Articles réunis,1700
590,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Cuivre,11600
591,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Etain,30700
592,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Fers divers,243400
593,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Fers aciers,700
594,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Fers blancs et tôle,6900
595,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Chapeaux de paille et d'écorce de bois,16200
596,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Rubannerie et passementerie diverses (celles de soie et dorure exceptées),900
597,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Soieries en étoffes, gaze, crêpe, rubans et passementerie",1200
598,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Tissus de fleuret en étoffes et rubanneries,233300
599,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Tissus de lin et de chanvre en toile diverses,78200
600,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Articles réunis,500
601,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Bijouterie, diamans, perles et pierres fines, montés ou non montés",11700
602,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Carton moulé,9100
603,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Colles de poisson,1300
604,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Cordages de chanvre,18000
605,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Instrumens propres aux arts et aux sciences,3400
606,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Librairie,2600
607,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Mercerie commune,6600
608,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Mercerie Bimbeloterie,2000
609,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Mercerie fine,700
610,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Meubles,3800
611,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Objets de collection, peinture, sculpture, gravure et histoire naturelle",8700
612,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Ouvrages de bois ; avirons, balais, vannerie, &c",9000
613,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Ouvrages de bois ; boissellerie,9800
614,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Ouvrages de bois ; futailles,40000
615,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Ouvrages de terre cuite. Briques, tuiles, carreaux",1800
616,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Parfumeries diverses. Eaux de senteur, huiles, essences, poudre, pommades et autres parfums",41300
617,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Peaux de veau, mouton et chèvre, brutes",44700
618,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Peaux Pelleteries,1200
619,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,"Pierres en meules, à aiguiser et à taillandier",13000
620,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Plumes de parure brutes,31200
621,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Poterie de terre,191900
622,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Quincaillerie de toute sorte,500
623,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Quincaillerie faux et faucilles,8700
624,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume de Sardaigne,Articles réunis,3200
625,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Cuivre,107300
626,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Etain,1900
627,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Fers divers,71600
628,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Fers aciers,5100
629,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Fers blancs et tôle,1100
630,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Chapeaux de paille et d'écorce de bois,2290300
631,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,"Soieries en étoffes, gaze, crêpe, rubans et passementerie",6700
632,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Tissus de fleuret en étoffes et rubanneries,1300
633,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Tissus de lin et de chanvre en toile diverses,112100
634,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Articles réunis,3400
635,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,"Bijouterie, diamans, perles et pierres fines, montés ou non montés",67500
636,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Corail taillé non monté,25100
637,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Cordages de chanvre,8100
638,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Embarcations avec agrès,4300
639,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Instrumens propres aux arts et aux sciences,3800
640,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Librairie,35700
641,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Mercerie commune,1900
642,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Mercerie fine,27500
643,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Meubles,8800
644,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,"Objets de collection, peinture, sculpture, gravure et histoire naturelle",19500
645,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,"Ouvrages de bois ; avirons, balais, vannerie, &c",15400
646,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Ouvrages de bois ; boissellerie,900
647,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Ouvrages de bois ; futailles,7700
648,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,"Ouvrages de sparterie commune, cordages de jonc, &c",1700
649,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,"Ouvrages de terre cuite. Briques, tuiles, carreaux",3100
650,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,"Parfumeries diverses. Eaux de senteur, huiles, essences, poudre, pommades et autres parfums",8000
651,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,"Peaux de veau, mouton et chèvre, brutes",16000
652,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Peaux Pelleteries,1200
653,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,"Pierres en meules, à aiguiser et à taillandier",1500
654,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Plumes de parure brutes,18600
655,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Poterie de terre,600
656,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Rassades et autres vitrifications,63300
657,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Italie,Articles réunis,5000
658,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Cuivre,4000
659,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Chapeaux de paille et d'écorce de bois,400
660,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Rubannerie et passementerie diverses (celles de soie et dorure exceptées),3300
661,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,"Soieries en étoffes, gaze, crêpe, rubans et passementerie",2000
662,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Corail taillé non monté,3400
663,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Instrumens propres aux arts et aux sciences,1500
664,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Mercerie commune,1100
665,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Mercerie fine,3100
666,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,"Objets de collection, peinture, sculpture, gravure et histoire naturelle",3000
667,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,"Ouvrages de bois ; avirons, balais, vannerie, &c",5000
668,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Ouvrages de bois ; futailles,2300
669,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,"Parfumeries diverses. Eaux de senteur, huiles, essences, poudre, pommades et autres parfums",97800
670,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,"Peaux de veau, mouton et chèvre, brutes",362800
671,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Plumes de parure brutes,700
672,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Poterie de terre,300
673,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Naples et Sicile,Articles réunis,1200
674,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Etats de Rome,Cuivre,14000
675,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Etats de Rome,Tissus de lin et de chanvre en toile diverses,700
676,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Etats de Rome,Librairie,2300
677,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Etats de Rome,Mercerie fine,1000
678,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Etats de Rome,Meubles,600
679,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Etats de Rome,"Objets de collection, peinture, sculpture, gravure et histoire naturelle",12400
680,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Etats de Rome,Peaux Pelleteries,4400
681,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Etats de Rome,Poterie de terre,6400
682,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Cuivre,668000
683,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Etain,1052800
684,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Fers divers,5158900
685,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Fers aciers,141100
686,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Fers blancs et tôle,485100
687,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Plomb et toutenague,2769000
688,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Zinc pour fabriquer le laiton,22300
689,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,"Soieries en étoffes, gaze, crêpe, rubans et passementerie",400
690,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Tissus de laine en tapis,40000
691,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Tissus de lin et de chanvre en toile diverses,14500
692,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Articles réunis,1200
693,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,"Bijouterie, diamans, perles et pierres fines, montés ou non montés",130800
694,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Embarcations avec agrès,11700
695,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Instrumens propres aux arts et aux sciences,576600
696,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,"Joncs pour cannes, bambous et rotins",31900
697,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Librairie,96300
698,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Mercerie commune,14900
699,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Mercerie Bimbeloterie,900
700,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Mercerie fine,48300
701,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Meubles,86400
702,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,"Objets de collection, peinture, sculpture, gravure et histoire naturelle",83600
703,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,"Ouvrages de bois ; avirons, balais, vannerie, &c",600
704,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Ouvrages de bois ; futailles,900
705,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,"Ouvrages de sparterie commune, cordages de jonc, &c",6900
706,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,"Parfumeries diverses. Eaux de senteur, huiles, essences, poudre, pommades et autres parfums",28800
707,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,"Peaux de veau, mouton et chèvre, brutes",115500
708,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Peaux Pelleteries,72900
709,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,"Pierres en meules, à aiguiser et à taillandier",23100
710,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Plumes de parure brutes,79000
711,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Plumes à écrire et à lit,3000
712,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Quincaillerie de toute sorte,37300
713,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Quincaillerie limes de toute sorte,86700
714,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Voitures,1004300
715,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Angleterre et ses colonies de l'Inde,Articles réunis,48200
716,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume des Pays-Bas et ses colonies,Cuivre,330400
717,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume des Pays-Bas et ses colonies,Etain,2000
718,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume des Pays-Bas et ses colonies,Fers divers,1001100
