numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,remarks,doubleaccounts
2057,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,67,Fruit ; à l'Eau de vie,Hollande,4198,6820.5,,30855.6992188,,0
2058,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,67,Fruit ; à l'Eau de vie,Isles,270,6820.5,,30855.6992188,,0
2059,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,67,Fruit ; à l'Eau de vie,Levant,1350,6820.5,,30855.6992188,,0
2060,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,67,Fruit ; à l'Eau de vie,Nord,330,6820.5,,30855.6992188,,0
2061,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,67,Fruit ; à l'Eau de vie,Russie,128,6820.5,,30855.6992188,,0
2062,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,67,Fruit ; à l'Eau de vie,Suede,416,6820.5,,30855.6992188,,0
2063,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,67,Fruit ; sec,Allemagne,541.29999,7435.29980469,,30855.6992188,,0
2064,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,67,Fruit ; sec,Angleterre,4240.2998,7435.29980469,,30855.6992188,,0
2065,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,67,Fruit ; sec,Danemark,27,7435.29980469,,30855.6992188,,0
2066,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,67,Fruit ; sec,Espagne,75,7435.29980469,,30855.6992188,,0
2067,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Fruit ; sec,Flandre,487.14999,7435.29980469,,30855.6992188,,0
2068,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Fruit ; sec,Hollande,300,7435.29980469,,30855.6992188,,0
2069,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Fruit ; sec,Italie,250,7435.29980469,,30855.6992188,,0
2070,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Fruit ; sec,Nord,186,7435.29980469,,30855.6992188,,0
2071,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Fruit ; sec,Savoye,1261.95,7435.29980469,,30855.6992188,,0
2072,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Fruit ; sec,Suisse,66.599998,7435.29980469,,30855.6992188,,0
2073,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Fumier,Espagne,480,,,4666,,0
2074,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Fumier,Flandre,4186,,,4666,,0
2075,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Futailles,Flandre,15,,,453,,0
2076,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Futailles,Guinée,300,,,453,,0
2077,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Futailles,Savoye,138,,,453,,0
2078,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Futaillerie,Allemagne,80,,,1270.5,,0
2079,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Futaillerie,Savoye,500,,,1270.5,,0
2080,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Futaillerie,Suisse,690.5,,,1270.5,,0
2081,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Futaine,Angleterre,200,,,1120,,0
2082,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Futaine,Espagne,816,,,1120,,0
2083,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Futaine,Flandre,104,,,1120,,0
2084,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Gaisnes de couteaux,Guinée,250,,,,,0
2085,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Galanga,Levant,720,,,,,0
2086,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Galipot,Espagne,58,,,,,0
2087,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Galles,Allemagne,5253.6001,,,104610.101562,,0
2088,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Galles,Espagne,13593,,,104610.101562,,0
2089,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Galles,Flandre,900,,,104610.101562,,0
2090,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Galles,Hollande,18241.5,,,104610.101562,,0
2091,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Galles,Isles,182.5,,,104610.101562,,0
2092,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,68,Galles,Italie,2201.5,,,104610.101562,,0
2093,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galles,Nord,39967,,,104610.101562,,0
2094,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galles,Savoye,64,,,104610.101562,,0
2095,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galles,Suisse,24207,,,104610.101562,,0
2096,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galoches,Savoye,792.5,,,,,0
2097,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; d'argt,Allemagne,408,30824,123297.5,123658.5,,0
2098,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; d'argt,Angleterre,288,30824,123297.5,123658.5,,0
2099,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; d'argt,Espagne,27510,30824,123297.5,123658.5,,0
2100,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; d'argt,Flandre,2572.5,30824,123297.5,123658.5,,0
2101,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; d'argt,Hollande,45.5,30824,123297.5,123658.5,,0
2102,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; d'or faux,Allemagne,890,7410,123297.5,123658.5,,0
2103,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; d'or faux,Flandre,120,7410,123297.5,123658.5,,0
2104,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; d'or faux,Portugal,6400,7410,123297.5,123658.5,,0
2105,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; d'or fin,Allemagne,13934,45872.5,123297.5,123658.5,,0
2106,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; d'or fin,Danemark,120,45872.5,123297.5,123658.5,,0
2107,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; d'or fin,Espagne,28607.5,45872.5,123297.5,123658.5,,0
2108,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; d'or fin,Flandre,776,45872.5,123297.5,123658.5,,0
2109,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; d'or fin,Isles,2305,45872.5,123297.5,123658.5,,0
2110,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; d'or fin,Savoye,130,45872.5,123297.5,123658.5,,0
2111,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; or et argt,Allemagne,5160,39191,123297.5,123658.5,,0
2112,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; or et argt,Flandre,1080,39191,123297.5,123658.5,,0
2113,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; or et argt,Hollande,325,39191,123297.5,123658.5,,0
2114,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; or et argt,Isles,32206,39191,123297.5,123658.5,,0
2115,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; dorure ; or et argt,Suisse,420,39191,123297.5,123658.5,,0
2116,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; de fleuret,Flandre,51,,,123658.5,,0
2117,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; de soye,Isles,280,,,123658.5,,0
2118,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Galon ; a peu de soye,Allemagne,30,,,123658.5,,0
2119,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Gans ; de chamois,Espagne,13600,,,312178.8125,,0
2120,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Gans ; communs,Allemagne,86989,145648,,312178.8125,,0
2121,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Gans ; communs,Angleterre,29042,145648,,312178.8125,,0
2122,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Gans ; communs,Danemark,1740,145648,,312178.8125,,0
2123,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Gans ; communs,Espagne,36,145648,,312178.8125,,0
2124,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Gans ; communs,Flandre,3453,145648,,312178.8125,,0
2125,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Gans ; communs,Hollande,600,145648,,312178.8125,,0
2126,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Gans ; communs,Isles,10336,145648,,312178.8125,,0
2127,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Gans ; communs,Italie,1360,145648,,312178.8125,,0
2128,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Gans ; communs,Nord,2940,145648,,312178.8125,,0
2129,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Gans ; communs,Portugal,128,145648,,312178.8125,,0
2130,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Gans ; communs,Savoye,144,145648,,312178.8125,,0
2131,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,69,Gans ; communs,Suede,8880,145648,,312178.8125,,0
2132,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; de fil,Isles,4152,,,312178.8125,,0
2133,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; de Grenoble,Savoye,86124,,,312178.8125,,0
2134,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; de laine,Espagne,3,105,,312178.8125,,0
2135,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; de laine,Flandre,102,105,,312178.8125,,0
2136,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; lizeres de soye,Allemagne,22536,57179.8007812,,312178.8125,,0
2137,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; lizeres de soye,Angleterre,597,57179.8007812,,312178.8125,,0
2138,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; lizeres de soye,Danemark,10.8,57179.8007812,,312178.8125,,0
2139,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; lizeres de soye,Espagne,60,57179.8007812,,312178.8125,,0
2140,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; lizeres de soye,Flandre,1584,57179.8007812,,312178.8125,,0
2141,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; lizeres de soye,Hollande,27000,57179.8007812,,312178.8125,,0
2142,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; lizeres de soye,Isles,640,57179.8007812,,312178.8125,,0
2143,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; lizeres de soye,Nord,972,57179.8007812,,312178.8125,,0
2144,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; lizeres de soye,Suede,3780,57179.8007812,,312178.8125,,0
2145,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; de soye,Espagne,1290,5370,,312178.8125,,0
2146,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; de soye,Isles,1080,5370,,312178.8125,,0
2147,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gans ; de soye,Italie,3000,5370,,312178.8125,,0
2148,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Garance,Allemagne,688.75,,,29619.1503906,,0
2149,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Garance,Flandre,10,,,29619.1503906,,0
2150,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Garance,Italie,14180.4,,,29619.1503906,,0
2151,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Garance,Suisse,14740,,,29619.1503906,,0
2152,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Garas,Guinée,40194,,,80436,,0
2153,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Garas,Hollande,31206,,,80436,,0
2154,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Garas,Nord,9036,,,80436,,0
2155,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gaudron,Espagne,33910,,,37759.3984375,,0
2156,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gaudron,Isles,2254,,,37759.3984375,,0
2157,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gaudron,Italie,1475.4,,,37759.3984375,,0
2158,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gaudron,Levant,120,,,37759.3984375,,0
2159,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gaze ; de fil,Flandre,16,,,43156.5,,0
2160,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gaze ; de soye,Allemagne,2243.75,40917.5,,43156.5,,0
2161,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gaze ; de soye,Angleterre,160,40917.5,,43156.5,,0
2162,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gaze ; de soye,Espagne,2400,40917.5,,43156.5,,0
2163,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gaze ; de soye,Flandre,4593.75,40917.5,,43156.5,,0
2164,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gaze ; de soye,Italie,9500,40917.5,,43156.5,,0
2165,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gaze ; de soye,Nord,720,40917.5,,43156.5,,0
2166,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,70,Gaze ; de soye,Portugal,10750,40917.5,,43156.5,,0
2167,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Gaze ; de soye,Savoye,2000,40917.5,,43156.5,,0
2168,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Gaze ; de soye,Suisse,8550,40917.5,,43156.5,,0
2169,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Gaze ; au quart,Flandre,2223,,,43156.5,,0
2170,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Gerles de terre,Levant,2000,,,,,0
2171,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Geroffle,Angleterre,9488,,,326563,,0
2172,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Geroffle,Espagne,136975,,,326563,,0
2173,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Geroffle,Isles,52,,,326563,,0
2174,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Geroffle,Italie,20368,,,326563,,0
2175,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Geroffle,Levant,153280,,,326563,,0
2176,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Geroffle,Suisse,6400,,,326563,,0
2177,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Gibier,Allemagne,22,,,470,,0
2178,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Gibier,Flandre,249,,,470,,0
2179,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Gibier,Savoye,75,,,470,,0
2180,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Gibier,Suisse,124,,,470,,0
2181,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Gingembre,Angleterre,2177.6001,,,110829.703125,,0
2182,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Gingembre,Danemark,3120,,,110829.703125,,0
2183,Milewski,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,71,Gingembre,Espagne,4282,,,110829.703125,,0
