Numéro de ligne,Data entry by,Source,Year,Exports-Imports,Sheet,Marchandises,Marchandises,Marchandises-1,Marchandises-2,Marchandises-3,Marchandises-4,Pays,Leur Valeur,,Leur valeur recalculée,Leur Valeur (sub-total 1),,Leur Valeur (sub-total 2),Leur Valeur (sub-total 2),,Total,,Remarks
532,Annick Davis,Montbret 849,1752,Imports,117,Chapeaux ; de paille,Chapeaux , de paille,,,,Espagne,36,0,"36,00",2 028,0,,,,45 219,10,
538,Annick Davis,Montbret 849,1752,Imports,118,Charbon ; de bois,Charbon , de bois,,,,Espagne,6,5,"6,25",90 087,14,,,,45 219,10,
548,Annick Davis,Montbret 849,1752,Imports,118,Chataignes,Chataignes,,,,,Espagne,122,0,"122,00",,,,,,7 632,0,
555,Annick Davis,Montbret 849,1752,Imports,118,Chaux,Chaux,,,,,Espagne,27,10,"27,50",,,,,,1 072,0,
561,Annick Davis,Montbret 849,1752,Imports,119,Chevaux,Chevaux,,,,,Espagne,900,0,"900,00",,,,,,22 365,0,
567,Annick Davis,Montbret 849,1752,Imports,119,Cheveux,Cheveux,,,,,Espagne,3 300,0,"3 300,00",,,,,,6 286,5,
577,Annick Davis,Montbret 849,1752,Imports,119,Chocolat,Chocolat,,,,,Espagne,4 954,1,"4 954,05",,,,,,6 286,5,
592,Annick Davis,Montbret 849,1752,Imports,120,Cire ; jaune,Cire , jaune,,,,Espagne,1 800,0,"1 800,00",3 286 902,0,,,,85,0,
600,Annick Davis,Montbret 849,1752,Imports,120,Citrons,Citrons,,,,,Espagne,3 101,14,"3 101,70",,,,,,6 422,1,
610,Annick Davis,Montbret 849,1752,Imports,121,Clous ; de fer,Clous , de fer,,,,Espagne,13 405,0,"13 405,00",,,,,,6 422,1,
618,Annick Davis,Montbret 849,1752,Imports,121,Cochenille,Cochenille,,,,,Espagne,1 973 170,0,"1 973 170,00",,,,,,9 000,0,
642,Annick Davis,Montbret 849,1752,Imports,122,Confitures,Confitures,,,,,Espagne,730,0,"730,00",,,,,,135,0,
653,Annick Davis,Montbret 849,1752,Imports,122,Corail ; brut,Corail , brut,,,,Espagne,15 996,0,"15 996,00",36 194,0,,,,3 500,0,
658,Annick Davis,Montbret 849,1752,Imports,122,Corail ; en grabeau,Corail , en grabeau,,,,Espagne,759,0,"759,00",,,,,,123,0,
661,Annick Davis,Montbret 849,1752,Imports,123,Cordage ; d'auf,Cordage , d'auf,,,,Espagne,1 977,1,"1 977,05",,,,,,936,18,
664,Annick Davis,Montbret 849,1752,Imports,123,Cordage ; de chanvre,Cordage , de chanvre,,,,Espagne,14 520,0,"14 520,00",114 988,1,,,,936,18,
669,Annick Davis,Montbret 849,1752,Imports,123,Cordage ; d'Espars,Cordage , d'Espars,,,,Espagne,26 229,0,"26 229,00",,,,,,936,18,
673,Annick Davis,Montbret 849,1752,Imports,123,Cordeillard,Cordeillard,,,,,Espagne,,,"936,90",,,,,,936,18,
684,Annick Davis,Montbret 849,1752,Imports,123,Cornes ; de mouton,Cornes , de mouton,,,,Espagne,8 400,8,"8 400,40",12 302,3,,,,1 620,0,
700,Annick Davis,Montbret 849,1752,Imports,124,Coton ; en laine,Coton , en laine,,,,Espagne,3 150,0,"3 150,00",2 859 362,7,,,,11 760,0,
706,Annick Davis,Montbret 849,1752,Imports,124,Couffes ; à boullanger,Couffes , à boullanger,,,,Espagne,4 050,0,"4 050,00",,,,,,11 760,0,
711,Annick Davis,Montbret 849,1752,Imports,124,Couperose,Couperose,,,,,Espagne,10 663,19,"10 663,95",,,,,,224,4,
726,Annick Davis,Montbret 849,1752,Imports,125,Couvertures ; de fil et coton,Couvertures , de fil et coton,,,,Espagne,3 500,0,"3 500,00",17 160,0,,,,224,4,
729,Annick Davis,Montbret 849,1752,Imports,125,Couvertures ; de laine,Couvertures , de laine,,,,Espagne,360,0,"360,00",1 524,0,,,,3 229,10,
733,Annick Davis,Montbret 849,1752,Imports,125,Crasse ; de cire,Crasse , de cire,,,,Espagne,,,"894,00",,,,,,894,0,
739,Annick Davis,Montbret 849,1752,Imports,126,Creusets,Creusets,,,,,Espagne,4,15,"4,75",,,,,,22 838,17,
761,Annick Davis,Montbret 849,1752,Imports,127,Cuirs ; de beuf ; en poil,Cuirs , de beuf , en poil,,,Espagne,26,0,"26,00",3 019 026,5,3 445 080,15,,22 838,17,
772,Annick Davis,Montbret 849,1752,Imports,127,Cuirs ; de beuf ; tannés,Cuirs , de beuf , tannés,,,Espagne,386 180,0,"386 180,00",426 019,10,3 445 080,15,,36,0,
784,Annick Davis,Montbret 849,1752,Imports,127,Cuirs ; de vache ; en poil,Cuirs , de vache , en poil,,,Espagne,1 020,0,"1 020,00",13 556,0,15 068,0,,21 460,0,
852,Annick Davis,Montbret 849,1752,Imports,130,Dentelle ; de fil ; commune,Dentelle , de fil , commune,,,Espagne,161,5,"161,25",,,,,,580,0,
870,Annick Davis,Montbret 849,1752,Imports,134,Drogueries,Drogueries,,,,,Espagne,6 040,0,"6 040,00",,,,,,580,0,
883,Annick Davis,Montbret 849,1752,Imports,134,Eau ; medecinalle ; de fleur d'oranger,Eau , medecinalle , de fleur d'oranger,,,Espagne,15,0,"15,00",10 634,18,12 014,10,,256 404,7,
893,Annick Davis,Montbret 849,1752,Imports,135,Eau ; de vie,Eau , de vie,,,,Espagne,102 524,12,"102 524,60",,,,,,256 404,7,
903,Annick Davis,Montbret 849,1752,Imports,136,Ecorce ; de citron,Ecorce , de citron,,,,Espagne,12,0,"12,00",3 832,2,,,,256 404,7,
929,Annick Davis,Montbret 849,1752,Imports,137,Escayolle,Escayolle,,,,,Espagne,29 235,0,"29 235,00",,,,,,256 404,7,
935,Annick Davis,Montbret 849,1752,Imports,137,Espars,Espars,,,,,Espagne,27 645,0,"27 645,00",,,,,,256 404,7,
964,Annick Davis,Montbret 849,1752,Imports,138,Etamine ; de laine,Etamine , de laine,,,,Espagne,128,0,"128,00",,,,,,256 404,7,
966,Annick Davis,Montbret 849,1752,Imports,139,Etoffe ; de soye,Etoffe , de soye,,,,Espagne,26 800,0,"26 800,00",706 934,0,4 741 734,0,,256 404,7,
972,Annick Davis,Montbret 849,1752,Imports,139,Etoffe ; velours,Etoffe , velours,,,,Espagne,8 000,0,"8 000,00",4 034 800,0,4 741 734,0,,256 404,7,
982,Annick Davis,Montbret 849,1752,Imports,141,Eventails ; de palmes,Eventails , de palmes,,,,Espagne,19,4,"19,20",,,,,,256 404,7,
999,Annick Davis,Montbret 849,1752,Imports,142,Fayance,Fayance,,,,,Espagne,250,0,"250,00",,,,,,256 404,7,
1 007,Annick Davis,Montbret 849,1752,Imports,142,Fer ; en barres,Fer , en barres,,,,Espagne,603 729,16,"603 729,80",1 741 691,17,,,,256 404,7,
1 024,Annick Davis,Montbret 849,1752,Imports,142,Fer ; en cercles,Fer , en cercles,,,,Espagne,621,0,"621,00",48 308,18,,,,256 404,7,
1 034,Annick Davis,Montbret 849,1752,Imports,142,Fer ; en grapins,Fer , en grapins,,,,Espagne,596,5,"596,25",,,,,,256 404,7,
1 042,Annick Davis,Montbret 849,1752,Imports,143,Fer ; ouvré,Fer , ouvré,,,,Espagne,318,0,"318,00",18 276,7,,,,256 404,7,
1 049,Annick Davis,Montbret 849,1752,Imports,143,Fer ; en plançons,Fer , en plançons,,,,Espagne,2 148,15,"2 148,75",,,,,,256 404,7,
1 064,Annick Davis,Montbret 849,1752,Imports,143,Fer ; en verges,Fer , en verges,,,,Espagne,350,0,"350,00",,,,,,256 404,7,
1 066,Annick Davis,Montbret 849,1752,Imports,143,Fer ; vieux,Fer , vieux,,,,Espagne,142,10,"142,50",276,14,,,,256 404,7,
1 073,Annick Davis,Montbret 849,1752,Imports,144,Fèves,Fèves,,,,,Espagne,240,0,"240,00",,,,,,256 404,7,
1 083,Annick Davis,Montbret 849,1752,Imports,144,Figues,Figues,,,,,Espagne,26 982,5,"26 982,25",,,,,,16 902,15,
1 099,Annick Davis,Montbret 849,1752,Imports,145,Fil ; à coudre ; à voile,Fil , à coudre , à voile,,,Espagne,24,0,"24,00",2 651,10,372 403,18,,16 902,15,
1 105,Annick Davis,Montbret 849,1752,Imports,145,Fil ; de chèvre,Fil , de chèvre,,,,Espagne,135,0,"135,00",492 387,0,,,,16 902,15,
1 138,Annick Davis,Montbret 849,1752,Imports,146,Filets ; d'Espars,Filets , d'Espars,,,,Espagne,320 160,0,"320 160,00",,,,,,16 902,15,
1 155,Annick Davis,Montbret 849,1752,Imports,147,Foin,Foin,,,,,Espagne,24,0,"24,00",,,,,,195 958,19,
1 160,Annick Davis,Montbret 849,1752,Imports,147,Fondette ; de corail,Fondette , de corail,,,,Espagne,,,"195 958,95",,,,,,195 958,19,
1 172,Annick Davis,Montbret 849,1752,Imports,148,Fromage ; commun,Fromage , commun,,,,Espagne,4 046,5,"4 046,25",232 671,8,,,,195 958,19,
1 190,Annick Davis,Montbret 849,1752,Imports,148,Fruit ; sec,Fruit , sec,,,,Espagne,866,8,"866,40",881,1,,,,5 628,10,
1 193,Annick Davis,Montbret 849,1752,Imports,149,Fusils,Fusils,,,,,Espagne,150,0,"150,00",,,,,,5 628,10,
1 205,Annick Davis,Montbret 849,1752,Imports,149,Galles,Galles,,,,,Espagne,4,10,"4,50",,,,,,5 628,10,
1 226,Annick Davis,Montbret 849,1752,Imports,151,Gaudron,Gaudron,,,,,Espagne,29 429,6,"29 429,30",,,,,,5 628,10,
1 233,Annick Davis,Montbret 849,1752,Imports,151,Gaze ; de soye,Gaze , de soye,,,,Espagne,85,0,"85,00",,,,,,5 628,10,
1 236,Annick Davis,Montbret 849,1752,Imports,152,Gibier ; becasses,Gibier , becasses,,,,Espagne,18,0,"18,00",,,,,,5 628,10,
1 237,Annick Davis,Montbret 849,1752,Imports,152,Gibier ; becassines,Gibier , becassines,,,,Espagne,48,0,"48,00",,,,,,5 628,10,
1 240,Annick Davis,Montbret 849,1752,Imports,152,Gibier ; lapins,Gibier , lapins,,,,Espagne,3,15,"3,75",,,,,,5 628,10,
1 241,Annick Davis,Montbret 849,1752,Imports,152,Gibier ; perdrix,Gibier , perdrix,,,,Espagne,2,0,"2,00",,,,,,5 628,10,
1 242,Annick Davis,Montbret 849,1752,Imports,152,Gibier ; pluviers,Gibier , pluviers,,,,Espagne,10,0,"10,00",,,,,,2 389,0,
1 243,Annick Davis,Montbret 849,1752,Imports,152,Gibier ; sarcelles,Gibier , sarcelles,,,,Espagne,3,10,"3,50",,,,,,2 389,0,
1 247,Annick Davis,Montbret 849,1752,Imports,152,Gomme ; d'amandier,Gomme , d'amandier,,,,Espagne,2 306,5,"2 306,25",,,,,,2 389,0,
1 248,Annick Davis,Montbret 849,1752,Imports,152,Gomme ; arabique,Gomme , arabique,,,,Espagne,11 200,0,"11 200,00",62 097,0,,,,302,0,
1 258,Annick Davis,Montbret 849,1752,Imports,152,Gomme ; clemy,Gomme , clemy,,,,Espagne,1 310,0,"1 310,00",1 935,0,,,,302,0,
1 279,Annick Davis,Montbret 849,1752,Imports,153,Graine ; de choux,Graine , de choux,,,,Espagne,360,0,"360,00",1 001,18,,,,151 644,1,
1 283,Annick Davis,Montbret 849,1752,Imports,154,Graine ; de Jardin,Graine , de Jardin,,,,Espagne,24,12,"24,60",679,8,,,,151 644,1,
1 287,Annick Davis,Montbret 849,1752,Imports,154,Graine ; Jaune,Graine , Jaune,,,,Espagne,230,0,"230,00",,,,,,151 644,1,
1 293,Annick Davis,Montbret 849,1752,Imports,154,Graine ; de millet,Graine , de millet,,,,Espagne,1 651,0,"1 651,00",,,,,,151 644,1,
1 297,Annick Davis,Montbret 849,1752,Imports,154,Graine ; de navette,Graine , de navette,,,,Espagne,37,10,"37,50",103,2,,,,151 644,1,
1 303,Annick Davis,Montbret 849,1752,Imports,154,Graine ; de vers à soïe,Graine , de vers à soïe,,,,Espagne,840,0,"840,00",,,,,,151 644,1,
1 348,Annick Davis,Montbret 849,1752,Imports,156,Huile ; de graine,Huile , de graine,,,,Espagne,1 369,10,"1 369,50",26 547,9,,,,2 326 561,19,
1 360,Annick Davis,Montbret 849,1752,Imports,157,Huile ; d'Olive,Huile , d'Olive,,,,Espagne,890 949,4,"890 949,20",4 743 893,3,,,,2 326 561,19,
1 367,Annick Davis,Montbret 849,1752,Imports,157,Huile ; de poisson,Huile , de poisson,,,,Espagne,86 786,5,"86 786,25",416 306,10,,,,2 326 561,19,
1 384,Annick Davis,Montbret 849,1752,Imports,158,Jalap,Jalap,,,,,Espagne,60 200,0,"60 200,00",,,,,,2 326 561,19,
1 390,Annick Davis,Montbret 849,1752,Imports,158,Jambons,Jambons,,,,,Espagne,4 534,0,"4 534,00",,,,,,2 326 561,19,
1 405,Annick Davis,Montbret 849,1752,Imports,159,Indigo,Indigo,,,,,Espagne,378 476,10,"378 476,50",,,,,,2 326 561,19,
1 416,Annick Davis,Montbret 849,1752,Imports,159,Iongs,Iongs,,,,,Espagne,17,10,"17,50",,,,,,2 326 561,19,
1 434,Annick Davis,Montbret 849,1752,Imports,160,Laine ; d'agnelin,Laine , d'agnelin,,,,Espagne,8 137,10,"8 137,50",36 097,10,,,,2 326 561,19,
1 446,Annick Davis,Montbret 849,1752,Imports,160,Laine ; de Chevron,Laine , de Chevron,,,,Espagne,1 200,0,"1 200,00",494 418,0,,,,2 326 561,19,
1 449,Annick Davis,Montbret 849,1752,Imports,161,Laine ; commune,Laine , commune,,,,Espagne,3,15,"3,75",266 690,2,,,,2 326 561,19,
1 455,Annick Davis,Montbret 849,1752,Imports,161,Laine ; d'Espagne,Laine , d'Espagne,,,,Espagne,8 808 864,17,"8 808 864,85",,,,,,2 326 561,19,
1 462,Annick Davis,Montbret 849,1752,Imports,161,Laine ; grosse,Laine , grosse,,,,Espagne,7 510,0,"7 510,00",,,,,,3 828,0,
1 464,Annick Davis,Montbret 849,1752,Imports,161,Laine ; lavée,Laine , lavée,,,,Espagne,102 979,16,"102 979,80",881 948,11,,,,3 828,0,
1 479,Annick Davis,Montbret 849,1752,Imports,161,Laine ; de Segovie,Laine , de Segovie,,,,Espagne,234 672,0,"234 672,00",355 798,5,,,,3 828,0,
1 483,Annick Davis,Montbret 849,1752,Imports,161,Laine ; Surge,Laine , Surge,,,,Espagne,317 227,10,"317 227,50",3 319 443,10,,,,3 828,0,
1 488,Annick Davis,Montbret 849,1752,Imports,161,Laine ; de Vigogne,Laine , de Vigogne,,,,Espagne,177 655,0,"177 655,00",,,,,,3 828,0,
1 501,Annick Davis,Montbret 849,1752,Imports,162,Légumes,Légumes,,,,,Espagne,1 275,0,"1 275,00",,,,,,635,0,
1 513,Annick Davis,Montbret 849,1752,Imports,163,Librairie,Librairie,,,,,Espagne,712,0,"712,00",,,,,,1 873 442,6,
1 521,Annick Davis,Montbret 849,1752,Imports,163,Liêge,Liêge,,,,,Espagne,66 607,0,"66 607,00",,,,,,1 873 442,6,
1 534,Annick Davis,Montbret 849,1752,Imports,164,Lin ; crü,Lin , crü,,,,Espagne,787,10,"787,50",141 016,19,,,,1 873 442,6,
1 546,Annick Davis,Montbret 849,1752,Imports,164,Linge ; vieux,Linge , vieux,,,,Espagne,6,10,"6,50",,,,,,1 873 442,6,
1 550,Annick Davis,Montbret 849,1752,Imports,164,Liqueurs,Liqueurs,,,,,Espagne,38,10,"38,50",,,,,,1 873 442,6,
1 575,Annick Davis,Montbret 849,1752,Imports,165,Mâne,Mâne,,,,,Espagne,90,0,"90,00",,,,,,1 873 442,6,
1 583,Annick Davis,Montbret 849,1752,Imports,165,Marbre ; brut,Marbre , brut,,,,Espagne,120,0,"120,00",39 342,13,,,,1 873 442,6,
1 589,Annick Davis,Montbret 849,1752,Imports,166,Marbre ; ouvré ; divers,Marbre , ouvré , divers,,,Espagne,3 600,0,"3 600,00",26 220,10,27 330,10,,1 873 442,6,
1 596,Annick Davis,Montbret 849,1752,Imports,166,Marchandises ; meslées,Marchandises , meslées,,,,Espagne,58 625,8,"58 625,40",,,,,,1 873 442,6,
1 628,Annick Davis,Montbret 849,1752,Imports,167,Mercerie,Mercerie,,,,,Espagne,1 750,0,"1 750,00",,,,,,1 873 442,6,
1 643,Annick Davis,Montbret 849,1752,Imports,167,Meules ; à éguiser,Meules , à éguiser,,,,Espagne,1 432,4,"1 432,20",27 682,4,,,,32 294,0,
1 645,Annick Davis,Montbret 849,1752,Imports,167,Meules ; à favre,Meules , à favre,,,,Espagne,334,0,"334,00",,,,,,25 935,7,
1 646,Annick Davis,Montbret 849,1752,Imports,168,Miel,Miel,,,,,Espagne,,,"25 935,35",,,,,,25 935,7,
1 648,Annick Davis,Montbret 849,1752,Imports,168,Mine ; de fer,Mine , de fer,,,,Espagne,1 650,0,"1 650,00",,,,,,25 935,7,
1 658,Annick Davis,Montbret 849,1752,Imports,169,Morue ; Sêche,Morue , Sêche,,,,Espagne,2 331,0,"2 331,00",3 323 211,0,,,,25 935,7,
1 668,Annick Davis,Montbret 849,1752,Imports,169,Mouchoirs ; de fil et coton,Mouchoirs , de fil et coton,,,,Espagne,350,0,"350,00",,,,,,25 935,7,
1 669,Annick Davis,Montbret 849,1752,Imports,169,Mouchoirs ; de gaze,Mouchoirs , de gaze,,,,Espagne,45,0,"45,00",,,,,,506,0,
1 673,Annick Davis,Montbret 849,1752,Imports,170,Mouchoirs ; de soye,Mouchoirs , de soye,,,,Espagne,68 488,0,"68 488,00",78 260,0,,,,1 882,10,
1 681,Annick Davis,Montbret 849,1752,Imports,170,Mousserons,Mousserons,,,,,Espagne,190,0,"190,00",,,,,,1 882,10,
1 687,Annick Davis,Montbret 849,1752,Imports,170,Mulets,Mulets,,,,,Espagne,5 000,0,"5 000,00",,,,,,1 882,10,
1 696,Annick Davis,Montbret 849,1752,Imports,171,Nattes,Nattes,,,,,Espagne,51,7,"51,35",,,,,,679,0,
1 712,Annick Davis,Montbret 849,1752,Imports,171,Noisettes,Noisettes,,,,,Espagne,10 291,10,"10 291,50",,,,,,679,0,
1 723,Annick Davis,Montbret 849,1752,Imports,172,Olives,Olives,,,,,Espagne,5 682,15,"5 682,75",,,,,,580 650,0,
1 729,Annick Davis,Montbret 849,1752,Imports,173,Oranges,Oranges,,,,,Espagne,2 355,16,"2 355,80",,,,,,580 650,0,
1 753,Annick Davis,Montbret 849,1752,Imports,173,Outils,Outils,,,,,Espagne,288,0,"288,00",,,,,,580 650,0,
1 764,Annick Davis,Montbret 849,1752,Imports,174,Palangre,Palangre,,,,,Espagne,,,"580 650,00",,,,,,580 650,0,
1 793,Annick Davis,Montbret 849,1752,Imports,176,Pastilles,Pastilles,,,,,Espagne,25,0,"25,00",,,,,,580 650,0,
1 795,Annick Davis,Montbret 849,1752,Imports,176,Patates,Patates,,,,,Espagne,,,"580 650,00",,,,,,580 650,0,
1 797,Annick Davis,Montbret 849,1752,Imports,176,Peaux ; d'agneaux,Peaux , d'agneaux,,,,Espagne,12 775,0,"12 775,00",14 395,0,,,,580 650,0,
1 805,Annick Davis,Montbret 849,1752,Imports,176,Peaux ; de chamois,Peaux , de chamois,,,,Espagne,805,10,"805,50",7 740,5,,,,8 110,0,
1 808,Annick Davis,Montbret 849,1752,Imports,176,Peaux ; de chevre ; passée,Peaux , de chevre , passée,,,Espagne,108,18,"108,90",5 239,4,27 596,15,,8 110,0,
1 812,Annick Davis,Montbret 849,1752,Imports,176,Peaux ; de chevre ; en poil,Peaux , de chevre , en poil,,,Espagne,586,0,"586,00",22 357,11,27 596,15,,8 110,0,
1 819,Annick Davis,Montbret 849,1752,Imports,177,Peaux ; de chien de mer,Peaux , de chien de mer,,,,Espagne,1 950,0,"1 950,00",2 203,0,,,,8 110,0,
1 832,Annick Davis,Montbret 849,1752,Imports,177,Peaux ; de lapin,Peaux , de lapin,,,,Espagne,1 748,10,"1 748,50",11 511,10,,,,668,1,
1 837,Annick Davis,Montbret 849,1752,Imports,177,Peaux ; de liévre,Peaux , de liévre,,,,Espagne,1 307,18,"1 307,90",15 389,12,,,,668,1,
1 849,Annick Davis,Montbret 849,1752,Imports,178,Peaux ; de maroquin,Peaux , de maroquin,,,,Espagne,2 337,18,"2 337,90",9 322,18,,,,668,1,
1 857,Annick Davis,Montbret 849,1752,Imports,178,Peaux ; de mouton ; en laine,Peaux , de mouton , en laine,,,Espagne,3 196,16,"3 196,80",13 912,16,14 783,0,,2 646,0,
1 860,Annick Davis,Montbret 849,1752,Imports,178,Peaux ; de mouton ; passées,Peaux , de mouton , passées,,,Espagne,49,4,"49,20",870,4,14 783,0,,2 646,0,
1 870,Annick Davis,Montbret 849,1752,Imports,178,Peaux ; de renard,Peaux , de renard,,,,Espagne,343,5,"343,25",1 094,5,,,,1 800,0,
1 872,Annick Davis,Montbret 849,1752,Imports,178,Peaux ; Sauvagines,Peaux , Sauvagines,,,,Espagne,119,0,"119,00",,,,,,13 375,0,
1 873,Annick Davis,Montbret 849,1752,Imports,179,Peaux ; de tigres,Peaux , de tigres,,,,Espagne,715,0,"715,00",1 397,0,,,,13 375,0,
1 881,Annick Davis,Montbret 849,1752,Imports,179,Peaux ; de veau ; en poil,Peaux , de veau , en poil,,,Espagne,26 577,0,"26 577,00",86 915,10,87 902,10,,13 375,0,
1 916,Annick Davis,Montbret 849,1752,Imports,180,Perruques,Perruques,,,,,Espagne,,,"13 375,00",,,,,,13 375,0,
1 918,Annick Davis,Montbret 849,1752,Imports,181,Piastres,Piastres,,,,,Espagne,,,"13 375,00",,,,,,13 375,0,
1 929,Annick Davis,Montbret 849,1752,Imports,181,Pierre ; à filtrer l'eau,Pierre , à filtrer l'eau,,,,Espagne,96,0,"96,00",,,,,,13 375,0,
1 940,Annick Davis,Montbret 849,1752,Imports,181,Pignons ; cassés,Pignons , cassés,,,,Espagne,5 243,12,"5 243,60",,,,,,13 375,0,
1 941,Annick Davis,Montbret 849,1752,Imports,181,Pignons ; d'Epine,Pignons , d'Epine,,,,Espagne,200,0,"200,00",236,8,,,,14 989,0,
1 947,Annick Davis,Montbret 849,1752,Imports,182,Pipes ; à fumer,Pipes , à fumer,,,,Espagne,1 200,0,"1 200,00",,,,,,3 297 693,6,
1 953,Annick Davis,Montbret 849,1752,Imports,182,Pistolets,Pistolets,,,,,Espagne,,,"3 297 693,30",,,,,,3 297 693,6,
1 964,Annick Davis,Montbret 849,1752,Imports,182,Planches ; de Sapin,Planches , de Sapin,,,,Espagne,3 060,0,"3 060,00",961 993,6,,,,3 297 693,6,
2 010,Annick Davis,Montbret 849,1752,Imports,184,Poil ; de lapin,Poil , de lapin,,,,Espagne,18 660,0,"18 660,00",40 636,0,,,,3 297 693,6,
2 016,Annick Davis,Montbret 849,1752,Imports,184,Pois ; verds,Pois , verds,,,,Espagne,105,0,"105,00",,,,,,3 297 693,6,
2 021,Annick Davis,Montbret 849,1752,Imports,184,Poisson ; salé,Poisson , salé,,,,Espagne,73 470,0,"73 470,00",93 685,10,,,,3 297 693,6,
2 026,Annick Davis,Montbret 849,1752,Imports,184,Poivre ; blanc,Poivre , blanc,,,,Espagne,53 663,10,"53 663,50",63 123,15,,,,3 297 693,6,
2 036,Annick Davis,Montbret 849,1752,Imports,184,Poix ; noire,Poix , noire,,,,Espagne,1 549,0,"1 549,00",1 689,0,,,,3 297 693,6,
2 053,Annick Davis,Montbret 849,1752,Imports,185,Porcelaine ; ordinaire,Porcelaine , ordinaire,,,,Espagne,4 500,0,"4 500,00",73 432,10,,,,3 297 693,6,
2 069,Annick Davis,Montbret 849,1752,Imports,186,Potterie ; de terre ; diverses,Potterie , de terre , diverses,,,Espagne,1 879,4,"1 879,20",3 829,6,200 812,11,,3 297 693,6,
2 076,Annick Davis,Montbret 849,1752,Imports,186,Poudre ; de gouaxaca,Poudre , de gouaxaca,,,,Espagne,140,0,"140,00",,,,,,3 297 693,6,
2 087,Annick Davis,Montbret 849,1752,Imports,187,Pruneaux,Pruneaux,,,,,Espagne,6,6,"6,30",,,,,,3 297 693,6,
2 105,Annick Davis,Montbret 849,1752,Imports,187,Quincaille ; de fer et acier,Quincaille , de fer et acier,,,,Espagne,33,0,"33,00",67 902,10,,,,3 297 693,6,
2 109,Annick Davis,Montbret 849,1752,Imports,187,Quinquina,Quinquina,,,,,Espagne,30 421,0,"30 421,00",,,,,,3 297 693,6,
2 116,Annick Davis,Montbret 849,1752,Imports,188,Raisin ; Sec,Raisin , Sec,,,,Espagne,32 377,7,"32 377,35",,,,,,3 297 693,6,
2 131,Annick Davis,Montbret 849,1752,Imports,188,Razoirs,Razoirs,,,,,Espagne,,,"3 297 693,30",,,,,,3 297 693,6,
2 133,Annick Davis,Montbret 849,1752,Imports,188,Réglisse,Réglisse,,,,,Espagne,60 884,10,"60 884,50",,,,,,66 996,10,
2 137,Annick Davis,Montbret 849,1752,Imports,189,Rhubarde,Rhubarde,,,,,Espagne,8 130,0,"8 130,00",,,,,,66 996,10,
2 143,Annick Davis,Montbret 849,1752,Imports,189,Ris,Ris,,,,,Espagne,2 423,14,"2 423,70",,,,,,66 996,10,
2 162,Annick Davis,Montbret 849,1752,Imports,190,Roudon,Roudon,,,,,Espagne,,,"66 996,50",,,,,,66 996,10,
2 165,Annick Davis,Montbret 849,1752,Imports,190,Rozeaux,Rozeaux,,,,,Espagne,240,16,"240,80",,,,,,66 996,10,
2 178,Annick Davis,Montbret 849,1752,Imports,191,Rusque ; de pin,Rusque , de pin,,,,Espagne,,,"2 960,00",,,,,,2 960,0,
2 182,Annick Davis,Montbret 849,1752,Imports,191,Sacs,Sacs,,,,,Espagne,112,10,"112,50",,,,,,2 960,0,
2 185,Annick Davis,Montbret 849,1752,Imports,191,Saffran,Saffran,,,,,Espagne,,,"248 723,20",,,,,,248 723,4,
2 186,Annick Davis,Montbret 849,1752,Imports,191,Saffranon,Saffranon,,,,,Espagne,3 363,15,"3 363,75",,,,,,248 723,4,
2 190,Annick Davis,Montbret 849,1752,Imports,191,Salicor,Salicor,,,,,Espagne,,,"248 723,20",,,,,,248 723,4,
2 191,Annick Davis,Montbret 849,1752,Imports,192,Salsepareille,Salsepareille,,,,,Espagne,14 325,0,"14 325,00",,,,,,248 723,4,
2 205,Annick Davis,Montbret 849,1752,Imports,192,Sardines ; salés,Sardines , salés,,,,Espagne,,,"248 723,20",,,,,,248 723,4,
2 207,Annick Davis,Montbret 849,1752,Imports,192,Saucissons,Saucissons,,,,,Espagne,202,10,"202,50",,,,,,248 723,4,
2 220,Annick Davis,Montbret 849,1752,Imports,192,Saumure,Saumure,,,,,Espagne,975,0,"975,00",,,,,,248 723,4,
2 223,Annick Davis,Montbret 849,1752,Imports,193,Savon ; marbré,Savon , marbré,,,,Espagne,3 144,0,"3 144,00",20 061,4,,,,248 723,4,
2 230,Annick Davis,Montbret 849,1752,Imports,193,Scies,Scies,,,,,Espagne,70,10,"70,50",,,,,,248 723,4,
2 236,Annick Davis,Montbret 849,1752,Imports,193,Sel,Sel,,,,,Espagne,,,"248 723,20",,,,,,248 723,4,
2 267,Annick Davis,Montbret 849,1752,Imports,196,Soude,Soude,,,,,Espagne,1 391 629,9,"1 391 629,45",,,,,,248 723,4,
2 278,Annick Davis,Montbret 849,1752,Imports,197,Soye ; crüe,Soye , crüe,,,,Espagne,3 448 824,0,"3 448 824,00",19 907 838,0,,,,2 011 162,0,
2 288,Annick Davis,Montbret 849,1752,Imports,197,Spardilles,Spardilles,,,,,Espagne,,,"2 011 162,00",,,,,,2 011 162,0,
2 313,Annick Davis,Montbret 849,1752,Imports,199,Suif,Suif,,,,,Espagne,869,15,"869,75",,,,,,2 011 162,0,
2 328,Annick Davis,Montbret 849,1752,Imports,199,Tabac ; en feüilles,Tabac , en feüilles,,,,Espagne,4,10,"4,50",3 488 208,15,,,,2 011 162,0,
