Numéro de ligne,Data entry by,Source,Year,Export-Import,Sheet,Marchandises,,,,,Pays,,Quantité,Leur valeur,,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),,Total,Remarks,Leur valeur,Deniers,Leur Valeur (sub-total 1),Deniers,Leur Valeur (sub-total 2),deniers,Total,Deniers
688,Fatima zahra,Montbret 155-689,1759,Imports,30,Clous ; de fer,,,,,Flandre,,,17 775,,165 334,0,,165 334,,17 775,,165 333,10,,,165 333,10
689,Fatima zahra,Montbret 155-690,1759,Imports,30,Clous ; de fer,,,,,Hollande,,,48 213,,165 334,0,,165 334,,48 212,10,165 333,10,,,165 333,10
690,Fatima zahra,Montbret 155-691,1759,Imports,30,Clous ; de fer,,,,,Naples,,,162,,165 334,0,,165 334,,162,,165 333,10,,,165 333,10
691,Fatima zahra,Montbret 155-692,1759,Imports,30,Clous ; de fer,,,,,Portugal,,,480,,165 334,0,,165 334,,480,,165 333,10,,,165 333,10
692,Fatima zahra,Montbret 155-693,1759,Imports,30,Clous ; de fer,,,,,Savoye,,,106,,165 334,0,,165 334,,105,16,165 333,10,,,165 333,10
693,Fatima zahra,Montbret 155-694,1759,Imports,30,Clous ; de fer,,,,,Suede,,,5 952,,165 334,0,,165 334,,5 952,,165 333,10,,,165 333,10
694,Fatima zahra,Montbret 155-695,1759,Imports,30,Cochenille,,,,,Espagne,,,1 437 906,,0,0,,1 508 256,,1 437 906,,,,,,1 508 256,
695,Fatima zahra,Montbret 155-696,1759,Imports,30,Cochenille,,,,,Flandre,,,21 660,,0,0,,1 508 256,,21 660,,,,,,1 508 256,
696,Fatima zahra,Montbret 155-697,1759,Imports,30,Cochenille,,,,,Hollande,,,36 840,,0,0,,1 508 256,,36 840,,,,,,1 508 256,
697,Fatima zahra,Montbret 155-698,1759,Imports,30,Cochenille,,,,,Genes,,,4 800,,0,0,,1 508 256,,4 800,,,,,,1 508 256,
698,Fatima zahra,Montbret 155-699,1759,Imports,30,Cochenille,,,,,Savoye,,,7 050,,0,0,,1 508 256,,7 050,,,,,,1 508 256,
699,Fatima zahra,Montbret 155-700,1759,Imports,31,Cacao,,,,,Hollande,,,22,,0,0,,37,,22,,,,,,37,
700,Fatima zahra,Montbret 155-701,1759,Imports,31,Cacao,,,,,Portugal,,,15,,0,0,,37,,15,,,,,,37,
701,Fatima zahra,Montbret 155-702,1759,Imports,31,Cocons de soye ,,,,,Italie,,,5 838,,0,0,,96 235,,5 838,,,,,,96 235,
702,Fatima zahra,Montbret 155-703,1759,Imports,31,Cocons de soye ,,,,,Savoye,,,90 397,,0,0,,96 235,,90 397,,,,,,96 235,
703,Fatima zahra,Montbret 155-704,1759,Imports,31,Coeffes de chapeaux,,,,,Flandre,,,288,,0,0,,0,,288,,,,,,,
704,Fatima zahra,Montbret 155-705,1759,Imports,31,Coffres ; de bois,,,,,Flandre,,,84,,129,0,,129,,84,,129,,,,129,
705,Fatima zahra,Montbret 155-706,1759,Imports,31,Coffres ; de bois,,,,,Hollande,,,45,,129,0,,129,,45,,129,,,,129,
706,Fatima zahra,Montbret 155-707,1759,Imports,31,Colle ; commune,,,,,Hollande,,,20 660,,21 674,0,,182 903,,20 659,16,21 673,16,,,182 902,11
707,Fatima zahra,Montbret 155-708,1759,Imports,31,Colle ; commune,,,,,Savoye,,,1 014,,21 674,0,,182 903,,1 014,,21 673,16,,,182 902,11
708,Fatima zahra,Montbret 155-709,1759,Imports,31,Colle ; des Flandres,,,,,Hollande,,,17 629,,0,0,,182 903,,17 628,15,,,,,182 902,11
709,Fatima zahra,Montbret 155-710,1759,Imports,31,Colle ; forte,,,,,Flandre,,,767,,91 792,0,,182 903,,766,10,91 792,,,,182 902,11
710,Fatima zahra,Montbret 155-711,1759,Imports,31,Colle ; forte,,,,,Geneve,,,194,,91 792,0,,182 903,,194,,91 792,,,,182 902,11
711,Fatima zahra,Montbret 155-712,1759,Imports,31,Colle ; forte,,,,,Hollande,,,88 730,,91 792,0,,182 903,,88 729,15,91 792,,,,182 902,11
712,Fatima zahra,Montbret 155-713,1759,Imports,31,Colle ; forte,,,,,Nord,,,1 728,,91 792,0,,182 903,,1 728,,91 792,,,,182 902,11
713,Fatima zahra,Montbret 155-714,1759,Imports,31,Colle ; forte,,,,,Savoye,,,140,,91 792,0,,182 903,,140,,91 792,,,,182 902,11
714,Fatima zahra,Montbret 155-715,1759,Imports,31,Colle ; forte,,,,,Suisse,,,234,,91 792,0,,182 903,,233,15,91 792,,,,182 902,11
715,Fatima zahra,Montbret 155-716,1759,Imports,31,Colle ; de poisson,,,,,Flandre,,,4 330,,51 808,0,,182 903,,4 330,,51 808,,,,182 902,11
716,Fatima zahra,Montbret 155-717,1759,Imports,31,Colle ; de poisson,,,,,Hollande,,,44 932,,51 808,0,,182 903,,44 931,10,51 808,,,,182 902,11
717,Fatima zahra,Montbret 155-718,1759,Imports,31,Colle ; de poisson,,,,,Nord,,,2 547,,51 808,0,,182 903,,2 546,10,51 808,,,,182 902,11
718,Fatima zahra,Montbret 155-719,1759,Imports,31,Colombine,,,,,Espagne,,,1 159,,0,0,,0,,1 159,,,,,,,
719,Fatima zahra,Montbret 155-720,1759,Imports,31,Coloquintes,,,,,Espagne,,,3 280,,0,0,,4 080,,3 280,,,,,,4 080,
720,Fatima zahra,Montbret 155-721,1759,Imports,31,Coloquintes,,,,,Genes,,,800,,0,0,,4 080,,800,,,,,,4 080,
721,Fatima zahra,Montbret 155-722,1759,Imports,31,Commodes,,,,,Hollande,,,45,,0,0,,0,,45,,,,,,,
722,Fatima zahra,Montbret 155-723,1759,Imports,31,Confitures,,,,,Allemagne,,,4 622,,0,0,,33 107,,4 622,,,,,,33 107,3
723,Fatima zahra,Montbret 155-724,1759,Imports,31,Confitures,,,,,Espagne,,,988,,0,0,,33 107,,987,10,,,,,33 107,3
724,Fatima zahra,Montbret 155-725,1759,Imports,31,Confitures,,,,,Hollande,,,75,,0,0,,33 107,,75,,,,,,33 107,3
725,Fatima zahra,Montbret 155-726,1759,Imports,31,Confitures,,,,,Isles,,,578,,0,0,,33 107,,578,8,,,,,33 107,3
726,Fatima zahra,Montbret 155-727,1759,Imports,31,Confitures,,,,,Italie,,,740,,0,0,,33 107,,740,,,,,,33 107,3
727,Fatima zahra,Montbret 155-728,1759,Imports,31,Confitures,,,,,Naples,,,400,,0,0,,33 107,,400,,,,,,33 107,3
728,Fatima zahra,Montbret 155-729,1759,Imports,32,Confitures,,,,,Genes,,,22 601,,0,0,,33 107,,22 600,15,,,,,33 107,3
729,Fatima zahra,Montbret 155-730,1759,Imports,32,Confitures,,,,,Portugal,,,61,,0,0,,33 107,,60,10,,,,,33 107,3
730,Fatima zahra,Montbret 155-731,1759,Imports,32,Confitures,,,,,Savoye,,,3 043,,0,0,,33 107,,3 043,,,,,,33 107,3
731,Fatima zahra,Montbret 155-732,1759,Imports,32,Conserve de roze,,,,,Espagne,,,750,,0,0,,0,,750,,,,,,,
732,Fatima zahra,Montbret 155-733,1759,Imports,32,Conterie,,,,,Italie,,,2 340,,0,0,,6 940,,2 340,,,,,,6 940,
733,Fatima zahra,Montbret 155-734,1759,Imports,32,Conterie,,,,,Genes,,,3 300,,0,0,,6 940,,3 300,,,,,,6 940,
734,Fatima zahra,Montbret 155-735,1759,Imports,32,Conterie,,,,,Savoye,,,1 300,,0,0,,6 940,,1 300,,,,,,6 940,
735,Fatima zahra,Montbret 155-736,1759,Imports,32,Contrabierre,,,,,Hollande,,,450,,0,0,,0,,450,,,,,,,
736,Fatima zahra,Montbret 155-737,1759,Imports,32,Contrefoyer de fer,,,,,Hollande,,,408,,0,0,,0,,408,,,,,,,
737,Fatima zahra,Montbret 155-738,1759,Imports,32,Coque Levant,,,,,Hollande,,,167,,0,0,,1 067,,167,8,,,,,1 067,8
738,Fatima zahra,Montbret 155-739,1759,Imports,32,Coque Levant,,,,,Levant,,,900,,0,0,,1 067,,900,,,,,,1 067,8
739,Fatima zahra,Montbret 155-740,1759,Imports,32,Coquilles de mer,,,,,Espagne,,,2 350,,0,0,,14 684,,2 350,,,,,,14 684,2
740,Fatima zahra,Montbret 155-741,1759,Imports,32,Coquilles de mer,,,,,Flandre,,,1 800,,0,0,,14 684,,1 800,,,,,,14 684,2
741,Fatima zahra,Montbret 155-742,1759,Imports,32,Coquilles de mer,,,,,Hollande,,,9 544,,0,0,,14 684,,9 544,2,,,,,14 684,2
742,Fatima zahra,Montbret 155-743,1759,Imports,32,Coquilles de mer,,,,,Genes,,,900,,0,0,,14 684,,900,,,,,,14 684,2
743,Fatima zahra,Montbret 155-744,1759,Imports,32,Coquilles de mer,,,,,Levant,,,90,,0,0,,14 684,,90,,,,,,14 684,2
744,Fatima zahra,Montbret 155-745,1759,Imports,32,Corail ; blanc,,,,,Hollande,,,55,,0,0,,55,,55,,,,,,55,
745,Fatima zahra,Montbret 155-746,1759,Imports,32,Corbeilles d'ozier,,,,,Italie,,,14 814,,0,0,,34 020,,14 814,,,,,,34 020,
746,Fatima zahra,Montbret 155-747,1759,Imports,32,Corbeilles d'ozier,,,,,Genes,,,18 846,,0,0,,34 020,,18 846,,,,,,34 020,
747,Fatima zahra,Montbret 155-748,1759,Imports,32,Corbeilles d'ozier,,,,,Savoye,,,360,,0,0,,34 020,,360,,,,,,34 020,
748,Fatima zahra,Montbret 155-749,1759,Imports,32,Cordage ; d'auf,,,,,Espagne,,,5 573,,5 873,0,,30 440,,5 572,13,5 872,13,,,30 440,3
749,Fatima zahra,Montbret 155-750,1759,Imports,32,Cordage ; d'auf,,,,,Italie,,,300,,5 873,0,,30 440,,300,,5 872,13,,,30 440,3
750,Fatima zahra,Montbret 155-751,1759,Imports,33,Cordage ; de chanvre,,,,,Danemark,,,172,,5 647,0,,30 440,,171,18,5 646,19,,,30 440,3
751,Fatima zahra,Montbret 155-752,1759,Imports,33,Cordage ; de chanvre,,,,,Espagne,,,1 900,,5 647,0,,30 440,,1 900,,5 646,19,,,30 440,3
752,Fatima zahra,Montbret 155-753,1759,Imports,33,Cordage ; de chanvre,,,,,Flandre,,,64,,5 647,0,,30 440,,63,15,5 646,19,,,30 440,3
753,Fatima zahra,Montbret 155-754,1759,Imports,33,Cordage ; de chanvre,,,,,Hollande,,,115,,5 647,0,,30 440,,114,12,5 646,19,,,30 440,3
754,Fatima zahra,Montbret 155-755,1759,Imports,33,Cordage ; de chanvre,,,,,Italie,,,1 176,,5 647,0,,30 440,,1 176,,5 646,19,,,30 440,3
755,Fatima zahra,Montbret 155-756,1759,Imports,33,Cordage ; de chanvre,,,,,Savoye,,,2 221,,5 647,0,,30 440,,2 220,14,5 646,19,,,30 440,3
756,Fatima zahra,Montbret 155-757,1759,Imports,33,Cordage ; d'espars,,,,,Espagne,,,16 247,,18 921,0,,30 440,,16 246,11,18 920,11,,,30 440,3
757,Fatima zahra,Montbret 155-758,1759,Imports,33,Cordage ; d'espars,,,,,Genes,,,98,,18 921,0,,30 440,,98,,18 920,11,,,30 440,3
758,Fatima zahra,Montbret 155-759,1759,Imports,33,Cordage ; d'espars,,,,,Portugal,,,2 576,,18 921,0,,30 440,,2 576,,18 920,11,,,30 440,3
759,Fatima zahra,Montbret 155-760,1759,Imports,33,Cordes ; à boyaux,,,,,Allemagne,,,655,,10 705,0,,23 237,,655,,10 705,,,,23 237,
760,Fatima zahra,Montbret 155-761,1759,Imports,33,Cordes ; à boyaux,,,,,Italie,,,3 450,,10 705,0,,23 237,,3 450,,10 705,,,,23 237,
761,Fatima zahra,Montbret 155-762,1759,Imports,33,Cordes ; à boyaux,,,,,Naples,,,6 600,,10 705,0,,23 237,,6 600,,10 705,,,,23 237,
762,Fatima zahra,Montbret 155-763,1759,Imports,33,Cordes ; à violons,,,,,Italie,,,11 680,,12 532,0,,23 237,,11 680,,12 532,,,,23 237,
763,Fatima zahra,Montbret 155-764,1759,Imports,33,Cordes ; à violons,,,,,Genes,,,780,,12 532,0,,23 237,,780,,12 532,,,,23 237,
764,Fatima zahra,Montbret 155-765,1759,Imports,33,Cordes ; à violons,,,,,Savoye,,,72,,12 532,0,,23 237,,72,,12 532,,,,23 237,
765,Fatima zahra,Montbret 155-766,1759,Imports,33,Cordeillard,,,,,Espagne,,,75,,0,0,,0,,75,,,,,,,
766,Fatima zahra,Montbret 155-767,1759,Imports,33,Cordonnets de poil,,,,,Flandre,,,1 912,,0,0,,0,,1 912,,,,,,,
767,Fatima zahra,Montbret 155-768,1759,Imports,33,Cornes ; de boeuf,,,,,Allemagne,,,475,,4 162,0,,51 203,,475,,4 162,7,,,51 202,14
768,Fatima zahra,Montbret 155-769,1759,Imports,33,Cornes ; de boeuf,,,,,Flandre,,,99,,4 162,0,,51 203,,99,5,4 162,7,,,51 202,14
769,Fatima zahra,Montbret 155-770,1759,Imports,33,Cornes ; de boeuf,,,,,Hollande,,,3 563,,4 162,0,,51 203,,3 563,2,4 162,7,,,51 202,14
770,Fatima zahra,Montbret 155-771,1759,Imports,33,Cornes ; de boeuf,,,,,Savoye,,,25,,4 162,0,,51 203,,25,,4 162,7,,,51 202,14
771,Fatima zahra,Montbret 155-772,1759,Imports,34,Cornes ; de cerf,,,,,Allemagne,,,105,,512,0,,51 203,,105,,511,18,,,51 202,14
772,Fatima zahra,Montbret 155-773,1759,Imports,34,Cornes ; de cerf,,,,,Hollande,,,11,,512,0,,51 203,,11,8,511,18,,,51 202,14
773,Fatima zahra,Montbret 155-774,1759,Imports,34,Cornes ; de cerf,,,,,Naples,,,360,,512,0,,51 203,,360,,511,18,,,51 202,14
774,Fatima zahra,Montbret 155-775,1759,Imports,34,Cornes ; de cerf,,,,,Savoye,,,36,,512,0,,51 203,,35,10,511,18,,,51 202,14
775,Fatima zahra,Montbret 155-776,1759,Imports,34,Cornes ; à lanternes,,,,,Flandre,,,6 516,,10 576,0,,51 203,,6 516,,10 576,,,,51 202,14
776,Fatima zahra,Montbret 155-777,1759,Imports,34,Cornes ; à lanternes,,,,,Hollande,,,4 050,,10 576,0,,51 203,,4 049,10,10 576,,,,51 202,14
777,Fatima zahra,Montbret 155-778,1759,Imports,34,Cornes ; à lanternes,,,,,Nord,,,11,,10 576,0,,51 203,,10,10,10 576,,,,51 202,14
778,Fatima zahra,Montbret 155-779,1759,Imports,34,Cornes ; meslées,,,,,Geneve,,,336,,0,0,,51 203,,336,,,,,,51 202,14
779,Fatima zahra,Montbret 155-780,1759,Imports,34,Cornes ; de moutons,,,,,Espagne,,,25 132,,34 683,0,,51 203,,25 132,5,34 683,5,,,51 202,14
780,Fatima zahra,Montbret 155-781,1759,Imports,34,Cornes ; de moutons,,,,,Geneve,,,220,,34 683,0,,51 203,,220,,34 683,5,,,51 202,14
781,Fatima zahra,Montbret 155-782,1759,Imports,34,Cornes ; de moutons,,,,,Italie,,,235,,34 683,0,,51 203,,235,,34 683,5,,,51 202,14
782,Fatima zahra,Montbret 155-783,1759,Imports,34,Cornes ; de moutons,,,,,Naples,,,1 121,,34 683,0,,51 203,,1 121,,34 683,5,,,51 202,14
783,Fatima zahra,Montbret 155-784,1759,Imports,34,Cornes ; de moutons,,,,,Genes,,,840,,34 683,0,,51 203,,840,,34 683,5,,,51 202,14
784,Fatima zahra,Montbret 155-785,1759,Imports,34,Cornes ; de moutons,,,,,Levant,,,1 200,,34 683,0,,51 203,,1 200,,34 683,5,,,51 202,14
785,Fatima zahra,Montbret 155-786,1759,Imports,34,Cornes ; de moutons,,,,,Portugal,,,3 230,,34 683,0,,51 203,,3 230,,34 683,5,,,51 202,14
786,Fatima zahra,Montbret 155-787,1759,Imports,34,Cornes ; de moutons,,,,,Savoye,,,2 705,,34 683,0,,51 203,,2 705,,34 683,5,,,51 202,14
787,Fatima zahra,Montbret 155-788,1759,Imports,34,Cornes ; platre,,,,,Hollande,,,933,,0,0,,51 203,,933,4,,,,,51 202,14
788,Fatima zahra,Montbret 155-789,1759,Imports,34,Cornichons,,,,,Flandre,,,188,,0,0,,0,,188,,,,,,,
789,Fatima zahra,Montbret 155-790,1759,Imports,34,Costus doux,,,,,Hollande,,,882,,0,0,,0,,882,,,,,,,
790,Fatima zahra,Montbret 155-791,1759,Imports,34,Coton ; filé,,,,,Allemagne,,,4 762,,831 966,0,,4 346 646,,4 762,,831 965,10,,,4 346 646,2
791,Fatima zahra,Montbret 155-792,1759,Imports,34,Coton ; filé,,,,,Flandre,,,120,,831 966,0,,4 346 646,,120,,831 965,10,,,4 346 646,2
792,Fatima zahra,Montbret 155-793,1759,Imports,34,Coton ; filé,,,,,Geneve,,,1 248,,831 966,0,,4 346 646,,1 248,,831 965,10,,,4 346 646,2
793,Fatima zahra,Montbret 155-794,1759,Imports,34,Coton ; filé,,,,,Hollande,,,42 004,,831 966,0,,4 346 646,,42 004,,831 965,10,,,4 346 646,2
794,Fatima zahra,Montbret 155-795,1759,Imports,34,Coton ; filé,,,,,Italie,,,5 225,,831 966,0,,4 346 646,,5 225,,831 965,10,,,4 346 646,2
795,Fatima zahra,Montbret 155-796,1759,Imports,34,Coton ; filé,,,,,Naples,,,4 950,,831 966,0,,4 346 646,,4 950,,831 965,10,,,4 346 646,2
796,Fatima zahra,Montbret 155-797,1759,Imports,34,Coton ; filé,,,,,Genes,,,1 925,,831 966,0,,4 346 646,,1 925,,831 965,10,,,4 346 646,2
797,Fatima zahra,Montbret 155-798,1759,Imports,34,Coton ; filé,,,,,Levant,,,768 451,,831 966,0,,4 346 646,,768 451,,831 965,10,,,4 346 646,2
798,Fatima zahra,Montbret 155-799,1759,Imports,34,Coton ; filé,,,,,Savoye,,,1 540,,831 966,0,,4 346 646,,1 540,,831 965,10,,,4 346 646,2
799,Fatima zahra,Montbret 155-800,1759,Imports,34,Coton ; filé,,,,,Suisse,,,1 741,,831 966,0,,4 346 646,,1 740,10,831 965,10,,,4 346 646,2
800,Fatima zahra,Montbret 155-801,1759,Imports,34,Coton ; en laine,,,,,Allemagne,,,581,,3 513 306,0,,4 346 646,,581,,3 513 305,12,,,4 346 646,2
801,Fatima zahra,Montbret 155-802,1759,Imports,34,Coton ; en laine,,,,,Danemark,,,1 375,,3 513 306,0,,4 346 646,,1 375,,3 513 305,12,,,4 346 646,2
802,Fatima zahra,Montbret 155-803,1759,Imports,34,Coton ; en laine,,,,,Espagne,,,51 375,,3 513 306,0,,4 346 646,,51 375,,3 513 305,12,,,4 346 646,2
803,Fatima zahra,Montbret 155-804,1759,Imports,34,Coton ; en laine,,,,,Flandre,,,30 311,,3 513 306,0,,4 346 646,,30 311,2,3 513 305,12,,,4 346 646,2
804,Fatima zahra,Montbret 155-805,1759,Imports,34,Coton ; en laine,,,,,Hollande,,,2 040 634,,3 513 306,0,,4 346 646,,2 040 634,2,3 513 305,12,,,4 346 646,2
805,Fatima zahra,Montbret 155-806,1759,Imports,34,Coton ; en laine,,,,,Isles,,,52 711,,3 513 306,0,,4 346 646,,52 711,6,3 513 305,12,,,4 346 646,2
806,Fatima zahra,Montbret 155-807,1759,Imports,34,Coton ; en laine,,,,,Italie,,,41 032,,3 513 306,0,,4 346 646,,41 032,,3 513 305,12,,,4 346 646,2
807,Fatima zahra,Montbret 155-808,1759,Imports,35,Coton ; en laine,,,,,Levant,,,1 143 636,,3 513 306,0,,4 346 646,,1 143 636,,3 513 305,12,,,4 346 646,2
808,Fatima zahra,Montbret 155-809,1759,Imports,35,Coton ; en laine,,,,,Nord,,,31 736,,3 513 306,0,,4 346 646,,31 736,5,3 513 305,12,,,4 346 646,2
809,Fatima zahra,Montbret 155-810,1759,Imports,35,Coton ; en laine,,,,,Portugal,,,108 530,,3 513 306,0,,4 346 646,,108 529,17,3 513 305,12,,,4 346 646,2
810,Fatima zahra,Montbret 155-811,1759,Imports,35,Coton ; en laine,,,,,Savoye,,,11 384,,3 513 306,0,,4 346 646,,11 384,,3 513 305,12,,,4 346 646,2
811,Fatima zahra,Montbret 155-812,1759,Imports,35,Coton ; souffré,,,,,Italie,,,300,,877,0,,4 346 646,,300,,877,,,,4 346 646,2
812,Fatima zahra,Montbret 155-813,1759,Imports,35,Coton ; souffré,,,,,Genes,,,525,,877,0,,4 346 646,,525,,877,,,,4 346 646,2
813,Fatima zahra,Montbret 155-814,1759,Imports,35,Coton ; souffré,,,,,Savoye,,,52,,877,0,,4 346 646,,52,,877,,,,4 346 646,2
814,Fatima zahra,Montbret 155-815,1759,Imports,35,Coton ; teint,,,,,Flandre,,,450,,498,0,,4 346 646,,450,,498,,,,4 346 646,2
815,Fatima zahra,Montbret 155-816,1759,Imports,35,Coton ; teint,,,,,Savoye,,,48,,498,0,,4 346 646,,48,,498,,,,4 346 646,2
816,Fatima zahra,Montbret 155-817,1759,Imports,35,Cotonne,,,,,Levant,,,3 840,,0,0,,0,,3 840,,,,,,,
817,Fatima zahra,Montbret 155-818,1759,Imports,35,Couffes à boulanger,,,,,Italie,,,100,,0,0,,388,,100,,,,,,388,
818,Fatima zahra,Montbret 155-819,1759,Imports,35,Couffes à boulanger,,,,,Genes,,,144,,0,0,,388,,144,,,,,,388,
819,Fatima zahra,Montbret 155-820,1759,Imports,35,Couffes à boulanger,,,,,Savoye,,,144,,0,0,,388,,144,,,,,,388,
820,Fatima zahra,Montbret 155-821,1759,Imports,35,Couffins ; de palmes,,,,,Espagne,,,120,,0,0,,120,,120,,,,,,120,
821,Fatima zahra,Montbret 155-822,1759,Imports,35,Couleur,,,,,Flandre,,,51,,0,0,,0,,50,10,,,,,,
822,Fatima zahra,Montbret 155-823,1759,Imports,35,Couperose,,,,,Allemagne,,,1 685,,0,0,,246 506,,1 684,10,,,,,246 506,8
823,Fatima zahra,Montbret 155-824,1759,Imports,35,Couperose,,,,,Espagne,,,2 050,,0,0,,246 506,,2 050,,,,,,246 506,8
824,Fatima zahra,Montbret 155-825,1759,Imports,35,Couperose,,,,,Flandre,,,5 052,,0,0,,246 506,,5 051,18,,,,,246 506,8
825,Fatima zahra,Montbret 155-826,1759,Imports,35,Couperose,,,,,Hollande,,,221 255,,0,0,,246 506,,221 254,19,,,,,246 506,8
826,Fatima zahra,Montbret 155-827,1759,Imports,35,Couperose,,,,,Italie,,,1 080,,0,0,,246 506,,1 080,,,,,,246 506,8
827,Fatima zahra,Montbret 155-828,1759,Imports,35,Couperose,,,,,Nord,,,15 383,,0,0,,246 506,,15 383,1,,,,,246 506,8
828,Fatima zahra,Montbret 155-829,1759,Imports,35,Couperose,,,,,Savoye,,,2,,0,0,,246 506,,2,,,,,,246 506,8
829,Fatima zahra,Montbret 155-830,1759,Imports,35,Courdouans,,,,,Espagne,,,2 658,,0,0,,3 574,,2 658,,,,,,3 574,
830,Fatima zahra,Montbret 155-831,1759,Imports,35,Courdouans,,,,,Levant,,,416,,0,0,,3 574,,416,,,,,,3 574,
831,Fatima zahra,Montbret 155-832,1759,Imports,35,Courdouans,,,,,Savoye,,,500,,0,0,,3 574,,500,,,,,,3 574,
832,Fatima zahra,Montbret 155-833,1759,Imports,35,Couteaux,,,,,Allemagne,,,10,,0,0,,6 488,,10,,,,,,6 487,10
833,Fatima zahra,Montbret 155-834,1759,Imports,35,Couteaux,,,,,Espagne,,,30,,0,0,,6 488,,30,,,,,,6 487,10
834,Fatima zahra,Montbret 155-835,1759,Imports,35,Couteaux,,,,,Flandre,,,128,,0,0,,6 488,,127,10,,,,,6 487,10
835,Fatima zahra,Montbret 155-836,1759,Imports,35,Couteaux,,,,,Hollande,,,3 120,,0,0,,6 488,,3 120,,,,,,6 487,10
836,Fatima zahra,Montbret 155-837,1759,Imports,35,Couteaux,,,,,Italie,,,2 200,,0,0,,6 488,,2 200,,,,,,6 487,10
837,Fatima zahra,Montbret 155-838,1759,Imports,35,Couteaux,,,,,Genes,,,1 000,,0,0,,6 488,,1 000,,,,,,6 487,10
838,Fatima zahra,Montbret 155-839,1759,Imports,36,Coutil,,,,,Allemagne,,,622,,0,0,,71 153,,622,,,,,,71 152,15
839,Fatima zahra,Montbret 155-840,1759,Imports,36,Coutil,,,,,Espagne,,,4 212,,0,0,,71 153,,4 212,,,,,,71 152,15
840,Fatima zahra,Montbret 155-841,1759,Imports,36,Coutil,,,,,Flandre,,,61 409,,0,0,,71 153,,61 408,15,,,,,71 152,15
841,Fatima zahra,Montbret 155-842,1759,Imports,36,Coutil,,,,,Hollande,,,4 910,,0,0,,71 153,,4 910,,,,,,71 152,15
842,Fatima zahra,Montbret 155-843,1759,Imports,36,Couvertures ; de coton,,,,,Naples,,,8 340,,0,0,,33 676,,8 340,,,,,,33 676,
843,Fatima zahra,Montbret 155-844,1759,Imports,36,Couvertures ; d'etoupes,,,,,Flandre,,,243,,0,0,,33 676,,243,,,,,,33 676,
844,Fatima zahra,Montbret 155-845,1759,Imports,36,Couvertures ; de laine,,,,,Allemagne,,,54,,22 393,0,,33 676,,54,,22 393,,,,33 676,
845,Fatima zahra,Montbret 155-846,1759,Imports,36,Couvertures ; de laine,,,,,Espagne,,,10 920,,22 393,0,,33 676,,10 920,,22 393,,,,33 676,
846,Fatima zahra,Montbret 155-847,1759,Imports,36,Couvertures ; de laine,,,,,Naples,,,9 600,,22 393,0,,33 676,,9 600,,22 393,,,,33 676,
847,Fatima zahra,Montbret 155-848,1759,Imports,36,Couvertures ; de laine,,,,,Levant,,,1 819,,22 393,0,,33 676,,1 819,,22 393,,,,33 676,
848,Fatima zahra,Montbret 155-849,1759,Imports,36,Couvertures ; de plocq,,,,,Portugal,,,2 700,,0,0,,33 676,,2 700,,,,,,33 676,
849,Fatima zahra,Montbret 155-850,1759,Imports,36,Crasse ; d'huile,,,,,Espagne,,,154,,0,0,,157,,153,15,,,,,156,17
850,Fatima zahra,Montbret 155-851,1759,Imports,36,Crasse ; de suif,,,,,Savoye,,,3,,0,0,,157,,3,2,,,,,156,17
851,Fatima zahra,Montbret 155-852,1759,Imports,36,Cravatterie,,,,,Allemagne,,,140,,0,0,,0,,140,,,,,,,
852,Fatima zahra,Montbret 155-853,1759,Imports,36,Craye ; blanche,,,,,Allemagne,,,1,,801,0,,941,,,14,800,14,,,940,14
853,Fatima zahra,Montbret 155-854,1759,Imports,36,Craye ; blanche,,,,,Hollande,,,800,,801,0,,941,,800,,800,14,,,940,14
854,Fatima zahra,Montbret 155-855,1759,Imports,36,Craye ; rouge,,,,,Allemagne,,,140,,0,0,,941,,140,,,,,,940,14
855,Fatima zahra,Montbret 155-856,1759,Imports,36,Crayons,,,,,Hollande,,,3 215,,0,0,,3 260,,3 214,16,,,,,3 259,16
856,Fatima zahra,Montbret 155-857,1759,Imports,36,Crayons,,,,,Suisse,,,45,,0,0,,3 260,,45,,,,,,3 259,16
857,Fatima zahra,Montbret 155-858,1759,Imports,37,Creme de tartre,,,,,Flandre,,,120,,0,0,,1 695,,120,,,,,,1 695,
858,Fatima zahra,Montbret 155-859,1759,Imports,37,Creme de tartre,,,,,Hollande,,,1 575,,0,0,,1 695,,1 575,,,,,,1 695,
859,Fatima zahra,Montbret 155-860,1759,Imports,37,Creusets,,,,,Hollande,,,2 578,,0,0,,4 358,,2 578,,,,,,4 358,
860,Fatima zahra,Montbret 155-861,1759,Imports,37,Creusets,,,,,Nord,,,1 780,,0,0,,4 358,,1 780,,,,,,4 358,
861,Fatima zahra,Montbret 155-862,1759,Imports,37,Cribles,,,,,Allemagne,,,6,,0,0,,35,,6,,,,,,34,10
862,Fatima zahra,Montbret 155-863,1759,Imports,37,Cribles,,,,,Flandre,,,29,,0,0,,35,,28,10,,,,,34,10
863,Fatima zahra,Montbret 155-864,1759,Imports,37,Cricks,,,,,Flandre,,,240,,0,0,,1 701,,240,,,,,,1 701,
864,Fatima zahra,Montbret 155-865,1759,Imports,37,Cricks,,,,,Hollande,,,1 461,,0,0,,1 701,,1 461,,,,,,1 701,
